SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,6,1,0,0,0,1,0,5,2,1,0,50.0,50.0,0.0
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31016,Arlington,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,5,9,0,0,1,1,1,6,8,5,0,62.5,37.5,0.0
2010-11,18303,Bainbridge Island,2,3,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,06119,Battle Ground,17,6,0,0,0,2,0,13,10,8,0,80.0,20.0,0.0
2010-11,17405,Bellevue,99,12,0,1,1,1,1,30,81,73,4,90.1,4.9,4.9
2010-11,37501,Bellingham,22,5,0,1,1,3,0,5,22,16,1,72.7,22.7,4.5
2010-11,27403,Bethel,5,13,0,0,0,1,3,12,6,2,0,33.3,66.7,0.0
2010-11,20203,Bickleton,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,37503,Blaine,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2010-11,18100,Bremerton,34,10,0,1,1,0,2,12,32,27,1,84.4,12.5,3.1
2010-11,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29100,Burlington-Edison,5,3,0,0,0,0,1,5,3,2,0,66.7,33.3,0.0
2010-11,06117,Camas,4,8,0,0,0,1,0,4,8,7,0,87.5,12.5,0.0
2010-11,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04222,Cashmere,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18401,Central Kitsap,102,16,0,1,0,0,4,38,80,70,5,87.5,6.3,6.3
2010-11,32356,Central Valley,26,5,0,1,1,0,2,9,22,18,0,81.8,18.2,0.0
2010-11,21401,Centralia,10,0,1,0,0,2,0,3,7,4,0,57.1,42.9,0.0
2010-11,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32360,Cheney,2,3,0,0,1,0,1,3,2,0,0,0.0,100.0,0.0
2010-11,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,02250,Clarkston,2,5,0,1,1,0,0,4,3,1,0,33.3,66.7,0.0
2010-11,19404,Cle Elum-Roslyn,1,3,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,27400,Clover Park,8,7,0,0,1,0,0,11,4,3,0,75.0,25.0,0.0
2010-11,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33115,Colville,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,15204,Coupeville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,10050,Curlew,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32414,Deer Park,1,3,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,32361,East Valley (Spokane),0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2010-11,39090,East Valley (Yakima),9,2,0,0,0,0,0,5,6,6,0,100.0,0.0,0.0
2010-11,09206,Eastmont,10,2,0,1,1,0,0,3,9,7,0,77.8,22.2,0.0
2010-11,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27404,Eatonville,7,2,0,0,0,1,0,3,6,4,1,66.7,16.7,16.7
2010-11,31015,Edmonds,11,20,0,0,0,3,2,16,15,9,1,60.0,33.3,6.7
2010-11,19401,Ellensburg,1,2,0,0,0,0,0,2,1,0,1,0.0,0.0,100.0
2010-11,14068,Elma,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2010-11,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17216,Enumclaw,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13165,Ephrata,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,31002,Everett,30,19,0,1,1,1,0,29,20,16,1,80.0,15.0,5.0
2010-11,06114,Evergreen (Clark),22,13,0,0,1,2,2,13,22,16,1,72.7,22.7,4.5
2010-11,17210,Federal Way,36,26,1,1,3,2,4,27,35,23,1,65.7,31.4,2.9
2010-11,37502,Ferndale,5,2,0,0,0,1,0,4,3,2,0,66.7,33.3,0.0
2010-11,27417,Fife,9,6,0,1,0,1,1,6,9,6,0,66.7,33.3,0.0
2010-11,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27402,Franklin Pierce,23,13,0,0,2,2,0,24,12,8,0,66.7,33.3,0.0
2010-11,32358,Freeman,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20404,Goldendale,1,1,0,0,1,0,0,1,1,0,0,0.0,100.0,0.0
2010-11,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31332,Granite Falls,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17401,Highline,2,11,0,0,1,1,1,9,4,1,0,25.0,75.0,0.0
2010-11,06098,Hockinson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14028,Hoquiam,2,2,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17411,Issaquah,1,3,0,0,0,1,0,3,1,0,0,0.0,100.0,0.0
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08458,Kelso,6,4,0,0,0,0,0,8,2,2,0,100.0,0.0,0.0
2010-11,03017,Kennewick,1,3,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2010-11,17415,Kent,139,36,1,4,6,17,5,57,118,83,2,70.3,28.0,1.7
2010-11,33212,Kettle Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,03052,Kiona-Benton City,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,19403,Kittitas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06101,La Center,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14097,Lake Quinault,0,3,0,0,0,1,0,2,1,0,0,0.0,100.0,0.0
2010-11,31004,Lake Stevens,9,6,0,0,0,2,0,5,10,8,0,80.0,20.0,0.0
2010-11,17414,Lake Washington,20,12,1,0,0,0,0,12,20,19,0,95.0,5.0,0.0
2010-11,31306,Lakewood,1,3,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,32362,Liberty,0,3,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08122,Longview,44,12,1,1,1,2,3,19,37,28,1,75.7,21.6,2.7
2010-11,28144,Lopez,0,1,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2010-11,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37504,Lynden,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,39120,Mabton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33207,Mary Walker,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31025,Marysville,2,16,0,1,0,2,1,9,9,4,1,44.4,44.4,11.1
2010-11,32354,Mead,12,7,0,0,0,1,0,10,9,8,0,88.9,11.1,0.0
2010-11,32326,Medical Lake,3,3,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2010-11,17400,Mercer Island,0,4,0,0,0,1,0,3,1,0,0,0.0,100.0,0.0
2010-11,37505,Meridian,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31103,Monroe,7,11,1,0,0,4,0,5,13,6,2,46.2,38.5,15.4
2010-11,14066,Montesano,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21214,Morton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13161,Moses Lake,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,21206,Mossyrock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39209,Mount Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37507,Mount Baker,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,29320,Mount Vernon,14,3,0,2,1,0,2,8,9,4,0,44.4,55.6,0.0
2010-11,31006,Mukilteo,31,9,0,1,0,0,0,24,16,13,2,81.3,6.3,12.5
2010-11,39003,Naches Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21014,Napavine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25155,Naselle-Grays River Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,26056,Newport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32325,Nine Mile Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37506,Nooksack Valley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,14064,North Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,11051,North Franklin,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,18400,North Kitsap,5,6,0,0,0,0,0,5,6,5,1,83.3,0.0,16.7
2010-11,23403,North Mason,1,4,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34003,North Thurston,25,23,0,0,0,3,2,26,22,17,0,77.3,22.7,0.0
2010-11,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17417,Northshore,39,25,1,0,1,1,0,18,46,43,0,93.5,6.5,0.0
2010-11,15201,Oak Harbor,1,4,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25101,Ocean Beach,4,1,0,0,0,1,0,1,4,3,0,75.0,25.0,0.0
2010-11,14172,Ocosta,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34974,Office of the Governor (School for the Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24105,Okanogan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
