SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,258,142,2,6,14,31,34,115,285,176,22,61.8,30.5,7.7
2011-12,21226,Adna,41,26,0,0,0,1,1,27,40,36,2,90.0,5.0,5.0
2011-12,29103,Anacortes,246,76,5,2,3,14,7,87,235,201,3,85.5,13.2,1.3
2011-12,31016,Arlington,488,188,2,11,10,31,23,202,474,390,7,82.3,16.2,1.5
2011-12,02420,Asotin-Anatone,46,19,0,0,0,0,0,18,47,47,0,100.0,0.0,0.0
2011-12,17408,Auburn,1247,594,11,29,37,96,72,627,1214,963,6,79.3,20.2,0.5
2011-12,18303,Bainbridge Island,355,63,0,1,6,10,1,62,356,330,8,92.7,5.1,2.2
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,1045,436,9,20,24,69,43,383,1098,894,39,81.4,15.0,3.6
2011-12,17405,Bellevue,1382,445,2,3,11,24,20,442,1385,1285,40,92.8,4.3,2.9
2011-12,37501,Bellingham,910,360,16,20,40,44,28,369,901,711,42,78.9,16.4,4.7
2011-12,27403,Bethel,1419,602,2,26,29,155,60,700,1321,960,89,72.7,20.6,6.7
2011-12,20203,Bickleton,9,4,0,0,0,0,0,8,5,5,0,100.0,0.0,0.0
2011-12,37503,Blaine,188,74,0,3,6,4,15,103,159,127,4,79.9,17.6,2.5
2011-12,21234,Boistfort,10,0,0,0,0,0,0,10,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,345,241,1,8,11,21,25,185,401,297,38,74.1,16.5,9.5
2011-12,24111,Brewster,74,25,1,2,3,7,4,25,74,52,5,70.3,23.0,6.8
2011-12,09075,Bridgeport,43,25,0,0,1,3,1,16,52,44,3,84.6,9.6,5.8
2011-12,29100,Burlington-Edison,318,126,4,14,19,17,14,121,323,248,7,76.8,21.1,2.2
2011-12,06117,Camas,472,133,6,2,8,11,9,165,440,402,2,91.4,8.2,0.5
2011-12,05401,Cape Flattery,33,12,1,0,2,2,3,14,31,23,0,74.2,25.8,0.0
2011-12,04228,Cascade,104,28,1,1,3,3,0,39,93,85,0,91.4,8.6,0.0
2011-12,04222,Cashmere,117,33,1,0,1,6,0,41,109,101,0,92.7,7.3,0.0
2011-12,08401,Castle Rock,89,54,0,0,1,10,1,43,100,85,3,85.0,12.0,3.0
2011-12,18401,Central Kitsap,1004,363,0,3,10,28,26,351,1016,905,44,89.1,6.6,4.3
2011-12,32356,Central Valley,1004,326,12,6,16,22,16,375,955,862,21,90.3,7.5,2.2
2011-12,21401,Centralia,266,136,4,7,19,36,10,135,267,181,10,67.8,28.5,3.7
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,215,105,1,4,2,17,2,98,222,188,8,84.7,11.7,3.6
2011-12,32360,Cheney,280,156,3,9,7,14,7,125,311,269,2,86.5,12.9,0.6
2011-12,33036,Chewelah,101,65,2,2,6,6,4,55,111,88,3,79.3,18.0,2.7
2011-12,16049,Chimacum,96,37,0,1,2,2,5,40,93,79,4,84.9,10.8,4.3
2011-12,02250,Clarkston,246,121,5,10,12,30,24,87,280,190,9,67.9,28.9,3.2
2011-12,19404,Cle Elum-Roslyn,78,32,1,3,5,6,4,45,65,44,2,67.7,29.2,3.1
2011-12,27400,Clover Park,870,524,11,17,25,16,28,869,525,403,25,76.8,18.5,4.8
2011-12,38300,Colfax,57,15,1,1,3,2,0,20,52,45,0,86.5,13.5,0.0
2011-12,38306,Colton,16,1,0,0,0,0,0,5,12,12,0,100.0,0.0,0.0
2011-12,33206,Columbia (Stevens),16,6,0,1,0,0,0,4,18,17,0,94.4,5.6,0.0
2011-12,36400,Columbia (Walla Walla),66,28,2,0,0,3,2,32,62,51,4,82.3,11.3,6.5
2011-12,33115,Colville,188,69,0,0,2,7,10,75,182,156,7,85.7,10.4,3.8
2011-12,29011,Concrete,64,25,0,2,6,7,1,29,60,40,4,66.7,26.7,6.7
2011-12,13151,Coulee-Hartline,21,15,0,0,0,0,0,10,26,25,1,96.2,0.0,3.8
2011-12,15204,Coupeville,95,48,0,1,2,5,6,55,88,72,2,81.8,15.9,2.3
2011-12,05313,Crescent,15,15,1,0,0,1,2,17,13,9,0,69.2,30.8,0.0
2011-12,22073,Creston,9,7,0,0,0,0,0,8,8,8,0,100.0,0.0,0.0
2011-12,10050,Curlew,26,18,0,2,1,0,0,11,33,29,1,87.9,9.1,3.0
2011-12,26059,Cusick,27,19,0,0,1,0,0,18,28,27,0,96.4,3.6,0.0
2011-12,31330,Darrington,54,23,0,1,1,7,1,25,52,41,1,78.8,19.2,1.9
2011-12,22207,Davenport,43,20,1,0,1,1,3,21,42,34,2,81.0,14.3,4.8
2011-12,07002,Dayton,46,27,0,0,1,0,0,26,47,45,1,95.7,2.1,2.1
2011-12,32414,Deer Park,186,86,0,4,13,11,5,84,188,148,7,78.7,17.6,3.7
2011-12,32361,East Valley (Spokane),338,123,0,1,2,4,8,190,271,248,8,91.5,5.5,3.0
2011-12,39090,East Valley (Yakima),236,91,2,0,5,13,9,126,201,169,3,84.1,14.4,1.5
2011-12,09206,Eastmont,415,130,1,3,1,19,5,173,372,333,10,89.5,7.8,2.7
2011-12,19028,Easton,8,6,0,0,0,2,0,7,7,5,0,71.4,28.6,0.0
2011-12,27404,Eatonville,181,59,1,2,3,8,2,83,157,137,4,87.3,10.2,2.5
2011-12,31015,Edmonds,1730,643,11,38,39,107,134,509,1864,1418,117,76.1,17.7,6.3
2011-12,19401,Ellensburg,251,100,0,11,15,9,3,70,281,238,5,84.7,13.5,1.8
2011-12,14068,Elma,169,65,1,3,8,14,11,65,169,130,2,76.9,21.9,1.2
2011-12,04127,Entiat,33,13,0,0,0,1,0,16,30,29,0,96.7,3.3,0.0
2011-12,17216,Enumclaw,376,90,2,4,5,11,28,102,364,309,5,84.9,13.7,1.4
2011-12,13165,Ephrata,178,81,1,3,1,4,1,73,186,175,1,94.1,5.4,0.5
2011-12,31002,Everett,1443,697,10,9,26,52,52,849,1291,1108,34,85.8,11.5,2.6
2011-12,06114,Evergreen (Clark),1887,755,12,40,31,172,133,698,1944,1544,12,79.4,20.0,0.6
2011-12,17210,Federal Way,1837,750,18,41,74,96,123,853,1734,1317,65,76.0,20.3,3.7
2011-12,37502,Ferndale,416,128,3,11,17,24,26,157,387,289,17,74.7,20.9,4.4
2011-12,27417,Fife,311,164,0,8,7,34,22,165,310,233,6,75.2,22.9,1.9
2011-12,03053,Finley,84,37,1,1,1,3,2,36,85,76,1,89.4,9.4,1.2
2011-12,27402,Franklin Pierce,633,411,10,18,25,37,22,448,596,450,34,75.5,18.8,5.7
2011-12,32358,Freeman,82,16,0,0,0,2,1,25,73,70,0,95.9,4.1,0.0
2011-12,38302,Garfield,7,5,1,0,0,0,0,3,9,8,0,88.9,11.1,0.0
2011-12,20401,Glenwood,4,2,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2011-12,20404,Goldendale,95,46,0,3,6,7,3,51,90,71,0,78.9,21.1,0.0
2011-12,13301,Grand Coulee Dam,56,26,0,0,2,3,6,33,49,37,1,75.5,22.4,2.0
2011-12,39200,Grandview,230,103,1,1,15,24,12,91,242,175,14,72.3,21.9,5.8
2011-12,39204,Granger,107,27,1,2,8,8,3,43,91,69,0,75.8,24.2,0.0
2011-12,31332,Granite Falls,196,112,1,5,2,13,13,91,217,160,23,73.7,15.7,10.6
2011-12,22204,Harrington,15,8,0,0,0,0,0,9,14,14,0,100.0,0.0,0.0
2011-12,39203,Highland,90,36,1,0,3,4,1,39,87,77,1,88.5,10.3,1.1
2011-12,17401,Highline,1338,727,20,55,73,133,89,634,1431,980,81,68.5,25.9,5.7
2011-12,06098,Hockinson,170,47,0,0,1,3,1,63,154,148,1,96.1,3.2,0.6
2011-12,14028,Hoquiam,185,140,0,1,16,20,8,156,169,119,5,70.4,26.6,3.0
2011-12,10070,Inchelium,12,7,0,1,1,1,0,4,15,12,0,80.0,20.0,0.0
2011-12,17411,Issaquah,1186,300,2,8,12,25,15,321,1165,1087,16,93.3,5.3,1.4
