SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,4,3,0,0,1,0,0,4,3,0,2,0.0,33.3,66.7
2011-12,21226,Adna,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,6,3,0,0,0,1,1,6,3,1,0,33.3,66.7,0.0
2011-12,31016,Arlington,2,7,0,1,0,0,0,6,3,2,0,66.7,33.3,0.0
2011-12,02420,Asotin-Anatone,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,17408,Auburn,39,26,2,1,1,1,2,44,21,15,-1,71.4,33.3,-4.8
2011-12,18303,Bainbridge Island,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,8,3,0,1,0,0,0,8,3,2,0,66.7,33.3,0.0
2011-12,17405,Bellevue,8,5,0,0,0,0,0,7,6,6,0,100.0,0.0,0.0
2011-12,37501,Bellingham,12,16,0,1,2,0,0,15,13,5,5,38.5,23.1,38.5
2011-12,27403,Bethel,53,12,0,2,1,4,3,17,48,35,3,72.9,20.8,6.3
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,2,2,0,0,0,0,1,3,1,0,0,0.0,100.0,0.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,12,9,0,1,1,0,3,6,15,9,1,60.0,33.3,6.7
2011-12,24111,Brewster,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,09075,Bridgeport,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
