SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,168,94,2,5,12,24,28,72,190,99,20,52.1,37.4,10.5
2011-12,21226,Adna,14,11,0,0,0,1,0,11,14,11,2,78.6,7.1,14.3
2011-12,29103,Anacortes,87,28,2,2,3,6,7,36,79,57,2,72.2,25.3,2.5
2011-12,31016,Arlington,131,65,1,2,4,11,13,62,134,98,5,73.1,23.1,3.7
2011-12,02420,Asotin-Anatone,18,7,0,0,0,0,0,7,18,18,0,100.0,0.0,0.0
2011-12,17408,Auburn,555,349,4,17,24,62,51,348,556,394,4,70.9,28.4,0.7
2011-12,18303,Bainbridge Island,32,11,0,0,1,4,1,14,29,21,2,72.4,20.7,6.9
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,411,181,6,7,8,32,24,169,423,329,17,77.8,18.2,4.0
2011-12,17405,Bellevue,314,159,0,3,9,10,14,142,331,274,21,82.8,10.9,6.3
2011-12,37501,Bellingham,323,151,6,15,23,25,20,127,347,230,28,66.3,25.6,8.1
2011-12,27403,Bethel,689,318,1,13,16,93,42,385,622,395,62,63.5,26.5,10.0
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,106,36,0,2,5,2,11,60,82,59,3,72.0,24.4,3.7
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,217,158,0,5,8,19,21,121,254,167,34,65.7,20.9,13.4
2011-12,24111,Brewster,70,22,1,1,3,6,4,20,72,52,5,72.2,20.8,6.9
2011-12,09075,Bridgeport,42,18,0,0,0,3,1,11,49,42,3,85.7,8.2,6.1
2011-12,29100,Burlington-Edison,138,74,3,9,15,13,13,69,143,83,7,58.0,37.1,4.9
2011-12,06117,Camas,129,43,2,0,3,6,4,59,113,98,0,86.7,13.3,0.0
2011-12,05401,Cape Flattery,23,5,0,0,2,2,3,7,21,14,0,66.7,33.3,0.0
2011-12,04228,Cascade,54,14,1,0,1,1,0,26,42,39,0,92.9,7.1,0.0
2011-12,04222,Cashmere,49,19,0,0,1,4,0,18,50,45,0,90.0,10.0,0.0
2011-12,08401,Castle Rock,38,26,0,0,1,6,1,23,41,32,1,78.0,19.5,2.4
2011-12,18401,Central Kitsap,311,139,0,0,4,11,14,138,312,257,26,82.4,9.3,8.3
2011-12,32356,Central Valley,418,165,9,2,6,13,12,204,379,323,14,85.2,11.1,3.7
2011-12,21401,Centralia,170,88,3,2,17,27,7,100,158,94,8,59.5,35.4,5.1
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,97,51,1,3,1,11,1,58,90,72,1,80.0,18.9,1.1
2011-12,32360,Cheney,132,99,2,7,5,7,6,77,154,125,2,81.2,17.5,1.3
2011-12,33036,Chewelah,58,44,1,1,4,5,3,34,68,52,2,76.5,20.6,2.9
2011-12,16049,Chimacum,52,20,0,1,1,1,3,24,48,39,3,81.3,12.5,6.3
2011-12,02250,Clarkston,116,72,4,8,7,20,21,47,141,73,8,51.8,42.6,5.7
2011-12,19404,Cle Elum-Roslyn,25,18,0,1,2,3,3,21,22,11,2,50.0,40.9,9.1
2011-12,27400,Clover Park,537,310,8,9,16,10,24,531,316,230,19,72.8,21.2,6.0
2011-12,38300,Colfax,20,9,0,1,2,1,0,12,17,13,0,76.5,23.5,0.0
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),15,4,0,1,0,0,0,4,15,14,0,93.3,6.7,0.0
2011-12,36400,Columbia (Walla Walla),31,12,1,0,0,3,1,18,25,18,2,72.0,20.0,8.0
2011-12,33115,Colville,89,51,0,0,2,7,9,56,84,61,5,72.6,21.4,6.0
2011-12,29011,Concrete,35,13,0,0,3,4,1,16,32,20,4,62.5,25.0,12.5
2011-12,13151,Coulee-Hartline,7,5,0,0,0,0,0,4,8,8,0,100.0,0.0,0.0
2011-12,15204,Coupeville,40,25,0,1,2,2,4,27,38,27,2,71.1,23.7,5.3
2011-12,05313,Crescent,8,7,0,0,0,1,2,9,6,3,0,50.0,50.0,0.0
2011-12,22073,Creston,5,4,0,0,0,0,0,4,5,5,0,100.0,0.0,0.0
2011-12,10050,Curlew,19,10,0,2,1,0,0,7,22,18,1,81.8,13.6,4.5
2011-12,26059,Cusick,12,10,0,0,0,0,0,11,11,11,0,100.0,0.0,0.0
2011-12,31330,Darrington,28,10,0,1,0,3,1,13,25,19,1,76.0,20.0,4.0
2011-12,22207,Davenport,17,7,0,0,1,0,2,9,15,12,0,80.0,20.0,0.0
2011-12,07002,Dayton,23,10,0,0,1,0,0,12,21,20,0,95.2,4.8,0.0
2011-12,32414,Deer Park,99,46,0,3,6,8,5,44,101,72,7,71.3,21.8,6.9
2011-12,32361,East Valley (Spokane),164,79,0,1,2,3,4,122,121,105,6,86.8,8.3,5.0
2011-12,39090,East Valley (Yakima),123,52,2,0,4,11,6,72,103,78,2,75.7,22.3,1.9
2011-12,09206,Eastmont,214,63,0,1,0,15,4,101,176,147,9,83.5,11.4,5.1
2011-12,19028,Easton,4,6,0,0,0,2,0,4,6,4,0,66.7,33.3,0.0
2011-12,27404,Eatonville,61,28,0,1,1,4,1,34,55,47,1,85.5,12.7,1.8
2011-12,31015,Edmonds,586,269,4,17,16,49,78,214,641,420,57,65.5,25.6,8.9
2011-12,19401,Ellensburg,81,37,0,4,5,2,0,28,90,78,1,86.7,12.2,1.1
2011-12,14068,Elma,82,35,0,2,2,9,6,32,85,64,2,75.3,22.4,2.4
2011-12,04127,Entiat,17,8,0,0,0,1,0,10,15,14,0,93.3,6.7,0.0
2011-12,17216,Enumclaw,118,41,1,3,1,8,14,50,109,81,1,74.3,24.8,0.9
2011-12,13165,Ephrata,92,50,1,2,1,3,1,48,94,85,1,90.4,8.5,1.1
2011-12,31002,Everett,504,291,3,7,17,34,35,330,465,343,26,73.8,20.6,5.6
2011-12,06114,Evergreen (Clark),861,424,5,17,19,102,92,383,902,660,7,73.2,26.1,0.8
2011-12,17210,Federal Way,825,408,4,18,35,64,90,367,866,604,51,69.7,24.4,5.9
2011-12,37502,Ferndale,189,63,2,7,7,15,19,84,168,107,11,63.7,29.8,6.5
2011-12,27417,Fife,161,80,0,6,4,21,18,85,156,104,3,66.7,31.4,1.9
2011-12,03053,Finley,52,20,1,1,1,2,1,23,49,43,0,87.8,12.2,0.0
2011-12,27402,Franklin Pierce,395,232,6,10,16,17,20,260,367,275,23,74.9,18.8,6.3
2011-12,32358,Freeman,20,3,0,0,0,1,1,6,17,15,0,88.2,11.8,0.0
2011-12,38302,Garfield,5,5,1,0,0,0,0,3,7,6,0,85.7,14.3,0.0
2011-12,20401,Glenwood,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2011-12,20404,Goldendale,56,33,0,2,3,5,3,38,51,38,0,74.5,25.5,0.0
2011-12,13301,Grand Coulee Dam,34,18,0,0,2,3,4,23,29,20,0,69.0,31.0,0.0
2011-12,39200,Grandview,187,62,1,0,8,15,11,58,191,143,13,74.9,18.3,6.8
2011-12,39204,Granger,102,22,1,2,7,8,3,40,84,63,0,75.0,25.0,0.0
2011-12,31332,Granite Falls,90,57,1,4,2,7,8,37,110,71,17,64.5,20.0,15.5
2011-12,22204,Harrington,5,3,0,0,0,0,0,3,5,5,0,100.0,0.0,0.0
2011-12,39203,Highland,68,26,1,0,3,4,1,30,64,54,1,84.4,14.1,1.6
2011-12,17401,Highline,798,434,5,30,46,95,66,373,859,557,60,64.8,28.2,7.0
2011-12,06098,Hockinson,48,24,0,0,1,1,1,27,45,41,1,91.1,6.7,2.2
2011-12,14028,Hoquiam,117,77,0,1,7,15,6,101,93,61,3,65.6,31.2,3.2
