SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,181,98,1,3,9,23,28,84,195,121,10,62.1,32.8,5.1
2011-12,21226,Adna,37,23,0,0,0,1,1,22,38,34,2,89.5,5.3,5.3
2011-12,29103,Anacortes,211,59,5,2,3,10,4,62,208,182,2,87.5,11.5,1.0
2011-12,31016,Arlington,409,145,2,10,9,27,14,168,386,318,6,82.4,16.1,1.6
2011-12,02420,Asotin-Anatone,43,13,0,0,0,0,0,16,40,40,0,100.0,0.0,0.0
2011-12,17408,Auburn,793,266,6,17,23,52,38,309,750,612,2,81.6,18.1,0.3
2011-12,18303,Bainbridge Island,322,49,0,1,5,9,1,51,320,297,7,92.8,5.0,2.2
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,907,358,9,16,19,61,32,303,962,795,30,82.6,14.2,3.1
2011-12,17405,Bellevue,805,197,2,1,7,8,8,237,765,716,23,93.6,3.4,3.0
2011-12,37501,Bellingham,739,240,8,13,28,32,21,251,728,598,28,82.1,14.0,3.8
2011-12,27403,Bethel,935,340,2,15,21,107,46,409,866,619,56,71.5,22.1,6.5
2011-12,20203,Bickleton,5,2,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2011-12,37503,Blaine,157,48,0,2,5,4,10,79,126,104,1,82.5,16.7,0.8
2011-12,21234,Boistfort,10,0,0,0,0,0,0,10,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,203,142,1,6,8,16,14,98,247,178,24,72.1,18.2,9.7
2011-12,24111,Brewster,21,7,0,1,1,2,1,8,20,15,0,75.0,25.0,0.0
2011-12,09075,Bridgeport,3,2,0,0,0,0,0,3,2,1,1,50.0,0.0,50.0
2011-12,29100,Burlington-Edison,234,63,1,7,8,6,4,65,232,203,3,87.5,11.2,1.3
2011-12,06117,Camas,380,106,6,1,6,11,7,141,345,312,2,90.4,9.0,0.6
2011-12,05401,Cape Flattery,12,2,0,0,0,0,1,7,7,6,0,85.7,14.3,0.0
2011-12,04228,Cascade,78,20,1,0,3,2,0,30,68,62,0,91.2,8.8,0.0
2011-12,04222,Cashmere,77,22,1,0,1,4,0,24,75,69,0,92.0,8.0,0.0
2011-12,08401,Castle Rock,83,46,0,0,0,9,1,36,93,81,2,87.1,10.8,2.2
2011-12,18401,Central Kitsap,639,228,0,0,7,21,17,214,653,583,25,89.3,6.9,3.8
2011-12,32356,Central Valley,861,260,12,6,13,21,14,299,822,736,20,89.5,8.0,2.4
2011-12,21401,Centralia,208,91,4,5,14,24,8,101,198,138,5,69.7,27.8,2.5
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,158,83,1,3,1,10,0,75,166,145,6,87.3,9.0,3.6
2011-12,32360,Cheney,238,121,1,9,5,11,6,98,261,228,1,87.4,12.3,0.4
2011-12,33036,Chewelah,93,58,2,1,6,6,4,48,103,81,3,78.6,18.4,2.9
2011-12,16049,Chimacum,79,27,0,1,2,1,3,33,73,62,4,84.9,9.6,5.5
2011-12,02250,Clarkston,217,105,4,9,8,29,20,67,255,176,9,69.0,27.5,3.5
2011-12,19404,Cle Elum-Roslyn,73,23,1,3,5,5,3,38,58,39,2,67.2,29.3,3.4
2011-12,27400,Clover Park,380,204,5,6,11,6,9,389,195,150,8,76.9,19.0,4.1
2011-12,38300,Colfax,54,12,1,0,3,2,0,18,48,42,0,87.5,12.5,0.0
2011-12,38306,Colton,15,1,0,0,0,0,0,4,12,12,0,100.0,0.0,0.0
2011-12,33206,Columbia (Stevens),10,5,0,1,0,0,0,3,12,11,0,91.7,8.3,0.0
2011-12,36400,Columbia (Walla Walla),50,21,1,0,0,3,2,18,53,43,4,81.1,11.3,7.5
2011-12,33115,Colville,165,60,0,0,2,6,10,67,158,133,7,84.2,11.4,4.4
2011-12,29011,Concrete,59,20,0,2,6,6,1,24,55,36,4,65.5,27.3,7.3
2011-12,13151,Coulee-Hartline,20,13,0,0,0,0,0,7,26,25,1,96.2,0.0,3.8
2011-12,15204,Coupeville,84,40,0,1,2,3,4,45,79,67,2,84.8,12.7,2.5
2011-12,05313,Crescent,12,11,1,0,0,1,2,14,9,5,0,55.6,44.4,0.0
2011-12,22073,Creston,7,5,0,0,0,0,0,6,6,6,0,100.0,0.0,0.0
2011-12,10050,Curlew,23,14,0,2,1,0,0,10,27,23,1,85.2,11.1,3.7
2011-12,26059,Cusick,19,14,0,0,1,0,0,11,22,21,0,95.5,4.5,0.0
2011-12,31330,Darrington,46,18,0,0,1,6,0,17,47,39,1,83.0,14.9,2.1
2011-12,22207,Davenport,40,17,0,0,1,1,3,18,39,32,2,82.1,12.8,5.1
2011-12,07002,Dayton,40,21,0,0,1,0,0,19,42,40,1,95.2,2.4,2.4
2011-12,32414,Deer Park,176,74,0,4,13,10,4,72,178,141,6,79.2,17.4,3.4
2011-12,32361,East Valley (Spokane),292,94,0,0,1,3,7,156,230,214,5,93.0,4.8,2.2
2011-12,39090,East Valley (Yakima),145,50,0,0,2,7,5,71,124,109,1,87.9,11.3,0.8
2011-12,09206,Eastmont,272,80,0,2,1,12,1,104,248,226,6,91.1,6.5,2.4
2011-12,19028,Easton,8,5,0,0,0,1,0,7,6,5,0,83.3,16.7,0.0
2011-12,27404,Eatonville,165,48,1,1,3,7,2,70,143,125,4,87.4,9.8,2.8
2011-12,31015,Edmonds,1116,337,7,18,19,64,78,303,1150,895,69,77.8,16.2,6.0
2011-12,19401,Ellensburg,206,74,0,9,14,7,1,45,235,201,3,85.5,13.2,1.3
2011-12,14068,Elma,137,53,1,3,7,10,8,50,140,109,2,77.9,20.7,1.4
2011-12,04127,Entiat,20,7,0,0,0,1,0,7,20,19,0,95.0,5.0,0.0
2011-12,17216,Enumclaw,323,71,1,3,5,9,25,78,316,270,3,85.4,13.6,0.9
2011-12,13165,Ephrata,135,58,0,3,1,3,1,49,144,136,0,94.4,5.6,0.0
2011-12,31002,Everett,1002,394,5,6,16,29,36,524,872,761,19,87.3,10.6,2.2
2011-12,06114,Evergreen (Clark),1368,462,9,25,21,118,90,461,1369,1097,9,80.1,19.2,0.7
2011-12,17210,Federal Way,835,237,6,23,30,28,43,309,763,610,23,79.9,17.0,3.0
2011-12,37502,Ferndale,314,82,1,5,12,14,18,102,294,233,11,79.3,17.0,3.7
