SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,52,12,1,1,3,7,9,8,56,30,5,53.6,37.5,8.9
2012-13,21226,Adna,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2012-13,29103,Anacortes,8,5,0,0,0,1,0,2,11,9,1,81.8,9.1,9.1
2012-13,31016,Arlington,45,6,1,0,2,3,1,10,41,32,2,78.0,17.1,4.9
2012-13,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17408,Auburn,181,43,1,3,10,20,13,45,179,120,12,67.0,26.3,6.7
2012-13,18303,Bainbridge Island,14,2,0,0,0,0,0,3,13,13,0,100.0,0.0,0.0
2012-13,27931,Bates Technical College,12,2,0,0,0,3,1,0,14,0,10,0.0,28.6,71.4
2012-13,06119,Battle Ground,75,21,0,0,2,3,8,25,71,55,3,77.5,18.3,4.2
2012-13,17405,Bellevue,107,39,1,2,7,4,2,28,118,98,4,83.1,13.6,3.4
2012-13,37501,Bellingham,94,27,7,4,2,11,6,23,98,60,8,61.2,30.6,8.2
2012-13,27403,Bethel,127,28,5,1,6,17,3,28,127,89,6,70.1,25.2,4.7
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,19,4,0,0,0,1,0,6,17,16,0,94.1,5.9,0.0
2012-13,18100,Bremerton,44,21,1,0,1,4,6,5,60,43,5,71.7,20.0,8.3
2012-13,24111,Brewster,54,21,1,2,6,6,6,2,73,50,2,68.5,28.8,2.7
2012-13,09075,Bridgeport,30,12,1,0,2,3,1,4,38,30,1,78.9,18.4,2.6
2012-13,29100,Burlington-Edison,70,14,5,0,3,10,6,16,68,42,2,61.8,35.3,2.9
2012-13,06117,Camas,32,12,1,0,1,0,1,7,37,34,0,91.9,8.1,0.0
2012-13,05401,Cape Flattery,3,1,0,0,0,0,0,0,4,3,1,75.0,0.0,25.0
2012-13,04228,Cascade,28,8,0,0,1,3,1,6,30,25,0,83.3,16.7,0.0
2012-13,04222,Cashmere,28,4,0,2,0,0,1,4,28,25,0,89.3,10.7,0.0
2012-13,08401,Castle Rock,5,1,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2012-13,18401,Central Kitsap,78,21,4,1,1,0,1,10,89,80,2,89.9,7.9,2.2
2012-13,32356,Central Valley,52,12,0,0,0,2,2,8,56,52,0,92.9,7.1,0.0
2012-13,21401,Centralia,51,6,1,1,3,7,5,5,52,34,1,65.4,32.7,1.9
2012-13,21302,Chehalis,30,9,0,0,0,6,2,11,28,20,0,71.4,28.6,0.0
2012-13,32360,Cheney,18,3,1,2,2,3,2,1,20,10,0,50.0,50.0,0.0
2012-13,33036,Chewelah,5,4,0,0,1,2,0,3,6,3,0,50.0,50.0,0.0
2012-13,16049,Chimacum,5,3,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2012-13,02250,Clarkston,12,6,0,0,0,3,4,1,17,10,0,58.8,41.2,0.0
2012-13,19404,Cle Elum-Roslyn,4,2,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2012-13,27400,Clover Park,135,73,6,4,5,5,7,96,112,85,0,75.9,24.1,0.0
2012-13,38300,Colfax,1,1,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,36400,Columbia (Walla Walla),13,3,0,0,1,2,2,1,15,10,0,66.7,33.3,0.0
2012-13,33115,Colville,6,4,0,1,0,2,0,1,9,6,0,66.7,33.3,0.0
2012-13,29011,Concrete,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
