SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,61,18,1,1,5,7,17,6,73,32,10,43.8,42.5,13.7
2012-13,21226,Adna,3,1,0,0,0,0,0,0,4,3,1,75.0,0.0,25.0
2012-13,29103,Anacortes,12,3,0,1,2,3,1,1,14,7,0,50.0,50.0,0.0
2012-13,31016,Arlington,23,6,1,0,3,4,7,3,26,8,3,30.8,57.7,11.5
2012-13,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17408,Auburn,37,9,0,0,0,8,4,4,42,27,3,64.3,28.6,7.1
2012-13,18303,Bainbridge Island,3,2,0,0,0,3,0,0,5,2,0,40.0,60.0,0.0
2012-13,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,06119,Battle Ground,39,16,1,1,2,4,10,6,49,25,6,51.0,36.7,12.2
2012-13,17405,Bellevue,14,4,0,0,2,1,0,2,16,10,3,62.5,18.8,18.8
2012-13,37501,Bellingham,74,29,4,5,4,14,10,23,80,37,6,46.3,46.3,7.5
2012-13,27403,Bethel,73,20,2,3,5,9,9,12,81,49,4,60.5,34.6,4.9
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,7,1,0,0,0,2,1,2,6,3,0,50.0,50.0,0.0
2012-13,18100,Bremerton,39,13,0,0,2,4,14,6,46,16,10,34.8,43.5,21.7
2012-13,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09075,Bridgeport,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,29100,Burlington-Edison,17,0,1,0,2,1,1,3,14,7,2,50.0,35.7,14.3
2012-13,06117,Camas,7,0,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2012-13,05401,Cape Flattery,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,04228,Cascade,1,1,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2012-13,04222,Cashmere,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
