SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,31016,Arlington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17408,Auburn,24,9,0,0,2,4,1,7,26,19,0,73.1,26.9,0.0
2012-13,18303,Bainbridge Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27931,Bates Technical College,4,1,0,0,0,3,0,0,5,0,2,0.0,60.0,40.0
2012-13,06119,Battle Ground,4,0,0,0,0,1,0,0,4,3,0,75.0,25.0,0.0
2012-13,17405,Bellevue,5,0,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2012-13,37501,Bellingham,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2012-13,27403,Bethel,24,9,0,0,1,8,1,3,30,19,1,63.3,33.3,3.3
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,18100,Bremerton,4,0,0,0,0,1,0,0,4,2,1,50.0,25.0,25.0
2012-13,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29100,Burlington-Edison,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,06117,Camas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04222,Cashmere,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,18401,Central Kitsap,13,2,1,1,0,0,0,2,13,10,1,76.9,15.4,7.7
2012-13,32356,Central Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21401,Centralia,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32360,Cheney,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,16049,Chimacum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,02250,Clarkston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19404,Cle Elum-Roslyn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27400,Clover Park,17,13,1,0,1,1,0,12,18,15,0,83.3,16.7,0.0
2012-13,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,36400,Columbia (Walla Walla),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,33115,Colville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,15204,Coupeville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32414,Deer Park,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32361,East Valley (Spokane),2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,39090,East Valley (Yakima),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09206,Eastmont,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27404,Eatonville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31015,Edmonds,5,5,0,0,0,1,1,2,8,6,0,75.0,25.0,0.0
2012-13,32801,Educational Service District 101,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19401,Ellensburg,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,14068,Elma,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04127,Entiat,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17216,Enumclaw,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13165,Ephrata,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31002,Everett,10,7,0,0,1,0,0,4,13,11,1,84.6,7.7,7.7
2012-13,06114,Evergreen (Clark),20,16,0,1,0,2,3,4,32,25,1,78.1,18.8,3.1
2012-13,17210,Federal Way,62,15,1,0,4,4,11,16,61,39,2,63.9,32.8,3.3
2012-13,37502,Ferndale,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,27417,Fife,6,0,0,0,0,1,2,1,5,2,0,40.0,60.0,0.0
2012-13,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27402,Franklin Pierce,41,17,1,0,0,4,4,8,50,40,1,80.0,18.0,2.0
2012-13,32358,Freeman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20404,Goldendale,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31332,Granite Falls,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2012-13,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39203,Highland,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17401,Highline,39,12,1,2,2,4,4,5,46,27,6,58.7,28.3,13.0
2012-13,06098,Hockinson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14028,Hoquiam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17411,Issaquah,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08458,Kelso,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,03017,Kennewick,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,17415,Kent,40,8,1,0,1,4,0,14,34,28,0,82.4,17.6,0.0
2012-13,33212,Kettle Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,03052,Kiona-Benton City,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,19403,Kittitas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,06101,La Center,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14097,Lake Quinault,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31004,Lake Stevens,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17937,Lake Washington Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17414,Lake Washington,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,31306,Lakewood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32362,Liberty,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08122,Longview,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37504,Lynden,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39120,Mabton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33207,Mary Walker,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31025,Marysville,7,1,0,1,0,0,0,0,8,7,0,87.5,12.5,0.0
2012-13,32354,Mead,1,2,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2012-13,32326,Medical Lake,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17400,Mercer Island,1,2,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,37505,Meridian,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31103,Monroe,4,1,0,0,4,0,0,0,5,1,0,20.0,80.0,0.0
2012-13,14066,Montesano,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21214,Morton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13161,Moses Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21206,Mossyrock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39209,Mount Adams,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2012-13,37507,Mount Baker,1,0,1,0,0,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,29320,Mount Vernon,4,1,0,0,0,0,0,1,4,3,1,75.0,0.0,25.0
2012-13,31006,Mukilteo,11,3,0,0,0,0,0,2,12,12,0,100.0,0.0,0.0
2012-13,39003,Naches Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21014,Napavine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,25155,Naselle-Grays River Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26056,Newport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32325,Nine Mile Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37506,Nooksack Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14064,North Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,11051,North Franklin,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,18400,North Kitsap,1,2,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2012-13,23403,North Mason,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34003,North Thurston Public Schools,9,9,0,0,0,2,2,2,16,12,0,75.0,25.0,0.0
2012-13,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17417,Northshore,5,2,0,0,1,0,0,1,6,5,0,83.3,16.7,0.0
2012-13,15201,Oak Harbor,3,0,0,0,0,0,1,1,2,1,0,50.0,50.0,0.0
2012-13,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,25101,Ocean Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14172,Ocosta,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34974,Office of the Governor (Sch for Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,24105,Okanogan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34111,Olympia,2,2,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,24019,Omak,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21300,Onalaska,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,28137,Orcas Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10065,Orient,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,24410,Oroville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27344,Orting,2,2,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2012-13,01147,Othello,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38301,Palouse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,11001,Pasco,3,1,0,0,0,1,0,0,4,2,1,50.0,25.0,25.0
2012-13,24122,Pateros,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21301,Pe Ell,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27401,Peninsula,2,1,0,0,1,1,0,1,2,0,0,0.0,100.0,0.0
2012-13,12110,Pomeroy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,05121,Port Angeles,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,16050,Port Townsend,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,36402,Prescott,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,03116,Prosser,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38267,Pullman,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,27003,Puyallup,15,8,3,2,1,2,1,3,20,11,0,55.0,45.0,0.0
