SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,10,0,0,0,0,0,0,1,9,7,2,77.8,0.0,22.2
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,8,3,0,0,0,0,1,3,8,7,0,87.5,12.5,0.0
2012-13,31016,Arlington,3,0,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2012-13,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17408,Auburn,38,5,0,1,1,3,6,5,38,27,0,71.1,28.9,0.0
2012-13,18303,Bainbridge Island,37,2,0,0,0,2,0,2,37,35,0,94.6,5.4,0.0
2012-13,27931,Bates Technical College,3,2,0,0,0,0,1,0,5,0,4,0.0,20.0,80.0
2012-13,06119,Battle Ground,27,1,0,0,1,1,1,3,25,20,2,80.0,12.0,8.0
2012-13,17405,Bellevue,100,2,0,0,0,2,0,8,94,90,2,95.7,2.1,2.1
2012-13,37501,Bellingham,43,6,0,0,0,1,3,3,46,38,4,82.6,8.7,8.7
2012-13,27403,Bethel,42,3,0,1,1,1,0,7,38,34,1,89.5,7.9,2.6
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,7,1,0,1,0,1,1,1,7,4,0,57.1,42.9,0.0
2012-13,18100,Bremerton,15,1,0,0,1,0,1,0,16,13,1,81.3,12.5,6.3
2012-13,24111,Brewster,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2012-13,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29100,Burlington-Edison,10,0,0,0,0,1,0,1,9,8,0,88.9,11.1,0.0
2012-13,06117,Camas,13,2,0,0,0,1,0,4,11,10,0,90.9,9.1,0.0
2012-13,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04228,Cascade,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,04222,Cashmere,2,0,0,1,0,0,0,0,2,1,0,50.0,50.0,0.0
2012-13,08401,Castle Rock,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,18401,Central Kitsap,20,3,0,0,0,0,0,2,21,20,1,95.2,0.0,4.8
2012-13,32356,Central Valley,35,2,0,0,0,0,0,0,37,36,1,97.3,0.0,2.7
2012-13,21401,Centralia,8,0,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2012-13,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32360,Cheney,14,0,0,0,0,1,0,2,12,10,1,83.3,8.3,8.3
2012-13,33036,Chewelah,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2012-13,16049,Chimacum,4,1,0,0,0,2,0,0,5,2,1,40.0,40.0,20.0
2012-13,02250,Clarkston,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,19404,Cle Elum-Roslyn,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2012-13,27400,Clover Park,9,1,0,0,0,0,0,6,4,4,0,100.0,0.0,0.0
2012-13,38300,Colfax,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,33206,Columbia (Stevens),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33115,Colville,4,0,0,1,0,1,0,1,3,1,0,33.3,66.7,0.0
2012-13,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,15204,Coupeville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10050,Curlew,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32414,Deer Park,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,32361,East Valley (Spokane),2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2012-13,39090,East Valley (Yakima),4,0,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2012-13,09206,Eastmont,11,1,0,0,0,1,2,0,12,9,0,75.0,25.0,0.0
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
