SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,39,5,1,1,0,1,8,5,39,20,8,51.3,28.2,20.5
2012-13,21226,Adna,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,29103,Anacortes,15,3,0,0,0,2,3,1,17,12,0,70.6,29.4,0.0
2012-13,31016,Arlington,57,4,0,0,3,6,7,5,56,32,8,57.1,28.6,14.3
2012-13,02420,Asotin-Anatone,6,2,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2012-13,17408,Auburn,107,12,1,3,3,11,18,16,103,55,12,53.4,35.0,11.7
2012-13,18303,Bainbridge Island,37,3,0,0,2,2,1,3,37,30,2,81.1,13.5,5.4
2012-13,27931,Bates Technical College,17,3,0,0,0,4,1,0,20,1,14,5.0,25.0,70.0
2012-13,06119,Battle Ground,87,18,1,0,1,9,4,19,86,64,7,74.4,17.4,8.1
2012-13,17405,Bellevue,151,7,0,4,1,7,1,11,147,117,17,79.6,8.8,11.6
2012-13,37501,Bellingham,95,14,3,1,5,9,7,19,90,43,22,47.8,27.8,24.4
2012-13,27403,Bethel,193,37,3,11,7,25,6,31,199,123,24,61.8,26.1,12.1
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,16,2,0,0,2,1,0,5,13,7,3,53.8,23.1,23.1
2012-13,18100,Bremerton,57,11,0,0,2,8,13,5,63,29,11,46.0,36.5,17.5
2012-13,24111,Brewster,10,2,0,0,3,1,2,0,12,6,0,50.0,50.0,0.0
2012-13,09075,Bridgeport,2,2,0,0,0,0,0,2,2,1,1,50.0,0.0,50.0
2012-13,29100,Burlington-Edison,30,5,1,0,2,2,0,6,29,24,0,82.8,17.2,0.0
2012-13,06117,Camas,46,16,1,0,0,1,2,15,47,38,5,80.9,8.5,10.6
2012-13,05401,Cape Flattery,7,0,0,0,0,0,0,0,7,5,2,71.4,0.0,28.6
2012-13,04228,Cascade,7,2,0,0,0,2,0,1,8,6,0,75.0,25.0,0.0
2012-13,04222,Cashmere,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,08401,Castle Rock,18,1,1,0,1,1,0,4,15,12,0,80.0,20.0,0.0
2012-13,18401,Central Kitsap,94,14,3,0,3,8,2,13,95,62,17,65.3,16.8,17.9
2012-13,32356,Central Valley,86,7,1,1,6,2,2,12,81,61,8,75.3,14.8,9.9
2012-13,21401,Centralia,23,4,1,1,3,3,2,2,25,14,1,56.0,40.0,4.0
2012-13,21302,Chehalis,23,3,0,0,0,3,2,4,22,15,2,68.2,22.7,9.1
2012-13,32360,Cheney,37,2,1,0,4,1,2,6,33,22,3,66.7,24.2,9.1
2012-13,33036,Chewelah,8,3,0,0,0,0,0,3,8,8,0,100.0,0.0,0.0
2012-13,16049,Chimacum,17,1,0,0,1,1,2,1,17,13,0,76.5,23.5,0.0
2012-13,02250,Clarkston,38,17,0,3,3,3,11,7,48,24,4,50.0,41.7,8.3
2012-13,19404,Cle Elum-Roslyn,5,2,0,0,0,2,0,0,7,4,1,57.1,28.6,14.3
2012-13,27400,Clover Park,89,37,7,0,1,3,6,61,65,42,6,64.6,26.2,9.2
2012-13,38300,Colfax,8,0,0,0,1,0,0,1,7,4,2,57.1,14.3,28.6
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2012-13,36400,Columbia (Walla Walla),6,0,0,0,0,1,0,0,6,5,0,83.3,16.7,0.0
