SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,13,5,1,1,1,3,2,2,16,6,2,37.5,50.0,12.5
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2012-13,31016,Arlington,4,2,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2012-13,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17408,Auburn,74,25,0,3,5,8,8,19,80,49,7,61.3,30.0,8.8
2012-13,18303,Bainbridge Island,1,3,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,27931,Bates Technical College,2,0,0,0,0,1,1,0,2,0,0,0.0,100.0,0.0
2012-13,06119,Battle Ground,76,25,1,0,2,4,5,13,88,71,5,80.7,13.6,5.7
2012-13,17405,Bellevue,66,89,5,4,6,9,4,36,119,86,5,72.3,23.5,4.2
2012-13,37501,Bellingham,22,15,3,4,0,1,3,4,33,21,1,63.6,33.3,3.0
2012-13,27403,Bethel,16,11,0,0,0,5,1,6,21,12,3,57.1,28.6,14.3
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,5,1,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2012-13,18100,Bremerton,6,4,0,0,0,0,0,2,8,7,1,87.5,0.0,12.5
2012-13,24111,Brewster,19,14,0,0,4,5,3,2,31,17,2,54.8,38.7,6.5
2012-13,09075,Bridgeport,6,6,0,0,1,1,1,2,10,6,1,60.0,30.0,10.0
2012-13,29100,Burlington-Edison,27,6,2,0,2,3,3,9,24,13,1,54.2,41.7,4.2
2012-13,06117,Camas,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,05401,Cape Flattery,3,0,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2012-13,04228,Cascade,2,6,0,0,1,2,0,3,5,2,0,40.0,60.0,0.0
2012-13,04222,Cashmere,6,3,0,2,0,0,0,3,6,4,0,66.7,33.3,0.0
2012-13,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,18401,Central Kitsap,16,11,1,1,2,0,0,1,26,22,0,84.6,15.4,0.0
2012-13,32356,Central Valley,18,4,1,0,0,1,1,1,21,17,1,81.0,14.3,4.8
2012-13,21401,Centralia,17,8,0,1,1,1,2,6,19,14,0,73.7,26.3,0.0
2012-13,21302,Chehalis,0,5,0,0,0,0,0,5,0,0,0,n/a,n/a,n/a
2012-13,32360,Cheney,3,1,0,1,0,2,0,0,4,1,0,25.0,75.0,0.0
2012-13,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,16049,Chimacum,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,02250,Clarkston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19404,Cle Elum-Roslyn,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,27400,Clover Park,30,20,1,1,1,4,4,22,28,17,0,60.7,39.3,0.0
2012-13,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,36400,Columbia (Walla Walla),3,2,0,0,1,0,1,0,5,3,0,60.0,40.0,0.0
2012-13,33115,Colville,5,1,0,0,1,1,0,0,6,4,0,66.7,33.3,0.0
2012-13,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,15204,Coupeville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32414,Deer Park,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,32361,East Valley (Spokane),10,4,1,0,0,1,1,3,11,8,0,72.7,27.3,0.0
2012-13,39090,East Valley (Yakima),7,1,0,0,0,0,3,3,5,2,0,40.0,60.0,0.0
2012-13,09206,Eastmont,44,14,0,2,3,3,8,4,54,34,4,63.0,29.6,7.4
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
