SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,183,18,4,3,7,7,23,12,189,132,13,69.8,23.3,6.9
2012-13,21226,Adna,46,7,0,0,0,4,0,3,50,45,1,90.0,8.0,2.0
2012-13,29103,Anacortes,188,28,0,1,4,8,12,32,184,158,1,85.9,13.6,0.5
2012-13,31016,Arlington,350,33,3,0,9,22,19,43,340,275,12,80.9,15.6,3.5
2012-13,02420,Asotin-Anatone,36,10,1,0,0,0,1,6,40,38,0,95.0,5.0,0.0
2012-13,17408,Auburn,752,80,2,11,17,46,40,74,758,622,20,82.1,15.3,2.6
2012-13,18303,Bainbridge Island,347,34,0,0,4,6,2,34,347,333,2,96.0,3.5,0.6
2012-13,27931,Bates Technical College,75,12,0,0,1,25,6,0,87,6,49,6.9,36.8,56.3
2012-13,06119,Battle Ground,906,114,8,6,22,49,37,120,900,758,20,84.2,13.6,2.2
2012-13,17405,Bellevue,782,101,11,18,7,22,2,76,807,732,15,90.7,7.4,1.9
2012-13,37501,Bellingham,655,87,11,10,14,39,21,115,627,513,19,81.8,15.2,3.0
2012-13,27403,Bethel,786,115,7,17,16,69,34,135,766,588,35,76.8,18.7,4.6
2012-13,20203,Bickleton,1,2,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,37503,Blaine,119,14,0,2,3,9,6,19,114,91,3,79.8,17.5,2.6
2012-13,18100,Bremerton,231,39,2,2,8,17,22,24,246,182,13,74.0,20.7,5.3
2012-13,24111,Brewster,8,1,0,0,0,1,1,0,9,7,0,77.8,22.2,0.0
2012-13,09075,Bridgeport,4,2,1,0,0,0,0,1,5,4,0,80.0,20.0,0.0
2012-13,29100,Burlington-Edison,216,13,0,1,5,6,2,25,204,189,1,92.6,6.9,0.5
2012-13,06117,Camas,340,54,3,0,6,3,4,57,337,313,8,92.9,4.7,2.4
2012-13,05401,Cape Flattery,8,0,1,0,0,0,0,0,8,7,0,87.5,12.5,0.0
2012-13,04228,Cascade,58,15,0,0,0,2,2,21,52,48,0,92.3,7.7,0.0
2012-13,04222,Cashmere,84,3,0,0,1,0,1,9,78,76,0,97.4,2.6,0.0
