SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,10,3,1,0,0,1,1,2,11,8,0,72.7,27.3,0.0
2013-14,21226,Adna,4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2013-14,29103,Anacortes,8,3,0,0,0,0,0,4,7,7,0,100.0,0.0,0.0
2013-14,31016,Arlington,8,2,0,0,0,0,0,2,8,8,0,100.0,0.0,0.0
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,90,19,1,0,2,8,7,11,98,80,0,81.6,18.4,0.0
2013-14,18303,Bainbridge Island,12,1,0,0,0,0,0,1,12,12,0,100.0,0.0,0.0
2013-14,06119,Battle Ground,15,10,0,0,1,1,0,6,19,17,0,89.5,10.5,0.0
2013-14,17405,Bellevue,440,91,6,1,1,11,4,48,483,451,9,93.4,4.8,1.9
2013-14,37501,Bellingham,44,13,1,0,0,1,1,9,48,44,1,91.7,6.3,2.1
2013-14,27403,Bethel,107,12,3,0,1,1,4,18,101,91,1,90.1,8.9,1.0
2013-14,20203,Bickleton,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2013-14,18100,Bremerton,16,10,0,0,0,0,1,4,22,20,1,90.9,4.5,4.5
2013-14,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29100,Burlington-Edison,4,3,0,0,0,1,0,2,5,4,0,80.0,20.0,0.0
2013-14,06117,Camas,22,9,0,0,0,0,0,7,24,23,1,95.8,0.0,4.2
2013-14,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
