SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,1,2,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2013-14,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29103,Anacortes,5,2,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2013-14,31016,Arlington,4,0,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,69,18,0,0,0,11,8,16,71,48,4,67.6,26.8,5.6
2013-14,18303,Bainbridge Island,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,06119,Battle Ground,9,2,0,0,1,2,0,3,8,5,0,62.5,37.5,0.0
2013-14,17405,Bellevue,48,8,1,0,0,1,2,9,47,39,4,83.0,8.5,8.5
2013-14,37501,Bellingham,16,2,0,1,2,0,0,6,12,6,3,50.0,25.0,25.0
2013-14,27403,Bethel,139,24,3,2,4,8,2,36,127,100,8,78.7,15.0,6.3
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,18100,Bremerton,24,10,0,0,0,2,3,6,28,22,1,78.6,17.9,3.6
2013-14,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29100,Burlington-Edison,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,06117,Camas,4,2,1,0,0,0,0,2,4,3,0,75.0,25.0,0.0
2013-14,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04228,Cascade,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,04222,Cashmere,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,08401,Castle Rock,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2013-14,18401,Central Kitsap,23,15,2,0,0,2,1,11,27,22,0,81.5,18.5,0.0
2013-14,32356,Central Valley,9,5,0,0,1,0,1,3,11,9,0,81.8,18.2,0.0
2013-14,21401,Centralia,5,2,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2013-14,21302,Chehalis,1,1,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2013-14,32360,Cheney,7,0,0,0,0,0,0,0,7,7,0,100.0,0.0,0.0
2013-14,33036,Chewelah,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,02250,Clarkston,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,19404,Cle Elum-Roslyn,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,27400,Clover Park,106,62,1,1,0,8,1,88,80,68,1,85.0,13.8,1.3
2013-14,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,36400,Columbia (Walla Walla),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33115,Colville,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,15204,Coupeville,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,07002,Dayton,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,32414,Deer Park,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2013-14,32361,East Valley (Spokane),6,0,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,39090,East Valley (Yakima),3,0,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2013-14,09206,Eastmont,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,19028,Easton,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27404,Eatonville,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,31015,Edmonds,90,16,0,3,2,3,4,6,100,82,6,82.0,12.0,6.0
2013-14,32801,Educational Service District 101,2,2,0,0,0,4,0,0,4,0,0,0.0,100.0,0.0
2013-14,19401,Ellensburg,4,1,0,0,0,2,0,1,4,2,0,50.0,50.0,0.0
2013-14,14068,Elma,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17216,Enumclaw,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13165,Ephrata,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,31002,Everett,51,3,0,1,0,2,1,13,41,34,3,82.9,9.8,7.3
2013-14,06114,Evergreen (Clark),63,25,1,1,1,4,7,10,78,59,5,75.6,17.9,6.4
2013-14,17210,Federal Way,193,33,2,4,6,9,15,39,187,148,3,79.1,19.3,1.6
2013-14,37502,Ferndale,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,27417,Fife,10,5,0,0,0,0,1,3,12,11,0,91.7,8.3,0.0
2013-14,03053,Finley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,27402,Franklin Pierce,95,19,1,3,0,5,2,34,80,68,1,85.0,13.8,1.3
2013-14,32358,Freeman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38302,Garfield,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20401,Glenwood,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20404,Goldendale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,39200,Grandview,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,31332,Granite Falls,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,22204,Harrington,,,,,,,,,,,,n/a,n/a,n/a
2013-14,39203,Highland,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17401,Highline,123,47,6,3,7,10,13,26,144,88,17,61.1,27.1,11.8
2013-14,06098,Hockinson,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,14028,Hoquiam,2,0,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2013-14,10070,Inchelium,,,,,,,,,,,,n/a,n/a,n/a
2013-14,17411,Issaquah,25,6,0,1,1,0,1,4,27,24,0,88.9,11.1,0.0
2013-14,11056,Kahlotus,,,,,,,,,,,,n/a,n/a,n/a
2013-14,08402,Kalama,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,08458,Kelso,7,1,0,0,0,0,2,1,7,5,0,71.4,28.6,0.0
2013-14,03017,Kennewick,23,10,0,1,4,3,0,3,30,21,1,70.0,26.7,3.3
2013-14,17415,Kent,168,54,5,1,3,10,3,39,183,154,7,84.2,12.0,3.8
2013-14,33212,Kettle Falls,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,03052,Kiona-Benton City,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,19403,Kittitas,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,20402,Klickitat,,,,,,,,,,,,n/a,n/a,n/a
2013-14,06101,La Center,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,14097,Lake Quinault,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,31004,Lake Stevens,10,2,0,0,0,0,0,1,11,11,0,100.0,0.0,0.0
2013-14,17937,Lake Washington Institute of Technology,4,0,0,0,0,0,1,0,4,1,2,25.0,25.0,50.0
2013-14,17414,Lake Washington,22,7,0,0,1,1,1,5,24,21,0,87.5,12.5,0.0
2013-14,31306,Lakewood,6,0,1,0,0,0,0,0,6,5,0,83.3,16.7,0.0
2013-14,32362,Liberty,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,08122,Longview,5,1,0,0,1,0,0,1,5,4,0,80.0,20.0,0.0
