SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,113,16,2,1,4,7,7,18,111,87,3,78.4,18.9,2.7
2013-14,21226,Adna,17,2,0,0,0,1,0,2,17,16,0,94.1,5.9,0.0
2013-14,29103,Anacortes,112,19,0,2,2,7,0,23,108,95,2,88.0,10.2,1.9
2013-14,31016,Arlington,213,24,0,4,4,3,3,31,206,187,5,90.8,6.8,2.4
2013-14,02420,Asotin-Anatone,16,4,0,0,0,0,0,3,17,17,0,100.0,0.0,0.0
2013-14,17408,Auburn,589,79,7,3,12,40,32,70,598,491,13,82.1,15.7,2.2
2013-14,18303,Bainbridge Island,174,22,0,0,1,2,0,24,172,167,2,97.1,1.7,1.2
2013-14,06119,Battle Ground,533,84,1,5,5,35,26,76,541,453,16,83.7,13.3,3.0
2013-14,17405,Bellevue,675,120,11,1,6,24,5,69,726,664,15,91.5,6.5,2.1
2013-14,37501,Bellingham,436,62,2,4,10,21,15,67,431,363,16,84.2,12.1,3.7
2013-14,27403,Bethel,569,105,7,5,15,28,17,127,547,457,18,83.5,13.2,3.3
2013-14,20203,Bickleton,5,1,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,37503,Blaine,76,11,0,4,2,1,2,17,70,59,2,84.3,12.9,2.9
2013-14,18100,Bremerton,166,37,1,1,3,10,10,28,175,143,7,81.7,14.3,4.0
2013-14,24111,Brewster,22,2,0,0,0,2,4,2,22,16,0,72.7,27.3,0.0
2013-14,09075,Bridgeport,28,9,0,1,0,2,0,4,33,29,1,87.9,9.1,3.0
2013-14,29100,Burlington-Edison,156,19,1,1,7,6,5,25,150,128,2,85.3,13.3,1.3
2013-14,06117,Camas,257,37,2,0,0,4,2,45,249,232,9,93.2,3.2,3.6
2013-14,05401,Cape Flattery,14,4,0,0,0,2,1,2,16,12,1,75.0,18.8,6.3
2013-14,04228,Cascade,46,8,0,1,0,1,0,11,43,41,0,95.3,4.7,0.0
2013-14,04222,Cashmere,50,5,0,0,0,0,0,8,47,47,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,66,5,0,1,0,1,1,4,67,62,2,92.5,4.5,3.0
2013-14,18401,Central Kitsap,441,93,2,3,5,9,10,82,452,423,0,93.6,6.4,0.0
2013-14,32356,Central Valley,430,66,2,2,4,10,4,60,436,403,11,92.4,5.0,2.5
2013-14,21401,Centralia,145,21,2,5,3,10,12,12,154,118,4,76.6,20.8,2.6
2013-14,21302,Chehalis,132,16,1,1,3,5,5,12,136,117,4,86.0,11.0,2.9
2013-14,32360,Cheney,141,21,0,1,3,3,3,20,142,130,2,91.5,7.0,1.4
2013-14,33036,Chewelah,43,12,0,1,1,5,1,12,43,33,2,76.7,18.6,4.7
2013-14,16049,Chimacum,55,10,0,0,1,3,3,10,55,47,1,85.5,12.7,1.8
2013-14,02250,Clarkston,97,36,1,5,6,12,8,16,117,76,9,65.0,27.4,7.7
