SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,159,24,2,3,8,15,16,24,159,103,12,64.8,27.7,7.5
2013-14,21226,Adna,15,2,0,0,0,1,0,2,15,14,0,93.3,6.7,0.0
2013-14,29103,Anacortes,87,9,0,2,2,8,3,14,82,66,1,80.5,18.3,1.2
2013-14,31016,Arlington,153,12,0,2,5,8,7,22,143,108,13,75.5,15.4,9.1
2013-14,02420,Asotin-Anatone,11,2,0,1,1,0,0,0,13,11,0,84.6,15.4,0.0
2013-14,17408,Auburn,618,95,8,9,30,84,65,87,626,407,23,65.0,31.3,3.7
2013-14,18303,Bainbridge Island,44,5,0,1,2,4,1,5,44,30,6,68.2,18.2,13.6
2013-14,06119,Battle Ground,510,71,1,4,7,56,44,72,509,374,23,73.5,22.0,4.5
2013-14,17405,Bellevue,347,97,3,0,9,24,10,55,389,327,16,84.1,11.8,4.1
2013-14,37501,Bellingham,335,51,1,7,12,34,21,49,337,239,23,70.9,22.3,6.8
2013-14,27403,Bethel,681,100,11,14,35,58,43,133,648,453,34,69.9,24.8,5.2
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,81,10,0,3,5,5,2,12,79,61,3,77.2,19.0,3.8
2013-14,18100,Bremerton,252,49,0,2,10,17,32,43,258,183,14,70.9,23.6,5.4
2013-14,24111,Brewster,56,9,0,1,1,6,5,6,59,46,0,78.0,22.0,0.0
2013-14,09075,Bridgeport,52,19,0,1,4,5,0,7,64,53,1,82.8,15.6,1.6
2013-14,29100,Burlington-Edison,154,16,1,4,8,5,14,21,149,108,9,72.5,21.5,6.0
2013-14,06117,Camas,107,16,1,0,3,4,1,23,100,87,4,87.0,9.0,4.0
2013-14,05401,Cape Flattery,19,4,0,0,0,2,1,1,22,18,1,81.8,13.6,4.5
2013-14,04228,Cascade,43,8,0,2,2,5,1,8,43,33,0,76.7,23.3,0.0
2013-14,04222,Cashmere,47,6,1,0,0,1,0,11,42,39,1,92.9,4.8,2.4
2013-14,08401,Castle Rock,75,7,1,1,0,4,5,7,75,60,4,80.0,14.7,5.3
2013-14,18401,Central Kitsap,308,63,1,4,5,14,20,54,317,272,1,85.8,13.9,0.3
2013-14,32356,Central Valley,379,56,3,4,5,23,19,60,375,308,13,82.1,14.4,3.5
2013-14,21401,Centralia,237,25,2,7,7,17,20,23,239,180,6,75.3,22.2,2.5
2013-14,21302,Chehalis,123,10,1,1,3,8,6,13,120,91,10,75.8,15.8,8.3
2013-14,32360,Cheney,148,14,0,4,5,6,7,26,136,112,2,82.4,16.2,1.5
2013-14,33036,Chewelah,61,8,0,2,4,8,2,6,63,43,4,68.3,25.4,6.3
2013-14,16049,Chimacum,60,7,0,0,3,3,5,11,56,43,2,76.8,19.6,3.6
2013-14,02250,Clarkston,127,39,1,6,10,15,16,20,146,84,14,57.5,32.9,9.6
2013-14,19404,Cle Elum-Roslyn,42,9,0,0,0,2,1,3,48,42,3,87.5,6.3,6.3
2013-14,27400,Clover Park,461,162,11,5,21,31,14,284,338,250,6,74.0,24.3,1.8
2013-14,38300,Colfax,15,5,0,0,0,3,1,6,14,10,0,71.4,28.6,0.0
2013-14,38306,Colton,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),11,1,0,0,0,0,0,2,10,10,0,100.0,0.0,0.0
2013-14,36400,Columbia (Walla Walla),31,14,0,1,2,4,2,2,43,32,2,74.4,20.9,4.7
2013-14,33115,Colville,95,17,1,3,7,11,4,13,99,71,2,71.7,26.3,2.0
2013-14,29011,Concrete,34,5,0,2,3,6,4,4,35,20,0,57.1,42.9,0.0
2013-14,13151,Coulee-Hartline,7,2,0,0,0,0,0,0,9,9,0,100.0,0.0,0.0
2013-14,15204,Coupeville,36,4,0,1,0,3,1,12,28,21,2,75.0,17.9,7.1
2013-14,05313,Crescent,11,2,0,0,1,1,1,1,12,9,0,75.0,25.0,0.0
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,17,0,0,1,0,2,0,4,13,10,0,76.9,23.1,0.0
2013-14,26059,Cusick,11,3,0,0,1,0,0,1,13,12,0,92.3,7.7,0.0
