SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,52,9,1,0,2,6,5,9,52,36,2,69.2,26.9,3.8
2013-14,21226,Adna,4,0,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2013-14,29103,Anacortes,15,3,0,0,0,1,1,3,15,13,0,86.7,13.3,0.0
2013-14,31016,Arlington,35,5,0,0,0,1,2,7,33,27,3,81.8,9.1,9.1
2013-14,02420,Asotin-Anatone,2,1,0,0,1,0,0,1,2,1,0,50.0,50.0,0.0
2013-14,17408,Auburn,221,35,1,1,7,26,29,45,211,142,5,67.3,30.3,2.4
2013-14,18303,Bainbridge Island,14,2,0,0,0,0,0,2,14,14,0,100.0,0.0,0.0
2013-14,06119,Battle Ground,78,8,1,1,0,4,5,15,71,56,4,78.9,15.5,5.6
2013-14,17405,Bellevue,114,32,1,0,7,6,1,26,120,103,2,85.8,12.5,1.7
2013-14,37501,Bellingham,93,19,1,1,2,9,6,18,94,70,5,74.5,20.2,5.3
2013-14,27403,Bethel,135,30,3,2,6,6,5,33,132,102,8,77.3,16.7,6.1
2013-14,20203,Bickleton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,37503,Blaine,25,4,0,1,1,0,2,5,24,16,4,66.7,16.7,16.7
2013-14,18100,Bremerton,61,13,0,1,3,5,7,10,64,45,3,70.3,25.0,4.7
2013-14,24111,Brewster,44,9,0,1,1,6,5,6,47,34,0,72.3,27.7,0.0
2013-14,09075,Bridgeport,47,16,0,1,4,5,0,5,58,47,1,81.0,17.2,1.7
2013-14,29100,Burlington-Edison,84,7,1,2,3,0,3,11,80,65,6,81.3,11.3,7.5
2013-14,06117,Camas,28,7,0,0,1,0,1,7,28,25,1,89.3,7.1,3.6
2013-14,05401,Cape Flattery,3,0,0,0,0,1,0,0,3,1,1,33.3,33.3,33.3
2013-14,04228,Cascade,23,6,0,1,1,2,1,4,25,20,0,80.0,20.0,0.0
2013-14,04222,Cashmere,35,5,1,0,0,1,0,7,33,30,1,90.9,6.1,3.0
2013-14,08401,Castle Rock,6,1,0,0,0,0,1,0,7,6,0,85.7,14.3,0.0
2013-14,18401,Central Kitsap,85,27,2,3,2,4,2,20,92,79,0,85.9,14.1,0.0
2013-14,32356,Central Valley,54,7,1,1,0,1,2,9,52,47,0,90.4,9.6,0.0
2013-14,21401,Centralia,59,7,3,1,2,4,3,4,62,45,4,72.6,21.0,6.5
2013-14,21302,Chehalis,24,5,1,0,0,3,2,6,23,16,1,69.6,26.1,4.3
2013-14,32360,Cheney,22,4,0,2,0,1,2,7,19,13,1,68.4,26.3,5.3
2013-14,33036,Chewelah,3,2,0,0,0,0,0,2,3,2,1,66.7,0.0,33.3
2013-14,16049,Chimacum,4,2,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2013-14,02250,Clarkston,8,5,0,1,1,3,0,4,9,3,1,33.3,55.6,11.1
2013-14,19404,Cle Elum-Roslyn,7,1,0,0,0,0,0,1,7,6,1,85.7,0.0,14.3
2013-14,27400,Clover Park,156,60,6,1,12,11,8,95,121,82,1,67.8,31.4,0.8
2013-14,38300,Colfax,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2013-14,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
