SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,126,21,0,2,5,10,12,20,127,88,10,69.3,22.8,7.9
2013-14,21226,Adna,23,3,0,0,1,0,0,4,22,21,0,95.5,4.5,0.0
2013-14,29103,Anacortes,108,20,0,3,3,4,4,20,108,93,1,86.1,13.0,0.9
2013-14,31016,Arlington,217,20,0,3,5,10,6,32,205,170,11,82.9,11.7,5.4
2013-14,02420,Asotin-Anatone,21,4,0,1,1,0,0,2,23,21,0,91.3,8.7,0.0
2013-14,17408,Auburn,614,83,4,11,21,62,52,83,614,449,15,73.1,24.4,2.4
2013-14,18303,Bainbridge Island,176,22,0,1,2,5,2,23,175,160,5,91.4,5.7,2.9
2013-14,06119,Battle Ground,538,67,0,6,11,39,32,75,530,422,20,79.6,16.6,3.8
2013-14,17405,Bellevue,761,137,8,0,6,32,10,99,799,724,19,90.6,7.0,2.4
2013-14,37501,Bellingham,425,46,4,7,4,24,10,55,416,345,22,82.9,11.8,5.3
2013-14,27403,Bethel,698,98,13,13,34,57,38,124,672,489,28,72.8,23.1,4.2
2013-14,20203,Bickleton,7,1,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2013-14,37503,Blaine,75,14,0,0,3,4,1,18,71,60,3,84.5,11.3,4.2
2013-14,18100,Bremerton,193,44,0,1,7,12,23,38,199,147,9,73.9,21.6,4.5
2013-14,24111,Brewster,35,7,0,1,1,4,1,5,37,30,0,81.1,18.9,0.0
2013-14,09075,Bridgeport,24,10,0,0,4,3,0,3,31,24,0,77.4,22.6,0.0
2013-14,29100,Burlington-Edison,156,13,0,4,2,7,10,14,155,124,8,80.0,14.8,5.2
