SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,7,0,0,1,0,1,1,1,6,3,0,50.0,50.0,0.0
2013-14,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29103,Anacortes,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,31016,Arlington,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,5,0,0,0,1,1,0,0,5,3,0,60.0,40.0,0.0
2013-14,18303,Bainbridge Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,06119,Battle Ground,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,17405,Bellevue,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37501,Bellingham,9,3,0,0,1,0,0,1,11,10,0,90.9,9.1,0.0
2013-14,27403,Bethel,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,18100,Bremerton,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,24111,Brewster,13,7,0,0,1,2,1,3,17,13,0,76.5,23.5,0.0
2013-14,09075,Bridgeport,11,8,0,0,0,2,0,2,17,14,1,82.4,11.8,5.9
2013-14,29100,Burlington-Edison,21,1,1,2,1,0,2,2,20,14,0,70.0,30.0,0.0
2013-14,06117,Camas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04228,Cascade,4,2,0,0,0,0,0,0,6,6,0,100.0,0.0,0.0
2013-14,04222,Cashmere,13,2,0,0,0,1,0,2,13,11,1,84.6,7.7,7.7
2013-14,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,18401,Central Kitsap,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,32356,Central Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,21401,Centralia,7,2,0,1,0,2,0,2,7,4,0,57.1,42.9,0.0
2013-14,21302,Chehalis,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
