SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,7,2,0,1,2,0,1,2,7,3,0,42.9,57.1,0.0
2013-14,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29103,Anacortes,2,1,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,31016,Arlington,29,2,0,1,1,0,3,2,29,22,2,75.9,17.2,6.9
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,85,14,0,1,2,10,9,7,92,67,3,72.8,23.9,3.3
2013-14,18303,Bainbridge Island,12,1,0,0,1,0,0,1,12,11,0,91.7,8.3,0.0
2013-14,06119,Battle Ground,38,8,0,2,3,5,2,3,43,30,1,69.8,27.9,2.3
2013-14,17405,Bellevue,91,19,1,0,0,4,1,8,102,91,5,89.2,5.9,4.9
2013-14,37501,Bellingham,27,4,0,0,0,0,2,1,30,26,2,86.7,6.7,6.7
2013-14,27403,Bethel,28,23,0,0,1,4,5,14,37,27,0,73.0,27.0,0.0
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,8,1,0,0,0,1,0,0,9,8,0,88.9,11.1,0.0
2013-14,18100,Bremerton,56,9,0,0,0,3,4,10,55,46,2,83.6,12.7,3.6
2013-14,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29100,Burlington-Edison,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2013-14,06117,Camas,28,6,1,0,1,0,0,5,29,26,1,89.7,6.9,3.4
2013-14,05401,Cape Flattery,9,2,0,0,0,0,1,0,11,10,0,90.9,9.1,0.0
2013-14,04228,Cascade,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2013-14,04222,Cashmere,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,18401,Central Kitsap,142,21,1,0,0,1,7,18,145,136,0,93.8,6.2,0.0
2013-14,32356,Central Valley,43,3,0,0,0,0,0,5,41,39,2,95.1,0.0,4.9
2013-14,21401,Centralia,6,0,0,1,0,0,1,1,5,3,0,60.0,40.0,0.0
2013-14,21302,Chehalis,43,0,0,0,1,2,0,2,41,38,0,92.7,7.3,0.0
2013-14,32360,Cheney,15,0,0,0,0,3,0,3,12,9,0,75.0,25.0,0.0
2013-14,33036,Chewelah,5,0,0,0,1,1,0,0,5,3,0,60.0,40.0,0.0
2013-14,16049,Chimacum,12,1,0,0,1,1,0,1,12,10,0,83.3,16.7,0.0
2013-14,02250,Clarkston,2,5,0,0,0,1,0,2,5,2,2,40.0,20.0,40.0
2013-14,19404,Cle Elum-Roslyn,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,27400,Clover Park,71,11,0,0,0,2,2,27,55,51,0,92.7,7.3,0.0
2013-14,38300,Colfax,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,36400,Columbia (Walla Walla),1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,33115,Colville,7,3,0,0,0,0,0,2,8,8,0,100.0,0.0,0.0
2013-14,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13151,Coulee-Hartline,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,15204,Coupeville,2,0,0,0,0,1,0,0,2,0,1,0.0,50.0,50.0
2013-14,05313,Crescent,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,26059,Cusick,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2013-14,31330,Darrington,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,32414,Deer Park,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,32361,East Valley (Spokane),14,1,0,0,0,0,0,2,13,13,0,100.0,0.0,0.0
2013-14,39090,East Valley (Yakima),4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,09206,Eastmont,17,4,1,0,0,1,0,0,21,18,1,85.7,9.5,4.8
2013-14,19028,Easton,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27404,Eatonville,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,31015,Edmonds,121,9,0,0,0,2,6,13,117,105,4,89.7,6.8,3.4
2013-14,32801,Educational Service District 101,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,19401,Ellensburg,4,1,0,0,0,1,0,2,3,1,1,33.3,33.3,33.3
2013-14,14068,Elma,5,1,0,0,2,0,0,1,5,3,0,60.0,40.0,0.0
2013-14,04127,Entiat,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,17216,Enumclaw,11,1,0,0,0,2,0,1,11,8,1,72.7,18.2,9.1
2013-14,13165,Ephrata,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,31002,Everett,39,9,0,1,0,1,0,11,37,33,2,89.2,5.4,5.4
2013-14,06114,Evergreen (Clark),120,13,0,2,3,4,6,10,123,106,2,86.2,12.2,1.6
2013-14,17210,Federal Way,111,15,0,3,4,4,6,18,108,88,3,81.5,15.7,2.8
2013-14,37502,Ferndale,19,1,0,1,4,0,1,1,19,13,0,68.4,31.6,0.0
2013-14,27417,Fife,18,7,0,0,0,5,1,3,22,14,2,63.6,27.3,9.1
2013-14,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,27402,Franklin Pierce,39,10,1,1,2,7,2,5,44,31,0,70.5,29.5,0.0
2013-14,32358,Freeman,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,38302,Garfield,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20401,Glenwood,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20404,Goldendale,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,13301,Grand Coulee Dam,10,0,0,0,0,1,1,0,10,8,0,80.0,20.0,0.0
2013-14,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,39204,Granger,4,0,0,0,1,0,0,1,3,2,0,66.7,33.3,0.0
2013-14,31332,Granite Falls,6,0,0,0,1,0,1,0,6,4,0,66.7,33.3,0.0
2013-14,22204,Harrington,,,,,,,,,,,,n/a,n/a,n/a
2013-14,39203,Highland,3,0,0,0,1,1,0,0,3,1,0,33.3,66.7,0.0
2013-14,17401,Highline,123,8,0,2,3,13,9,7,124,91,6,73.4,21.8,4.8
2013-14,06098,Hockinson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,14028,Hoquiam,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,10070,Inchelium,,,,,,,,,,,,n/a,n/a,n/a
2013-14,17411,Issaquah,37,11,0,0,1,1,1,5,43,38,2,88.4,7.0,4.7
2013-14,11056,Kahlotus,,,,,,,,,,,,n/a,n/a,n/a
2013-14,08402,Kalama,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,08458,Kelso,23,2,1,0,1,0,0,3,22,20,0,90.9,9.1,0.0
2013-14,03017,Kennewick,16,4,0,0,2,0,0,3,17,15,0,88.2,11.8,0.0
2013-14,17415,Kent,145,10,1,0,1,2,1,18,137,129,3,94.2,3.6,2.2
2013-14,33212,Kettle Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,03052,Kiona-Benton City,2,2,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2013-14,19403,Kittitas,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,20402,Klickitat,,,,,,,,,,,,n/a,n/a,n/a
