SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,5,1,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,31016,Arlington,9,3,0,1,0,0,1,1,11,8,1,72.7,18.2,9.1
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,87,46,1,1,0,5,3,64,69,55,4,79.7,14.5,5.8
2010-11,18303,Bainbridge Island,8,0,0,0,0,0,0,4,4,3,1,75.0,0.0,25.0
2010-11,06119,Battle Ground,10,8,0,0,0,0,0,9,9,9,0,100.0,0.0,0.0
2010-11,17405,Bellevue,35,21,0,0,1,0,1,25,31,27,2,87.1,6.5,6.5
2010-11,37501,Bellingham,31,8,0,1,0,1,0,17,22,20,0,90.9,9.1,0.0
2010-11,27403,Bethel,193,69,2,0,3,13,19,124,138,97,4,70.3,26.8,2.9
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,5,2,0,0,0,0,0,3,4,4,0,100.0,0.0,0.0
2010-11,18100,Bremerton,49,13,1,0,1,5,3,22,40,29,1,72.5,25.0,2.5
2010-11,24111,Brewster,1,1,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,09075,Bridgeport,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,29100,Burlington-Edison,5,1,0,0,0,1,0,4,2,1,0,50.0,50.0,0.0
2010-11,06117,Camas,7,6,0,0,0,0,1,2,11,9,1,81.8,9.1,9.1
