SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,5,1,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2011-12,21226,Adna,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,13,1,0,0,0,1,0,3,11,10,0,90.9,9.1,0.0
2011-12,31016,Arlington,12,0,0,0,0,1,0,1,11,10,0,90.9,9.1,0.0
2011-12,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17408,Auburn,90,55,0,4,1,8,2,48,97,82,0,84.5,15.5,0.0
2011-12,18303,Bainbridge Island,8,1,0,0,0,0,0,0,9,9,0,100.0,0.0,0.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,12,5,0,0,0,0,0,6,11,11,0,100.0,0.0,0.0
2011-12,17405,Bellevue,342,121,0,0,0,8,5,84,379,357,9,94.2,3.4,2.4
2011-12,37501,Bellingham,42,21,1,1,1,2,2,14,49,41,1,83.7,14.3,2.0
2011-12,27403,Bethel,133,49,0,1,4,12,1,50,132,109,5,82.6,13.6,3.8
2011-12,20203,Bickleton,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,6,3,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,21,11,0,0,1,0,1,10,22,20,0,90.9,9.1,0.0
2011-12,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29100,Burlington-Edison,3,5,0,0,0,2,0,2,6,4,0,66.7,33.3,0.0
2011-12,06117,Camas,13,9,0,0,1,0,1,8,14,12,0,85.7,14.3,0.0
2011-12,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04222,Cashmere,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2011-12,08401,Castle Rock,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,18401,Central Kitsap,75,18,0,0,0,0,0,22,71,70,1,98.6,0.0,1.4
2011-12,32356,Central Valley,17,7,0,0,0,0,0,6,18,17,1,94.4,0.0,5.6
2011-12,21401,Centralia,1,2,0,0,0,0,0,2,1,0,1,0.0,0.0,100.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
