SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,7,2,0,0,0,0,0,4,5,5,0,100.0,0.0,0.0
2011-12,21226,Adna,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,14,2,0,0,0,1,0,4,12,11,0,91.7,8.3,0.0
2011-12,31016,Arlington,12,1,0,0,0,1,0,1,12,11,0,91.7,8.3,0.0
2011-12,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17408,Auburn,114,68,0,4,1,13,6,59,123,99,0,80.5,19.5,0.0
2011-12,18303,Bainbridge Island,10,1,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,13,9,0,2,0,0,0,7,15,13,0,86.7,13.3,0.0
2011-12,17405,Bellevue,343,121,0,0,0,8,5,85,379,357,9,94.2,3.4,2.4
2011-12,37501,Bellingham,46,23,2,1,1,2,2,17,52,42,2,80.8,15.4,3.8
2011-12,27403,Bethel,147,63,0,1,4,14,1,66,144,117,7,81.3,13.9,4.9
2011-12,20203,Bickleton,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,8,5,0,0,0,0,1,3,10,8,1,80.0,10.0,10.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,30,18,0,0,1,0,2,17,31,27,1,87.1,9.7,3.2
2011-12,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29100,Burlington-Edison,3,5,0,0,0,2,0,2,6,4,0,66.7,33.3,0.0
2011-12,06117,Camas,14,9,0,0,1,0,1,9,14,12,0,85.7,14.3,0.0
2011-12,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04222,Cashmere,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
