SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,3,2,0,0,0,0,1,4,1,0,0,0.0,100.0,0.0
2011-12,31016,Arlington,8,5,0,0,0,0,3,3,10,7,0,70.0,30.0,0.0
2011-12,02420,Asotin-Anatone,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,17408,Auburn,79,85,2,1,3,6,5,71,93,75,1,80.6,18.3,1.1
2011-12,18303,Bainbridge Island,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,13,6,0,0,1,0,1,9,10,8,0,80.0,20.0,0.0
2011-12,17405,Bellevue,43,41,0,0,2,0,2,40,44,38,2,86.4,9.1,4.5
2011-12,37501,Bellingham,20,16,1,1,1,4,0,14,22,12,3,54.5,31.8,13.6
2011-12,27403,Bethel,126,99,0,4,1,12,3,100,125,95,10,76.0,16.0,8.0
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,0,5,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,28,23,0,1,1,1,1,24,27,18,5,66.7,14.8,18.5
2011-12,24111,Brewster,1,0,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2011-12,09075,Bridgeport,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2011-12,29100,Burlington-Edison,3,6,0,0,0,0,0,4,5,5,0,100.0,0.0,0.0
2011-12,06117,Camas,5,4,0,0,0,0,0,3,6,6,0,100.0,0.0,0.0
2011-12,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04222,Cashmere,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,08401,Castle Rock,0,2,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2011-12,18401,Central Kitsap,33,24,0,2,1,1,2,26,31,21,4,67.7,19.4,12.9
2011-12,32356,Central Valley,9,10,0,0,1,0,0,13,6,5,0,83.3,16.7,0.0
2011-12,21401,Centralia,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,32360,Cheney,10,5,0,0,0,0,0,6,9,9,0,100.0,0.0,0.0
2011-12,33036,Chewelah,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,02250,Clarkston,2,2,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2011-12,19404,Cle Elum-Roslyn,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,27400,Clover Park,171,124,2,2,6,3,5,195,100,75,7,75.0,18.0,7.0
2011-12,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,36400,Columbia (Walla Walla),1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,33115,Colville,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2011-12,29011,Concrete,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2011-12,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,15204,Coupeville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,31330,Darrington,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2011-12,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,07002,Dayton,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,32414,Deer Park,0,2,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,32361,East Valley (Spokane),6,6,0,0,1,0,0,7,5,3,1,60.0,20.0,20.0
2011-12,39090,East Valley (Yakima),2,3,0,0,0,0,1,4,1,0,0,0.0,100.0,0.0
2011-12,09206,Eastmont,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,27404,Eatonville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,31015,Edmonds,86,60,1,6,1,9,7,39,107,76,7,71.0,22.4,6.5
2011-12,19401,Ellensburg,3,1,0,0,1,0,0,2,2,1,0,50.0,50.0,0.0
2011-12,14068,Elma,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17216,Enumclaw,5,2,0,0,0,1,0,2,5,4,0,80.0,20.0,0.0
2011-12,13165,Ephrata,0,4,0,0,0,0,0,4,0,0,0,n/a,n/a,n/a
2011-12,31002,Everett,64,48,1,2,3,1,3,53,59,48,1,81.4,16.9,1.7
2011-12,06114,Evergreen (Clark),89,44,1,1,0,11,9,46,87,65,0,74.7,25.3,0.0
2011-12,17210,Federal Way,254,134,6,5,15,13,16,163,225,162,8,72.0,24.4,3.6
2011-12,37502,Ferndale,2,1,0,0,0,0,1,1,2,1,0,50.0,50.0,0.0
2011-12,27417,Fife,14,18,0,0,0,2,1,20,12,9,0,75.0,25.0,0.0
2011-12,03053,Finley,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,27402,Franklin Pierce,95,72,1,3,3,3,1,83,84,67,6,79.8,13.1,7.1
2011-12,32358,Freeman,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,20404,Goldendale,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,13301,Grand Coulee Dam,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,39200,Grandview,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,39204,Granger,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,31332,Granite Falls,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,39203,Highland,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17401,Highline,147,132,0,8,13,18,16,117,162,97,10,59.9,34.0,6.2
2011-12,06098,Hockinson,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,14028,Hoquiam,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17411,Issaquah,16,18,1,0,1,1,0,12,22,19,0,86.4,13.6,0.0
2011-12,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,08458,Kelso,8,3,0,0,0,0,0,4,7,7,0,100.0,0.0,0.0
2011-12,03017,Kennewick,30,27,1,4,2,5,4,24,33,14,3,42.4,48.5,9.1
2011-12,17415,Kent,288,166,8,7,6,18,18,226,228,158,13,69.3,25.0,5.7
2011-12,33212,Kettle Falls,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,03052,Kiona-Benton City,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,19403,Kittitas,1,3,1,0,0,0,0,2,2,1,0,50.0,50.0,0.0
2011-12,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06101,La Center,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,14097,Lake Quinault,1,1,0,0,1,0,0,1,1,0,0,0.0,100.0,0.0
2011-12,31004,Lake Stevens,9,5,0,0,0,2,0,6,8,6,0,75.0,25.0,0.0
2011-12,17414,Lake Washington,38,28,0,1,1,5,2,28,38,28,1,73.7,23.7,2.6
2011-12,31306,Lakewood,8,5,0,0,0,0,0,5,8,7,1,87.5,0.0,12.5
2011-12,32362,Liberty,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,08122,Longview,8,7,0,0,0,2,3,8,7,2,0,28.6,71.4,0.0
2011-12,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37504,Lynden,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2011-12,39120,Mabton,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2011-12,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04019,Manson,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33207,Mary Walker,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2011-12,31025,Marysville,8,22,0,1,0,2,0,18,12,9,0,75.0,25.0,0.0
2011-12,32354,Mead,7,5,0,0,0,0,0,5,7,7,0,100.0,0.0,0.0
2011-12,32326,Medical Lake,5,2,0,0,0,0,0,5,2,2,0,100.0,0.0,0.0
2011-12,17400,Mercer Island,6,3,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
2011-12,37505,Meridian,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
