SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,129,63,1,3,4,13,17,43,149,101,10,67.8,25.5,6.7
2011-12,21226,Adna,21,9,0,0,0,1,0,12,18,17,0,94.4,5.6,0.0
2011-12,29103,Anacortes,120,30,1,0,1,6,1,34,116,107,0,92.2,7.8,0.0
2011-12,31016,Arlington,236,96,1,5,2,13,9,95,237,205,2,86.5,12.7,0.8
2011-12,02420,Asotin-Anatone,23,5,0,0,0,0,0,4,24,24,0,100.0,0.0,0.0
2011-12,17408,Auburn,578,325,3,11,11,31,28,324,579,491,4,84.8,14.5,0.7
2011-12,18303,Bainbridge Island,180,33,0,0,4,3,1,31,182,169,5,92.9,4.4,2.7
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,511,244,2,9,10,25,20,196,559,470,23,84.1,11.8,4.1
2011-12,17405,Bellevue,712,217,1,3,3,10,9,229,700,654,20,93.4,3.7,2.9
2011-12,37501,Bellingham,442,203,7,9,18,17,7,201,444,370,16,83.3,13.1,3.6
2011-12,27403,Bethel,685,291,1,11,10,58,33,334,642,495,34,77.1,17.6,5.3
2011-12,20203,Bickleton,6,2,0,0,0,0,0,5,3,3,0,100.0,0.0,0.0
2011-12,37503,Blaine,101,40,0,2,1,2,6,62,79,66,2,83.5,13.9,2.5
2011-12,21234,Boistfort,5,0,0,0,0,0,0,5,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,157,117,1,3,5,9,9,87,187,145,15,77.5,14.4,8.0
2011-12,24111,Brewster,39,12,0,0,2,1,2,15,36,31,0,86.1,13.9,0.0
2011-12,09075,Bridgeport,28,5,0,0,0,1,0,7,26,23,2,88.5,3.8,7.7
2011-12,29100,Burlington-Edison,159,63,2,5,7,7,6,61,161,129,5,80.1,16.8,3.1
2011-12,06117,Camas,212,56,1,1,3,3,2,71,197,185,2,93.9,5.1,1.0
2011-12,05401,Cape Flattery,14,5,0,0,1,1,1,7,12,9,0,75.0,25.0,0.0
2011-12,04228,Cascade,52,16,0,1,2,2,0,17,51,46,0,90.2,9.8,0.0
2011-12,04222,Cashmere,62,18,1,0,1,1,0,20,60,57,0,95.0,5.0,0.0
2011-12,08401,Castle Rock,46,24,0,0,1,5,0,21,49,41,2,83.7,12.2,4.1
2011-12,18401,Central Kitsap,494,176,0,1,7,9,12,169,501,463,9,92.4,5.8,1.8
2011-12,32356,Central Valley,478,167,4,4,4,8,4,185,460,428,8,93.0,5.2,1.7
2011-12,21401,Centralia,122,76,0,3,9,17,5,63,135,97,4,71.9,25.2,3.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,98,57,0,2,1,6,1,50,105,92,3,87.6,9.5,2.9
2011-12,32360,Cheney,143,96,2,4,3,4,5,70,169,150,1,88.8,10.7,0.6
2011-12,33036,Chewelah,53,30,0,0,1,3,1,34,49,43,1,87.8,10.2,2.0
2011-12,16049,Chimacum,49,19,0,1,0,0,3,21,47,41,2,87.2,8.5,4.3
2011-12,02250,Clarkston,107,47,1,6,5,12,11,30,124,83,6,66.9,28.2,4.8
2011-12,19404,Cle Elum-Roslyn,41,11,1,2,2,2,2,20,32,22,1,68.8,28.1,3.1
2011-12,27400,Clover Park,411,243,4,6,11,9,7,405,249,202,10,81.1,14.9,4.0
2011-12,38300,Colfax,29,11,1,1,1,2,0,14,26,21,0,80.8,19.2,0.0
2011-12,38306,Colton,6,0,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2011-12,33206,Columbia (Stevens),9,3,0,0,0,0,0,2,10,10,0,100.0,0.0,0.0
2011-12,36400,Columbia (Walla Walla),28,11,1,0,0,2,0,14,25,21,1,84.0,12.0,4.0
2011-12,33115,Colville,100,31,0,0,0,4,3,42,89,78,4,87.6,7.9,4.5
2011-12,29011,Concrete,27,10,0,0,2,2,1,12,25,18,2,72.0,20.0,8.0
2011-12,13151,Coulee-Hartline,6,7,0,0,0,0,0,7,6,5,1,83.3,0.0,16.7
2011-12,15204,Coupeville,37,29,0,0,1,2,1,27,39,34,1,87.2,10.3,2.6
2011-12,05313,Crescent,11,7,0,0,0,0,1,10,8,7,0,87.5,12.5,0.0
2011-12,22073,Creston,4,6,0,0,0,0,0,5,5,5,0,100.0,0.0,0.0
2011-12,10050,Curlew,13,11,0,1,0,0,0,7,17,15,1,88.2,5.9,5.9
2011-12,26059,Cusick,12,9,0,0,0,0,0,4,17,17,0,100.0,0.0,0.0
2011-12,31330,Darrington,21,10,0,0,0,2,0,12,19,16,1,84.2,10.5,5.3
2011-12,22207,Davenport,24,13,0,0,0,1,0,13,24,22,1,91.7,4.2,4.2
2011-12,07002,Dayton,22,16,0,0,1,0,0,13,25,23,1,92.0,4.0,4.0
2011-12,32414,Deer Park,89,51,0,3,9,6,3,46,94,68,5,72.3,22.3,5.3
2011-12,32361,East Valley (Spokane),158,66,0,0,2,2,4,86,138,127,3,92.0,5.8,2.2
2011-12,39090,East Valley (Yakima),136,43,2,0,1,6,2,70,109,96,2,88.1,10.1,1.8
2011-12,09206,Eastmont,213,64,0,1,1,7,0,86,191,178,4,93.2,4.7,2.1
2011-12,19028,Easton,4,2,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2011-12,27404,Eatonville,91,24,1,1,0,2,1,40,75,70,0,93.3,6.7,0.0
2011-12,31015,Edmonds,895,316,5,20,19,46,59,251,960,761,50,79.3,15.5,5.2
2011-12,19401,Ellensburg,127,37,0,5,8,2,1,29,135,118,1,87.4,11.9,0.7
2011-12,14068,Elma,80,31,1,1,0,7,8,33,78,60,1,76.9,21.8,1.3
2011-12,04127,Entiat,15,7,0,0,0,1,0,11,11,10,0,90.9,9.1,0.0
2011-12,17216,Enumclaw,186,38,2,1,1,3,6,47,177,162,2,91.5,7.3,1.1
2011-12,13165,Ephrata,82,33,0,0,1,2,0,26,89,86,0,96.6,3.4,0.0
2011-12,31002,Everett,694,306,5,2,10,17,22,372,628,556,16,88.5,8.9,2.5
2011-12,06114,Evergreen (Clark),945,390,5,22,13,67,59,360,975,805,4,82.6,17.0,0.4
2011-12,17210,Federal Way,934,348,9,15,26,50,58,411,871,684,29,78.5,18.1,3.3
2011-12,37502,Ferndale,204,66,2,4,6,4,8,88,182,150,8,82.4,13.2,4.4
2011-12,27417,Fife,161,84,0,6,1,14,7,83,162,133,1,82.1,17.3,0.6
2011-12,03053,Finley,43,17,0,0,1,3,0,18,42,37,1,88.1,9.5,2.4
2011-12,27402,Franklin Pierce,305,184,6,5,15,11,10,198,291,231,13,79.4,16.2,4.5
2011-12,32358,Freeman,48,7,0,0,0,1,1,13,42,40,0,95.2,4.8,0.0
2011-12,38302,Garfield,5,3,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2011-12,20401,Glenwood,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,20404,Goldendale,42,23,0,1,2,4,2,29,36,27,0,75.0,25.0,0.0
2011-12,13301,Grand Coulee Dam,29,14,0,0,1,2,1,19,24,20,0,83.3,16.7,0.0
