SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,45,26,1,3,4,4,4,17,54,31,7,57.4,29.6,13.0
2011-12,21226,Adna,3,1,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2011-12,29103,Anacortes,11,9,0,0,0,2,1,9,11,7,1,63.6,27.3,9.1
2011-12,31016,Arlington,38,26,0,0,1,2,5,23,41,32,1,78.0,19.5,2.4
2011-12,02420,Asotin-Anatone,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2011-12,17408,Auburn,186,113,1,6,9,22,18,121,178,119,3,66.9,31.5,1.7
2011-12,18303,Bainbridge Island,9,9,0,0,0,0,0,8,10,9,1,90.0,0.0,10.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,70,44,0,0,4,5,9,38,76,52,6,68.4,23.7,7.9
2011-12,17405,Bellevue,96,52,0,2,1,7,5,49,99,80,4,80.8,15.2,4.0
2011-12,37501,Bellingham,87,59,5,4,8,6,5,60,86,54,4,62.8,32.6,4.7
2011-12,27403,Bethel,134,61,0,4,2,14,6,71,124,86,12,69.4,21.0,9.7
2011-12,20203,Bickleton,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2011-12,37503,Blaine,14,13,0,1,1,0,2,13,14,8,2,57.1,28.6,14.3
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,33,24,0,0,0,4,1,23,34,29,0,85.3,14.7,0.0
2011-12,24111,Brewster,49,15,1,1,1,5,2,15,49,35,4,71.4,20.4,8.2
2011-12,09075,Bridgeport,40,20,0,0,0,3,1,11,49,43,2,87.8,8.2,4.1
2011-12,29100,Burlington-Edison,71,46,2,6,11,9,8,44,73,33,4,45.2,49.3,5.5
2011-12,06117,Camas,33,4,0,1,1,0,0,6,31,29,0,93.5,6.5,0.0
2011-12,05401,Cape Flattery,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,04228,Cascade,23,8,0,1,0,1,0,8,23,21,0,91.3,8.7,0.0
2011-12,04222,Cashmere,37,7,0,0,0,1,0,13,31,30,0,96.8,3.2,0.0
2011-12,08401,Castle Rock,5,2,0,0,1,0,0,4,3,2,0,66.7,33.3,0.0
2011-12,18401,Central Kitsap,90,41,0,0,0,2,4,39,92,82,4,89.1,6.5,4.3
2011-12,32356,Central Valley,56,32,0,0,0,0,1,33,55,54,0,98.2,1.8,0.0
2011-12,21401,Centralia,42,35,0,1,5,10,1,24,53,33,3,62.3,32.1,5.7
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,25,13,0,1,1,3,1,15,23,15,2,65.2,26.1,8.7
2011-12,32360,Cheney,17,13,0,0,1,2,0,10,20,17,0,85.0,15.0,0.0
2011-12,33036,Chewelah,0,3,0,1,0,0,0,1,2,1,0,50.0,50.0,0.0
2011-12,16049,Chimacum,4,8,0,0,0,0,1,4,8,7,0,87.5,12.5,0.0
2011-12,02250,Clarkston,11,2,0,0,0,0,1,6,7,6,0,85.7,14.3,0.0
2011-12,19404,Cle Elum-Roslyn,2,3,0,0,0,1,0,2,3,2,0,66.7,33.3,0.0
2011-12,27400,Clover Park,168,96,2,2,6,3,10,163,101,72,6,71.3,22.8,5.9
2011-12,38300,Colfax,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2011-12,36400,Columbia (Walla Walla),14,5,1,0,0,0,0,11,8,7,0,87.5,12.5,0.0
2011-12,33115,Colville,9,5,0,0,0,1,0,3,11,10,0,90.9,9.1,0.0
2011-12,29011,Concrete,2,4,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2011-12,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,15204,Coupeville,6,6,0,0,0,2,2,7,5,1,0,20.0,80.0,0.0
2011-12,05313,Crescent,2,2,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2011-12,22073,Creston,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,10050,Curlew,1,3,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2011-12,26059,Cusick,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,31330,Darrington,0,2,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,22207,Davenport,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,07002,Dayton,4,4,0,0,0,0,0,4,4,4,0,100.0,0.0,0.0
2011-12,32414,Deer Park,4,3,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2011-12,32361,East Valley (Spokane),24,12,0,1,0,0,0,17,19,17,1,89.5,5.3,5.3
2011-12,39090,East Valley (Yakima),78,29,1,0,3,6,3,37,70,55,2,78.6,18.6,2.9
2011-12,09206,Eastmont,129,40,1,1,0,6,4,57,112,97,3,86.6,10.7,2.7
2011-12,19028,Easton,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2011-12,27404,Eatonville,7,4,0,1,0,0,0,5,6,5,0,83.3,16.7,0.0
2011-12,31015,Edmonds,165,106,1,10,14,13,22,80,191,115,16,60.2,31.4,8.4
2011-12,19401,Ellensburg,32,16,0,1,0,2,1,15,33,27,2,81.8,12.1,6.1
2011-12,14068,Elma,14,5,0,0,0,1,2,5,14,11,0,78.6,21.4,0.0
2011-12,04127,Entiat,8,5,0,0,0,0,0,6,7,7,0,100.0,0.0,0.0
2011-12,17216,Enumclaw,27,11,1,1,0,1,2,14,24,19,0,79.2,20.8,0.0
2011-12,13165,Ephrata,36,16,1,0,0,1,0,16,36,34,0,94.4,5.6,0.0
2011-12,31002,Everett,145,109,2,0,4,12,7,132,122,96,1,78.7,20.5,0.8
