SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,129,79,1,3,10,18,17,72,136,75,12,55.1,36.0,8.8
2011-12,21226,Adna,20,17,0,0,0,0,1,15,22,19,2,86.4,4.5,9.1
2011-12,29103,Anacortes,126,46,4,2,2,8,6,53,119,94,3,79.0,18.5,2.5
2011-12,31016,Arlington,252,92,1,6,8,18,14,107,237,185,5,78.1,19.8,2.1
2011-12,02420,Asotin-Anatone,23,14,0,0,0,0,0,14,23,23,0,100.0,0.0,0.0
2011-12,17408,Auburn,669,269,8,18,26,65,44,303,635,472,2,74.3,25.4,0.3
2011-12,18303,Bainbridge Island,175,30,0,1,2,7,0,31,174,161,3,92.5,5.7,1.7
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,534,192,7,11,14,44,23,187,539,424,16,78.7,18.4,3.0
2011-12,17405,Bellevue,670,228,1,0,8,14,11,213,685,631,20,92.1,5.0,2.9
2011-12,37501,Bellingham,468,157,9,11,22,27,21,168,457,341,26,74.6,19.7,5.7
2011-12,27403,Bethel,734,311,1,15,19,97,27,366,679,465,55,68.5,23.4,8.1
2011-12,20203,Bickleton,3,2,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2011-12,37503,Blaine,87,34,0,1,5,2,9,41,80,61,2,76.3,21.3,2.5
2011-12,21234,Boistfort,5,0,0,0,0,0,0,5,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,188,124,0,5,6,12,16,98,214,152,23,71.0,18.2,10.7
2011-12,24111,Brewster,35,13,1,2,1,6,2,10,38,21,5,55.3,31.6,13.2
2011-12,09075,Bridgeport,15,20,0,0,1,2,1,9,26,21,1,80.8,15.4,3.8
2011-12,29100,Burlington-Edison,159,63,2,9,12,10,8,60,162,119,2,73.5,25.3,1.2
2011-12,06117,Camas,260,77,5,1,5,8,7,94,243,217,0,89.3,10.7,0.0
2011-12,05401,Cape Flattery,19,7,1,0,1,1,2,7,19,14,0,73.7,26.3,0.0
2011-12,04228,Cascade,52,12,1,0,1,1,0,22,42,39,0,92.9,7.1,0.0
2011-12,04222,Cashmere,55,15,0,0,0,5,0,21,49,44,0,89.8,10.2,0.0
2011-12,08401,Castle Rock,43,30,0,0,0,5,1,22,51,44,1,86.3,11.8,2.0
2011-12,18401,Central Kitsap,510,187,0,2,3,19,14,182,515,442,35,85.8,7.4,6.8
2011-12,32356,Central Valley,526,159,8,2,12,14,12,190,495,434,13,87.7,9.7,2.6
2011-12,21401,Centralia,144,60,4,4,10,19,5,72,132,84,6,63.6,31.8,4.5
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,117,48,1,2,1,11,1,48,117,96,5,82.1,13.7,4.3
2011-12,32360,Cheney,137,60,1,5,4,10,2,55,142,119,1,83.8,15.5,0.7
2011-12,33036,Chewelah,48,35,2,2,5,3,3,21,62,45,2,72.6,24.2,3.2
2011-12,16049,Chimacum,47,18,0,0,2,2,2,19,46,38,2,82.6,13.0,4.3
