SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,31016,Arlington,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17408,Auburn,24,13,0,0,0,5,4,11,26,17,0,65.4,34.6,0.0
2011-12,18303,Bainbridge Island,2,0,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,1,4,0,2,0,0,0,1,4,2,0,50.0,50.0,0.0
2011-12,17405,Bellevue,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,37501,Bellingham,4,2,1,0,0,0,0,3,3,1,1,33.3,33.3,33.3
2011-12,27403,Bethel,14,14,0,0,0,2,0,16,12,8,2,66.7,16.7,16.7
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,2,2,0,0,0,0,1,1,3,1,1,33.3,33.3,33.3
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,9,7,0,0,0,0,1,7,9,7,1,77.8,11.1,11.1
2011-12,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29100,Burlington-Edison,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06117,Camas,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04222,Cashmere,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18401,Central Kitsap,24,9,0,0,2,0,0,11,22,19,1,86.4,9.1,4.5
2011-12,32356,Central Valley,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2011-12,21401,Centralia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,32360,Cheney,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,16049,Chimacum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,02250,Clarkston,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,19404,Cle Elum-Roslyn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,27400,Clover Park,17,18,0,1,1,0,1,28,7,4,0,57.1,42.9,0.0
2011-12,38300,Colfax,1,0,0,1,0,0,0,0,1,0,0,0.0,100.0,0.0
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33115,Colville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
