SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2011-12,21226,Adna,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,29103,Anacortes,6,3,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
2011-12,31016,Arlington,2,2,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2011-12,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,17408,Auburn,27,6,0,0,3,6,2,4,29,18,0,62.1,37.9,0.0
2011-12,18303,Bainbridge Island,38,1,0,0,2,2,0,1,38,33,1,86.8,10.5,2.6
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,9,4,0,0,0,0,1,3,10,9,0,90.0,10.0,0.0
2011-12,17405,Bellevue,83,6,0,0,1,1,3,7,82,72,5,87.8,6.1,6.1
2011-12,37501,Bellingham,47,2,0,0,1,5,3,4,45,33,3,73.3,20.0,6.7
2011-12,27403,Bethel,37,6,0,0,1,4,2,5,38,27,4,71.1,18.4,10.5
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,7,2,0,0,0,0,0,3,6,6,0,100.0,0.0,0.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,16,0,0,0,0,1,0,1,15,12,2,80.0,6.7,13.3
2011-12,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29100,Burlington-Edison,8,0,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2011-12,06117,Camas,12,1,0,0,0,0,1,1,12,11,0,91.7,8.3,0.0
2011-12,05401,Cape Flattery,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,04228,Cascade,4,1,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2011-12,04222,Cashmere,6,0,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2011-12,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18401,Central Kitsap,25,4,0,0,0,0,1,2,27,26,0,96.3,3.7,0.0
2011-12,32356,Central Valley,15,1,0,0,0,0,0,3,13,13,0,100.0,0.0,0.0
2011-12,21401,Centralia,8,0,0,0,0,0,1,2,6,5,0,83.3,16.7,0.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,32360,Cheney,7,2,0,0,0,2,1,1,8,5,0,62.5,37.5,0.0
2011-12,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,02250,Clarkston,5,2,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2011-12,19404,Cle Elum-Roslyn,2,2,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2011-12,27400,Clover Park,6,1,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2011-12,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33115,Colville,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2011-12,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,15204,Coupeville,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,31330,Darrington,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2011-12,22207,Davenport,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2011-12,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,32414,Deer Park,1,1,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
