SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,34,20,0,0,2,7,8,15,39,15,7,38.5,43.6,17.9
2011-12,21226,Adna,3,2,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2011-12,29103,Anacortes,19,11,0,0,0,2,0,17,13,9,2,69.2,15.4,15.4
2011-12,31016,Arlington,50,26,0,0,1,9,3,32,44,30,1,68.2,29.5,2.3
2011-12,02420,Asotin-Anatone,8,3,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2011-12,17408,Auburn,112,74,0,6,7,7,9,96,90,61,0,67.8,32.2,0.0
2011-12,18303,Bainbridge Island,44,8,0,0,2,2,1,7,45,33,7,73.3,11.1,15.6
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,92,30,3,0,4,6,3,44,78,53,9,67.9,20.5,11.5
2011-12,17405,Bellevue,176,41,0,0,5,2,10,60,157,117,23,74.5,10.8,14.6
2011-12,37501,Bellingham,107,44,1,6,8,8,5,48,103,52,23,50.5,27.2,22.3
2011-12,27403,Bethel,205,106,0,9,7,23,14,128,183,112,18,61.2,29.0,9.8
2011-12,20203,Bickleton,2,0,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,22,6,0,0,0,0,0,16,12,10,2,83.3,0.0,16.7
2011-12,21234,Boistfort,2,0,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,50,35,0,2,1,5,5,19,66,38,15,57.6,19.7,22.7
2011-12,24111,Brewster,8,1,0,0,0,1,0,2,7,5,1,71.4,14.3,14.3
2011-12,09075,Bridgeport,2,5,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2011-12,29100,Burlington-Edison,49,14,0,1,5,1,4,22,41,29,1,70.7,26.8,2.4
2011-12,06117,Camas,45,10,1,0,0,2,3,13,42,36,0,85.7,14.3,0.0
2011-12,05401,Cape Flattery,6,1,0,0,1,0,2,1,6,3,0,50.0,50.0,0.0
2011-12,04228,Cascade,10,1,0,0,0,0,0,4,7,7,0,100.0,0.0,0.0
2011-12,04222,Cashmere,11,2,0,0,0,0,0,3,10,10,0,100.0,0.0,0.0
2011-12,08401,Castle Rock,17,5,0,0,1,0,0,7,15,14,0,93.3,6.7,0.0
2011-12,18401,Central Kitsap,110,40,0,0,1,3,4,45,105,76,21,72.4,7.6,20.0
2011-12,32356,Central Valley,90,41,0,0,3,7,5,57,74,50,9,67.6,20.3,12.2
2011-12,21401,Centralia,30,17,0,1,1,7,1,22,25,14,1,56.0,40.0,4.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,23,15,1,0,0,2,1,15,23,12,7,52.2,17.4,30.4
2011-12,32360,Cheney,34,23,0,0,2,3,4,18,39,28,2,71.8,23.1,5.1
2011-12,33036,Chewelah,18,9,0,1,1,0,1,9,18,14,1,77.8,16.7,5.6
2011-12,16049,Chimacum,11,7,0,1,0,0,2,5,13,7,3,53.8,23.1,23.1
2011-12,02250,Clarkston,36,17,2,1,2,3,6,9,44,29,1,65.9,31.8,2.3
2011-12,19404,Cle Elum-Roslyn,19,5,0,1,1,2,0,12,12,7,1,58.3,33.3,8.3
2011-12,27400,Clover Park,103,90,0,2,3,1,2,120,73,52,13,71.2,11.0,17.8
2011-12,38300,Colfax,10,2,0,0,1,0,0,3,9,8,0,88.9,11.1,0.0
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,36400,Columbia (Walla Walla),2,6,1,0,0,0,1,3,5,2,1,40.0,40.0,20.0
2011-12,33115,Colville,11,6,0,0,0,2,0,6,11,6,3,54.5,18.2,27.3
2011-12,29011,Concrete,12,4,0,0,2,1,0,6,10,6,1,60.0,30.0,10.0
2011-12,13151,Coulee-Hartline,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,15204,Coupeville,10,9,0,0,0,2,3,7,12,5,2,41.7,41.7,16.7
2011-12,05313,Crescent,1,2,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2011-12,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,10050,Curlew,3,2,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2011-12,26059,Cusick,5,3,0,0,0,0,0,4,4,4,0,100.0,0.0,0.0
