SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,9,8,0,2,1,1,0,5,12,5,3,41.7,33.3,25.0
2011-12,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,29103,Anacortes,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,31016,Arlington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17408,Auburn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18303,Bainbridge Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,17405,Bellevue,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37501,Bellingham,2,3,0,0,0,0,1,0,5,3,1,60.0,20.0,20.0
2011-12,27403,Bethel,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,37503,Blaine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,24111,Brewster,2,6,0,0,0,0,2,0,8,4,2,50.0,25.0,25.0
2011-12,09075,Bridgeport,10,8,0,0,0,3,0,4,14,10,1,71.4,21.4,7.1
2011-12,29100,Burlington-Edison,9,5,0,0,0,0,2,4,10,7,1,70.0,20.0,10.0
2011-12,06117,Camas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,04222,Cashmere,11,3,0,0,0,0,0,2,12,12,0,100.0,0.0,0.0
2011-12,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18401,Central Kitsap,50,2,0,0,0,3,0,10,42,33,6,78.6,7.1,14.3
2011-12,32356,Central Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21401,Centralia,12,11,0,0,2,4,0,6,17,9,2,52.9,35.3,11.8
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,32360,Cheney,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,16049,Chimacum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,02250,Clarkston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,19404,Cle Elum-Roslyn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,27400,Clover Park,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
