SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2011-12,14005,Aberdeen,20,11,0,0,0,4,2,4,27,18,3,66.7,22.2,11.1
2011-12,21226,Adna,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,29103,Anacortes,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,31016,Arlington,19,4,0,0,0,1,1,1,22,20,0,90.9,9.1,0.0
2011-12,02420,Asotin-Anatone,1,2,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2011-12,17408,Auburn,36,35,0,0,0,2,3,22,49,43,1,87.8,10.2,2.0
2011-12,18303,Bainbridge Island,10,3,0,0,1,0,0,0,13,12,0,92.3,7.7,0.0
2011-12,27931,Bates Technical College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,06119,Battle Ground,33,16,0,1,0,3,1,18,31,24,2,77.4,16.1,6.5
2011-12,17405,Bellevue,87,28,0,0,1,1,0,23,92,88,2,95.7,2.2,2.2
2011-12,37501,Bellingham,6,5,0,0,0,0,0,11,0,0,0,n/a,n/a,n/a
2011-12,27403,Bethel,24,25,0,0,0,4,1,35,14,8,1,57.1,35.7,7.1
2011-12,20203,Bickleton,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,37503,Blaine,7,1,0,0,0,0,1,1,7,6,0,85.7,14.3,0.0
2011-12,21234,Boistfort,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,18100,Bremerton,39,23,0,0,0,0,4,15,47,36,7,76.6,8.5,14.9
2011-12,24111,Brewster,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,09075,Bridgeport,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,29100,Burlington-Edison,0,3,0,0,0,0,1,2,1,0,0,0.0,100.0,0.0
2011-12,06117,Camas,34,9,0,0,0,0,1,4,39,38,0,97.4,2.6,0.0
2011-12,05401,Cape Flattery,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2011-12,04228,Cascade,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,04222,Cashmere,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2011-12,08401,Castle Rock,0,3,0,0,0,1,0,2,1,0,0,0.0,100.0,0.0
2011-12,18401,Central Kitsap,128,39,0,1,0,4,2,29,138,123,8,89.1,5.1,5.8
2011-12,32356,Central Valley,52,12,0,0,0,1,1,18,46,44,0,95.7,4.3,0.0
2011-12,21401,Centralia,11,4,0,1,0,1,0,5,10,7,1,70.0,20.0,10.0
2011-12,21926,Centralia College,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,21302,Chehalis,25,3,0,0,0,1,1,4,24,22,0,91.7,8.3,0.0
2011-12,32360,Cheney,5,2,0,0,1,0,0,4,3,2,0,66.7,33.3,0.0
2011-12,33036,Chewelah,6,1,0,0,0,0,0,2,5,5,0,100.0,0.0,0.0
2011-12,16049,Chimacum,7,1,0,0,0,1,1,1,7,5,0,71.4,28.6,0.0
2011-12,02250,Clarkston,10,3,0,0,0,1,2,5,8,5,0,62.5,37.5,0.0
2011-12,19404,Cle Elum-Roslyn,1,3,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2011-12,27400,Clover Park,62,31,0,0,0,2,1,42,51,44,4,86.3,5.9,7.8
2011-12,38300,Colfax,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2011-12,38306,Colton,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,33206,Columbia (Stevens),2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2011-12,36400,Columbia (Walla Walla),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,33115,Colville,5,3,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2011-12,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,15204,Coupeville,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2011-12,05313,Crescent,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,10050,Curlew,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2011-12,26059,Cusick,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2011-12,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,32414,Deer Park,1,1,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2011-12,32361,East Valley (Spokane),9,5,0,0,0,0,0,4,10,9,1,90.0,0.0,10.0
2011-12,39090,East Valley (Yakima),5,6,0,0,0,0,0,10,1,1,0,100.0,0.0,0.0
2011-12,09206,Eastmont,11,6,0,0,0,1,0,5,12,10,1,83.3,8.3,8.3
2011-12,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2011-12,27404,Eatonville,5,3,0,0,0,0,0,4,4,4,0,100.0,0.0,0.0
2011-12,31015,Edmonds,83,40,1,1,0,6,9,23,100,79,4,79.0,17.0,4.0
2011-12,19401,Ellensburg,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2011-12,14068,Elma,15,1,0,0,0,1,1,4,12,10,0,83.3,16.7,0.0
2011-12,04127,Entiat,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2011-12,17216,Enumclaw,10,1,0,0,0,0,1,3,8,6,1,75.0,12.5,12.5
2011-12,13165,Ephrata,4,1,0,0,0,0,0,1,4,3,1,75.0,0.0,25.0
2011-12,31002,Everett,29,30,0,0,0,1,2,40,19,13,3,68.4,15.8,15.8
2011-12,06114,Evergreen (Clark),74,37,0,2,0,5,6,26,85,72,0,84.7,15.3,0.0
