SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,6,1,0,0,0,2,0,0,7,5,0,71.4,28.6,0.0
2012-13,31016,Arlington,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17408,Auburn,16,2,0,0,1,2,3,5,13,7,0,53.8,46.2,0.0
2012-13,18303,Bainbridge Island,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,27931,Bates Technical College,4,0,0,0,0,0,2,0,4,0,2,0.0,50.0,50.0
2012-13,06119,Battle Ground,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,17405,Bellevue,5,0,0,1,0,0,0,0,5,4,0,80.0,20.0,0.0
2012-13,37501,Bellingham,7,1,0,0,0,1,0,1,7,6,0,85.7,14.3,0.0
2012-13,27403,Bethel,29,5,2,2,0,5,0,3,31,22,0,71.0,29.0,0.0
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,18100,Bremerton,9,1,0,1,0,1,0,2,8,6,0,75.0,25.0,0.0
2012-13,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29100,Burlington-Edison,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,06117,Camas,4,0,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,05401,Cape Flattery,13,1,0,0,0,0,2,0,14,12,0,85.7,14.3,0.0
2012-13,04228,Cascade,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2012-13,04222,Cashmere,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,08401,Castle Rock,1,0,1,0,0,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,18401,Central Kitsap,6,0,1,0,0,0,0,1,5,4,0,80.0,20.0,0.0
2012-13,32356,Central Valley,14,0,0,0,1,1,0,1,13,11,0,84.6,15.4,0.0
2012-13,21401,Centralia,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
