SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,6,4,0,1,1,0,1,1,9,6,0,66.7,33.3,0.0
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,8,1,0,0,1,0,0,1,8,7,0,87.5,12.5,0.0
2012-13,31016,Arlington,13,4,0,0,0,0,0,4,13,12,1,92.3,0.0,7.7
2012-13,02420,Asotin-Anatone,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,17408,Auburn,108,35,0,1,2,5,6,17,126,111,1,88.1,11.1,0.8
2012-13,18303,Bainbridge Island,16,1,0,0,0,0,0,3,14,13,1,92.9,0.0,7.1
2012-13,27931,Bates Technical College,9,2,0,0,0,4,0,0,11,1,6,9.1,36.4,54.5
2012-13,06119,Battle Ground,23,9,0,1,0,3,0,10,22,18,0,81.8,18.2,0.0
2012-13,17405,Bellevue,395,109,7,12,2,8,3,42,462,422,8,91.3,6.9,1.7
2012-13,37501,Bellingham,46,12,2,1,0,4,0,7,51,43,1,84.3,13.7,2.0
2012-13,27403,Bethel,129,27,1,8,4,15,1,14,142,111,2,78.2,20.4,1.4
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,4,2,0,0,0,0,1,1,5,4,0,80.0,20.0,0.0
2012-13,18100,Bremerton,21,6,0,0,0,1,0,3,24,22,1,91.7,4.2,4.2
2012-13,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09075,Bridgeport,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,29100,Burlington-Edison,3,2,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2012-13,06117,Camas,27,6,0,0,0,1,0,8,25,24,0,96.0,4.0,0.0
2012-13,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04228,Cascade,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,04222,Cashmere,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,18401,Central Kitsap,80,18,2,1,3,1,0,16,82,74,1,90.2,8.5,1.2
2012-13,32356,Central Valley,12,3,0,0,0,0,0,1,14,14,0,100.0,0.0,0.0
2012-13,21401,Centralia,5,2,0,0,0,0,0,3,4,3,1,75.0,0.0,25.0
2012-13,21302,Chehalis,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2012-13,32360,Cheney,11,2,0,0,0,0,0,3,10,10,0,100.0,0.0,0.0
2012-13,33036,Chewelah,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,16049,Chimacum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,02250,Clarkston,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,19404,Cle Elum-Roslyn,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,27400,Clover Park,60,24,2,0,2,2,1,31,53,46,0,86.8,13.2,0.0
2012-13,38300,Colfax,1,3,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2012-13,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,33206,Columbia (Stevens),0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,36400,Columbia (Walla Walla),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,33115,Colville,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,29011,Concrete,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,15204,Coupeville,0,3,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,05313,Crescent,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10050,Curlew,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31330,Darrington,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,07002,Dayton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,32414,Deer Park,1,4,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2012-13,32361,East Valley (Spokane),11,4,0,0,0,1,0,3,12,11,0,91.7,8.3,0.0
2012-13,39090,East Valley (Yakima),2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,09206,Eastmont,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27404,Eatonville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,31015,Edmonds,240,51,3,2,1,12,7,23,268,237,6,88.4,9.3,2.2
2012-13,32801,Educational Service District 101,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19401,Ellensburg,5,2,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2012-13,14068,Elma,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04127,Entiat,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17216,Enumclaw,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13165,Ephrata,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,31002,Everett,185,28,2,1,1,1,2,28,185,176,2,95.1,3.8,1.1
2012-13,06114,Evergreen (Clark),146,44,2,2,0,3,7,21,169,153,2,90.5,8.3,1.2
2012-13,17210,Federal Way,334,65,5,4,8,20,26,46,353,282,8,79.9,17.8,2.3
2012-13,37502,Ferndale,12,4,0,0,0,3,0,2,14,11,0,78.6,21.4,0.0
2012-13,27417,Fife,26,5,0,0,0,5,2,6,25,18,0,72.0,28.0,0.0
2012-13,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27402,Franklin Pierce,72,34,1,0,0,7,7,21,85,68,2,80.0,17.6,2.4
2012-13,32358,Freeman,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
