SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,6,2,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2012-13,31016,Arlington,5,2,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2012-13,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17408,Auburn,75,13,2,1,0,5,7,13,75,53,7,70.7,20.0,9.3
2012-13,18303,Bainbridge Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27931,Bates Technical College,16,5,0,0,1,6,3,0,21,0,11,0.0,47.6,52.4
2012-13,06119,Battle Ground,9,3,0,0,0,2,1,3,9,6,0,66.7,33.3,0.0
2012-13,17405,Bellevue,32,10,1,1,2,3,1,7,35,24,3,68.6,22.9,8.6
2012-13,37501,Bellingham,30,11,1,0,3,4,2,6,35,25,0,71.4,28.6,0.0
2012-13,27403,Bethel,147,31,7,13,4,8,6,30,148,103,7,69.6,25.7,4.7
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,18100,Bremerton,31,6,0,0,1,1,6,8,29,18,3,62.1,27.6,10.3
2012-13,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09075,Bridgeport,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,29100,Burlington-Edison,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,06117,Camas,12,4,0,0,0,0,0,4,12,12,0,100.0,0.0,0.0
2012-13,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04228,Cascade,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,04222,Cashmere,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,08401,Castle Rock,3,0,0,0,1,0,0,0,3,2,0,66.7,33.3,0.0
2012-13,18401,Central Kitsap,24,15,2,0,0,0,0,15,24,22,0,91.7,8.3,0.0
2012-13,32356,Central Valley,8,5,0,0,0,2,0,2,11,9,0,81.8,18.2,0.0
2012-13,21401,Centralia,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,21302,Chehalis,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2012-13,32360,Cheney,3,0,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2012-13,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,16049,Chimacum,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2012-13,02250,Clarkston,3,0,0,0,1,0,0,2,1,0,0,0.0,100.0,0.0
2012-13,19404,Cle Elum-Roslyn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27400,Clover Park,115,53,8,0,2,6,8,77,91,65,2,71.4,26.4,2.2
2012-13,38300,Colfax,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33115,Colville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,15204,Coupeville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26059,Cusick,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,3,0,0,0,0,1,2,1,0,0,0.0,100.0,0.0
2012-13,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32414,Deer Park,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,32361,East Valley (Spokane),2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,39090,East Valley (Yakima),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,09206,Eastmont,1,0,1,0,0,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27404,Eatonville,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,31015,Edmonds,78,15,1,1,1,5,6,13,80,56,10,70.0,17.5,12.5
2012-13,32801,Educational Service District 101,2,1,0,0,0,1,1,1,2,0,0,0.0,100.0,0.0
2012-13,19401,Ellensburg,1,1,0,1,0,0,0,1,1,0,0,0.0,100.0,0.0
2012-13,14068,Elma,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17216,Enumclaw,2,1,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2012-13,13165,Ephrata,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31002,Everett,80,12,1,0,1,3,2,18,74,64,3,86.5,9.5,4.1
2012-13,06114,Evergreen (Clark),69,15,2,0,1,3,0,23,61,53,2,86.9,9.8,3.3
2012-13,17210,Federal Way,227,49,7,5,8,25,17,45,231,153,16,66.2,26.8,6.9
2012-13,37502,Ferndale,6,0,0,0,0,2,0,0,6,4,0,66.7,33.3,0.0
2012-13,27417,Fife,9,3,0,0,1,1,0,2,10,7,1,70.0,20.0,10.0
2012-13,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27402,Franklin Pierce,65,35,5,0,2,1,1,23,77,66,2,85.7,11.7,2.6
2012-13,32358,Freeman,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20404,Goldendale,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31332,Granite Falls,1,1,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2012-13,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39203,Highland,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,17401,Highline,147,28,6,11,6,15,11,16,159,105,5,66.0,30.8,3.1
2012-13,06098,Hockinson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14028,Hoquiam,2,0,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2012-13,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17411,Issaquah,21,6,0,0,0,0,1,4,23,21,1,91.3,4.3,4.3
2012-13,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08402,Kalama,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,08458,Kelso,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,03017,Kennewick,22,6,0,0,0,2,3,0,28,21,2,75.0,17.9,7.1
2012-13,17415,Kent,176,47,3,5,5,12,5,47,176,137,9,77.8,17.0,5.1
2012-13,33212,Kettle Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,03052,Kiona-Benton City,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19403,Kittitas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20402,Klickitat,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,06101,La Center,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14097,Lake Quinault,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31004,Lake Stevens,12,1,0,0,0,1,1,0,13,11,0,84.6,15.4,0.0
2012-13,17937,Lake Washington Institute of Technology,0,1,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2012-13,17414,Lake Washington,50,7,0,1,0,4,1,7,50,43,1,86.0,12.0,2.0
2012-13,31306,Lakewood,5,2,0,0,0,0,0,5,2,2,0,100.0,0.0,0.0
2012-13,32362,Liberty,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08122,Longview,6,1,1,0,0,0,1,2,5,3,0,60.0,40.0,0.0
2012-13,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37504,Lynden,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,39120,Mabton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33207,Mary Walker,1,3,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,31025,Marysville,16,4,0,0,0,2,0,10,10,7,1,70.0,20.0,10.0
2012-13,32354,Mead,8,3,1,0,0,0,2,0,11,8,0,72.7,27.3,0.0
2012-13,32326,Medical Lake,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,17400,Mercer Island,3,1,0,0,0,1,0,0,4,3,0,75.0,25.0,0.0
2012-13,37505,Meridian,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31103,Monroe,6,4,0,1,5,1,0,1,9,2,0,22.2,77.8,0.0
2012-13,14066,Montesano,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21214,Morton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13161,Moses Lake,9,2,1,0,1,0,3,1,10,5,0,50.0,50.0,0.0
2012-13,21206,Mossyrock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,39209,Mount Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37507,Mount Baker,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,29320,Mount Vernon,4,2,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2012-13,31006,Mukilteo,49,11,0,1,1,3,3,9,51,42,1,82.4,15.7,2.0
2012-13,39003,Naches Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21014,Napavine,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,25155,Naselle-Grays River Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26056,Newport,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,32325,Nine Mile Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37506,Nooksack Valley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,14064,North Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,11051,North Franklin,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,18400,North Kitsap,6,2,0,0,0,1,2,1,7,4,0,57.1,42.9,0.0
2012-13,23403,North Mason,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34003,North Thurston Public Schools,71,35,1,0,1,7,6,22,84,65,4,77.4,17.9,4.8
2012-13,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17417,Northshore,28,2,0,0,0,1,1,3,27,24,1,88.9,7.4,3.7
2012-13,15201,Oak Harbor,38,21,1,2,0,0,3,13,46,36,4,78.3,13.0,8.7
2012-13,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,25101,Ocean Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14172,Ocosta,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34974,Office of the Governor (Sch for Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,24105,Okanogan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,34111,Olympia,11,6,0,0,0,0,0,7,10,10,0,100.0,0.0,0.0
2012-13,24019,Omak,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21300,Onalaska,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,28137,Orcas Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,10065,Orient,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,24410,Oroville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27344,Orting,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,01147,Othello,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,38301,Palouse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,11001,Pasco,26,8,1,0,1,1,2,4,30,24,1,80.0,16.7,3.3
2012-13,24122,Pateros,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,21301,Pe Ell,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27401,Peninsula,5,5,0,1,0,0,1,4,6,4,0,66.7,33.3,0.0
2012-13,12110,Pomeroy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,05121,Port Angeles,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,16050,Port Townsend,0,4,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,36402,Prescott,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,03116,Prosser,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,38267,Pullman,6,3,0,0,0,0,0,1,8,8,0,100.0,0.0,0.0
2012-13,27003,Puyallup,62,28,2,3,4,3,2,21,69,53,2,76.8,20.3,2.9
