SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,151,13,2,1,5,7,11,13,151,115,10,76.2,17.2,6.6
2012-13,21226,Adna,19,1,0,0,0,0,0,1,19,19,0,100.0,0.0,0.0
2012-13,29103,Anacortes,103,21,0,1,1,5,6,23,101,87,1,86.1,12.9,1.0
2012-13,31016,Arlington,257,26,3,0,10,18,11,33,250,202,6,80.8,16.8,2.4
2012-13,02420,Asotin-Anatone,18,7,1,0,0,0,1,2,23,21,0,91.3,8.7,0.0
2012-13,17408,Auburn,607,83,4,6,11,35,31,77,613,502,24,81.9,14.2,3.9
2012-13,18303,Bainbridge Island,194,17,0,0,1,4,1,19,192,186,0,96.9,3.1,0.0
2012-13,27931,Bates Technical College,27,7,0,0,1,10,2,0,34,0,21,0.0,38.2,61.8
2012-13,06119,Battle Ground,527,67,3,4,10,23,14,76,518,453,11,87.5,10.4,2.1
2012-13,17405,Bellevue,669,128,11,18,10,17,4,84,713,643,10,90.2,8.4,1.4
2012-13,37501,Bellingham,417,64,9,5,5,28,8,70,411,344,12,83.7,13.4,2.9
2012-13,27403,Bethel,622,99,13,17,13,48,20,92,629,495,23,78.7,17.6,3.7
2012-13,20203,Bickleton,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,37503,Blaine,71,6,0,1,0,3,3,10,67,60,0,89.6,10.4,0.0
2012-13,18100,Bremerton,200,38,0,2,6,15,19,22,216,165,9,76.4,19.4,4.2
2012-13,24111,Brewster,31,9,0,0,2,2,3,1,39,32,0,82.1,17.9,0.0
2012-13,09075,Bridgeport,18,7,0,0,1,3,0,2,23,18,1,78.3,17.4,4.3
2012-13,29100,Burlington-Edison,151,20,4,0,4,11,3,28,143,120,1,83.9,15.4,0.7
2012-13,06117,Camas,216,35,1,0,3,3,0,48,203,193,3,95.1,3.4,1.5
2012-13,05401,Cape Flattery,15,3,1,0,0,0,0,1,17,14,2,82.4,5.9,11.8
2012-13,04228,Cascade,46,14,0,0,0,2,2,17,43,39,0,90.7,9.3,0.0
2012-13,04222,Cashmere,61,4,0,1,1,0,1,9,56,53,0,94.6,5.4,0.0
2012-13,08401,Castle Rock,59,10,0,0,4,0,1,8,61,54,2,88.5,8.2,3.3
2012-13,18401,Central Kitsap,448,89,6,2,9,9,6,70,467,422,13,90.4,6.9,2.8
2012-13,32356,Central Valley,439,51,5,3,9,9,12,44,446,406,2,91.0,8.5,0.4
2012-13,21401,Centralia,116,27,5,7,8,21,3,17,126,79,3,62.7,34.9,2.4
2012-13,21302,Chehalis,114,16,0,1,1,5,0,19,111,103,1,92.8,6.3,0.9
2012-13,32360,Cheney,133,19,2,0,5,5,2,15,137,123,0,89.8,10.2,0.0
2012-13,33036,Chewelah,43,9,0,0,4,5,0,11,41,31,1,75.6,22.0,2.4
2012-13,16049,Chimacum,31,13,0,0,2,2,2,7,37,30,1,81.1,16.2,2.7
