SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,169,30,3,5,10,15,30,17,182,102,17,56.0,34.6,9.3
2012-13,21226,Adna,17,2,0,0,0,2,0,0,19,16,1,84.2,10.5,5.3
2012-13,29103,Anacortes,81,17,0,0,2,10,9,11,87,64,2,73.6,24.1,2.3
2012-13,31016,Arlington,162,14,0,0,2,15,13,21,155,115,10,74.2,19.4,6.5
2012-13,02420,Asotin-Anatone,11,4,0,0,0,0,1,2,13,12,0,92.3,7.7,0.0
2012-13,17408,Auburn,592,111,1,13,20,64,68,93,610,409,35,67.0,27.2,5.7
2012-13,18303,Bainbridge Island,31,8,0,0,2,3,1,6,33,27,0,81.8,18.2,0.0
2012-13,27931,Bates Technical College,72,8,0,0,0,24,9,0,80,2,45,2.5,41.3,56.3
2012-13,06119,Battle Ground,462,66,0,5,17,40,36,70,458,345,15,75.3,21.4,3.3
2012-13,17405,Bellevue,326,108,4,5,11,18,8,56,378,315,17,83.3,12.2,4.5
2012-13,37501,Bellingham,315,65,5,1,9,39,26,63,317,219,18,69.1,25.2,5.7
2012-13,27403,Bethel,583,107,3,21,23,69,36,106,584,398,34,68.2,26.0,5.8
2012-13,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,37503,Blaine,77,9,0,0,2,7,7,9,77,59,2,76.6,20.8,2.6
2012-13,18100,Bremerton,237,55,1,1,7,21,40,18,274,180,24,65.7,25.5,8.8
2012-13,24111,Brewster,64,19,1,2,6,6,6,1,82,59,2,72.0,25.6,2.4
2012-13,09075,Bridgeport,33,15,0,0,2,3,1,6,42,35,1,83.3,14.3,2.4
2012-13,29100,Burlington-Edison,123,17,2,1,6,12,7,23,117,86,3,73.5,23.9,2.6
2012-13,06117,Camas,121,18,1,0,2,4,4,22,117,100,6,85.5,9.4,5.1
2012-13,05401,Cape Flattery,15,3,0,0,0,0,2,1,17,13,2,76.5,11.8,11.8
2012-13,04228,Cascade,40,13,0,0,1,5,2,11,42,34,0,81.0,19.0,0.0
2012-13,04222,Cashmere,50,4,0,2,0,0,2,6,48,44,0,91.7,8.3,0.0
2012-13,08401,Castle Rock,63,6,1,0,7,3,1,6,63,51,0,81.0,19.0,0.0
2012-13,18401,Central Kitsap,272,65,4,3,8,15,15,43,294,224,25,76.2,15.3,8.5
2012-13,32356,Central Valley,347,64,3,3,12,16,14,37,374,312,14,83.4,12.8,3.7
2012-13,21401,Centralia,207,40,1,8,8,24,10,30,217,159,7,73.3,23.5,3.2
2012-13,21302,Chehalis,94,17,0,1,2,8,3,19,92,77,1,83.7,15.2,1.1
2012-13,32360,Cheney,152,17,0,3,10,9,5,17,152,123,2,80.9,17.8,1.3
2012-13,33036,Chewelah,56,8,0,2,3,9,0,12,52,36,2,69.2,26.9,3.8
2012-13,16049,Chimacum,37,9,0,1,2,5,4,3,43,29,2,67.4,27.9,4.7
2012-13,02250,Clarkston,111,47,0,5,13,13,27,17,141,70,13,49.6,41.1,9.2
2012-13,19404,Cle Elum-Roslyn,37,4,0,0,1,2,3,4,37,29,2,78.4,16.2,5.4
2012-13,27400,Clover Park,376,161,5,7,13,19,23,250,287,213,7,74.2,23.3,2.4
2012-13,38300,Colfax,20,3,0,0,1,1,3,2,21,14,2,66.7,23.8,9.5
2012-13,38306,Colton,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,33206,Columbia (Stevens),14,2,0,0,0,0,0,2,14,14,0,100.0,0.0,0.0
2012-13,36400,Columbia (Walla Walla),32,2,0,0,1,2,2,1,33,28,0,84.8,15.2,0.0
2012-13,33115,Colville,127,23,0,5,10,16,10,20,130,86,3,66.2,31.5,2.3
2012-13,29011,Concrete,27,5,0,2,1,5,3,2,30,19,0,63.3,36.7,0.0
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,5,1,0,0,0,1,0,0,6,4,1,66.7,16.7,16.7
2012-13,15204,Coupeville,35,10,0,0,0,5,4,5,40,31,0,77.5,22.5,0.0
2012-13,05313,Crescent,13,2,0,0,0,3,1,0,15,11,0,73.3,26.7,0.0
2012-13,22073,Creston,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,10050,Curlew,19,5,1,1,1,0,1,2,22,17,1,77.3,18.2,4.5
2012-13,26059,Cusick,11,0,0,0,0,1,1,1,10,8,0,80.0,20.0,0.0
2012-13,31330,Darrington,25,6,1,1,2,1,0,1,30,25,0,83.3,16.7,0.0
2012-13,22207,Davenport,18,8,0,0,0,0,1,7,19,18,0,94.7,5.3,0.0
2012-13,07002,Dayton,15,1,0,2,0,2,0,3,13,9,0,69.2,30.8,0.0
2012-13,32414,Deer Park,95,14,0,1,9,3,4,2,107,87,3,81.3,15.9,2.8
2012-13,32361,East Valley (Spokane),152,15,0,0,1,7,3,12,155,139,5,89.7,7.1,3.2
2012-13,39090,East Valley (Yakima),99,8,0,4,1,5,8,12,95,72,5,75.8,18.9,5.3
2012-13,09206,Eastmont,235,30,2,3,7,11,16,17,248,201,8,81.0,15.7,3.2
2012-13,19028,Easton,3,1,0,0,1,0,0,0,4,3,0,75.0,25.0,0.0
2012-13,27404,Eatonville,59,5,1,0,1,1,0,8,56,50,3,89.3,5.4,5.4
2012-13,31015,Edmonds,576,107,0,9,11,56,66,76,607,412,53,67.9,23.4,8.7
2012-13,32801,Educational Service District 101,19,7,0,0,0,7,3,16,10,0,0,0.0,100.0,0.0
2012-13,19401,Ellensburg,63,12,1,2,6,5,6,5,70,46,4,65.7,28.6,5.7
2012-13,14068,Elma,79,13,0,3,7,11,3,4,88,62,2,70.5,27.3,2.3
