SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,117,24,4,8,10,23,10,11,130,72,10,55.4,42.3,7.7
2012-13,21226,Adna,28,7,0,0,5,0,1,2,33,27,1,81.8,18.2,3.0
2012-13,29103,Anacortes,113,16,0,4,6,6,1,14,115,98,1,85.2,14.8,0.9
2012-13,31016,Arlington,187,21,0,2,12,10,9,27,181,147,9,81.2,18.2,5.0
2012-13,02420,Asotin-Anatone,21,4,0,0,0,0,0,5,20,20,0,100.0,0.0,0.0
2012-13,17408,Auburn,591,99,10,21,49,47,17,82,608,463,17,76.2,23.7,2.8
2012-13,18303,Bainbridge Island,187,20,0,3,2,1,3,22,185,176,3,95.1,4.9,1.6
2012-13,27931,Bates Technical College,99,14,0,1,31,11,63,0,113,7,63,6.2,93.8,55.8
2012-13,06119,Battle Ground,531,86,4,15,38,33,12,95,522,415,12,79.5,19.5,2.3
2012-13,17405,Bellevue,725,147,18,8,23,5,20,77,795,712,20,89.6,9.3,2.5
2012-13,37501,Bellingham,420,74,10,14,31,21,17,82,412,306,17,74.3,22.6,4.1
2012-13,27403,Bethel,616,117,24,19,72,29,29,122,611,429,29,70.2,28.3,4.7
2012-13,20203,Bickleton,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,37503,Blaine,82,15,1,3,7,5,3,17,80,61,3,76.3,23.8,3.8
2012-13,18100,Bremerton,173,43,1,5,11,23,17,23,193,133,17,68.9,29.5,8.8
2012-13,24111,Brewster,33,13,2,4,5,4,2,1,45,27,2,60.0,37.8,4.4
2012-13,09075,Bridgeport,16,9,0,1,0,1,0,4,21,17,0,81.0,9.5,0.0
2012-13,29100,Burlington-Edison,143,11,1,4,6,5,2,17,137,118,2,86.1,13.1,1.5
2012-13,06117,Camas,225,46,0,4,3,5,5,35,236,215,5,91.1,7.2,2.1
2012-13,05401,Cape Flattery,14,1,0,0,0,2,0,0,15,13,0,86.7,13.3,0.0
2012-13,04228,Cascade,43,14,0,1,4,1,0,13,44,38,0,86.4,13.6,0.0
2012-13,04222,Cashmere,54,6,1,0,0,1,0,6,54,52,0,96.3,3.7,0.0
2012-13,08401,Castle Rock,52,9,0,7,3,0,0,4,57,45,0,78.9,17.5,0.0
2012-13,18401,Central Kitsap,434,87,3,8,15,14,20,62,459,384,20,83.7,13.1,4.4
2012-13,32356,Central Valley,457,66,2,8,10,4,13,51,472,430,13,91.1,7.8,2.8
2012-13,21401,Centralia,148,27,4,4,6,8,4,21,154,124,4,80.5,16.9,2.6
2012-13,21302,Chehalis,113,10,0,1,8,4,1,18,105,91,1,86.7,13.3,1.0
2012-13,32360,Cheney,186,20,3,5,13,3,4,23,183,154,4,84.2,15.3,2.2
2012-13,33036,Chewelah,54,9,2,0,7,0,1,12,51,40,1,78.4,19.6,2.0
2012-13,16049,Chimacum,54,6,1,0,5,2,1,4,56,46,1,82.1,16.1,1.8
2012-13,02250,Clarkston,99,43,4,7,6,25,6,21,121,73,6,60.3,39.7,5.0
2012-13,19404,Cle Elum-Roslyn,41,10,0,1,2,1,3,6,45,38,3,84.4,15.6,6.7
2012-13,27400,Clover Park,343,132,6,14,15,18,4,225,250,175,4,70.0,22.8,1.6
2012-13,38300,Colfax,36,8,0,2,1,2,2,6,38,31,2,81.6,18.4,5.3
2012-13,38306,Colton,8,0,0,0,0,0,0,0,8,8,0,100.0,0.0,0.0
2012-13,33206,Columbia (Stevens),9,2,0,0,0,0,0,3,8,8,0,100.0,0.0,0.0
