SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,14005,Aberdeen,22,2,0,0,1,3,1,2,22,15,2,68.2,22.7,9.1
2012-13,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29103,Anacortes,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,31016,Arlington,29,1,0,0,1,5,1,1,29,22,0,75.9,24.1,0.0
2012-13,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,17408,Auburn,66,9,0,0,2,6,9,5,70,52,1,74.3,24.3,1.4
2012-13,18303,Bainbridge Island,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,27931,Bates Technical College,10,0,0,0,0,3,1,0,10,0,6,0.0,40.0,60.0
2012-13,06119,Battle Ground,41,6,0,1,1,4,1,11,36,29,0,80.6,19.4,0.0
2012-13,17405,Bellevue,73,16,0,2,0,3,1,8,81,75,0,92.6,7.4,0.0
2012-13,37501,Bellingham,4,0,0,0,0,0,0,0,4,3,1,75.0,0.0,25.0
2012-13,27403,Bethel,20,10,0,0,2,6,5,4,26,11,2,42.3,50.0,7.7
2012-13,20203,Bickleton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,37503,Blaine,6,1,0,0,0,0,1,0,7,6,0,85.7,14.3,0.0
2012-13,18100,Bremerton,37,8,0,0,1,2,8,3,42,27,4,64.3,26.2,9.5
2012-13,24111,Brewster,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29100,Burlington-Edison,2,2,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2012-13,06117,Camas,26,5,1,0,0,2,0,5,26,23,0,88.5,11.5,0.0
2012-13,05401,Cape Flattery,5,2,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2012-13,04228,Cascade,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,04222,Cashmere,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08401,Castle Rock,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,18401,Central Kitsap,124,24,5,0,3,6,6,8,140,115,5,82.1,14.3,3.6
2012-13,32356,Central Valley,39,4,0,0,2,0,1,8,35,32,0,91.4,8.6,0.0
2012-13,21401,Centralia,4,2,0,2,0,1,0,0,6,3,0,50.0,50.0,0.0
2012-13,21302,Chehalis,28,1,0,0,1,1,0,4,25,22,1,88.0,8.0,4.0
2012-13,32360,Cheney,13,1,0,0,0,3,0,1,13,10,0,76.9,23.1,0.0
2012-13,33036,Chewelah,11,1,0,0,0,3,0,1,11,8,0,72.7,27.3,0.0
2012-13,16049,Chimacum,6,2,0,0,0,2,0,0,8,6,0,75.0,25.0,0.0
2012-13,02250,Clarkston,5,1,0,1,1,0,1,0,6,2,1,33.3,50.0,16.7
2012-13,19404,Cle Elum-Roslyn,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,27400,Clover Park,74,16,0,0,1,2,3,29,61,55,0,90.2,9.8,0.0
2012-13,38300,Colfax,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33206,Columbia (Stevens),3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,33115,Colville,15,2,0,1,0,1,0,3,14,12,0,85.7,14.3,0.0
2012-13,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,29317,Conway,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,13151,Coulee-Hartline,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,15204,Coupeville,7,1,0,0,0,0,0,0,8,8,0,100.0,0.0,0.0
2012-13,05313,Crescent,1,2,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,22073,Creston,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,26059,Cusick,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,32414,Deer Park,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,32361,East Valley (Spokane),15,0,0,0,0,0,0,0,15,13,2,86.7,0.0,13.3
2012-13,39090,East Valley (Yakima),3,0,0,1,0,0,0,1,2,1,0,50.0,50.0,0.0
2012-13,09206,Eastmont,9,3,0,0,0,1,0,3,9,8,0,88.9,11.1,0.0
2012-13,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,27404,Eatonville,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,31015,Edmonds,83,16,0,0,1,5,10,8,91,68,7,74.7,17.6,7.7
2012-13,32801,Educational Service District 101,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,19401,Ellensburg,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14068,Elma,13,1,0,0,3,1,0,1,13,9,0,69.2,30.8,0.0
2012-13,04127,Entiat,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,17216,Enumclaw,10,3,0,0,0,1,0,0,13,11,1,84.6,7.7,7.7
2012-13,13165,Ephrata,5,0,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2012-13,31002,Everett,35,8,0,0,1,1,3,13,30,22,3,73.3,16.7,10.0
2012-13,06114,Evergreen (Clark),99,25,3,2,2,3,8,16,108,88,2,81.5,16.7,1.9
2012-13,17210,Federal Way,139,24,1,9,3,10,11,23,140,99,7,70.7,24.3,5.0
2012-13,37502,Ferndale,16,1,0,0,1,3,0,3,14,9,1,64.3,28.6,7.1
2012-13,27417,Fife,31,6,0,0,1,2,1,2,35,30,1,85.7,11.4,2.9
2012-13,03053,Finley,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,27402,Franklin Pierce,41,13,0,0,1,2,4,9,45,35,3,77.8,15.6,6.7
2012-13,32358,Freeman,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20401,Glenwood,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,20404,Goldendale,2,2,0,1,0,0,0,0,4,3,0,75.0,25.0,0.0
2012-13,13301,Grand Coulee Dam,12,0,0,0,0,1,0,0,12,10,1,83.3,8.3,8.3
2012-13,39200,Grandview,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,39204,Granger,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,31332,Granite Falls,4,1,0,0,0,1,0,2,3,2,0,66.7,33.3,0.0
2012-13,22204,Harrington,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,39203,Highland,3,0,0,0,1,0,1,0,3,1,0,33.3,66.7,0.0
2012-13,17401,Highline,117,10,1,0,4,8,4,5,122,92,13,75.4,13.9,10.7
2012-13,06098,Hockinson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,14028,Hoquiam,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2012-13,10070,Inchelium,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,17411,Issaquah,28,3,0,0,0,1,0,4,27,26,0,96.3,3.7,0.0
2012-13,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08402,Kalama,5,0,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
