SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,239,37,2,3,9,17,19,38,238,175,13,73.5,21.0,5.5
2013-14,21226,Adna,40,5,0,0,1,1,0,6,39,37,0,94.9,5.1,0.0
2013-14,29103,Anacortes,220,39,0,5,5,11,4,43,216,188,3,87.0,11.6,1.4
2013-14,31016,Arlington,430,44,0,7,9,13,9,63,411,357,16,86.9,9.2,3.9
2013-14,02420,Asotin-Anatone,37,8,0,1,1,0,0,5,40,38,0,95.0,5.0,0.0
2013-14,17408,Auburn,1203,162,11,14,33,102,84,153,1212,940,28,77.6,20.1,2.3
2013-14,18303,Bainbridge Island,350,44,0,1,3,7,2,47,347,327,7,94.2,3.7,2.0
2013-14,06119,Battle Ground,1071,151,1,11,16,74,58,151,1071,875,36,81.7,14.9,3.4
2013-14,17405,Bellevue,1436,257,19,1,12,56,15,168,1525,1388,34,91.0,6.8,2.2
2013-14,37501,Bellingham,861,108,6,11,14,45,25,122,847,708,38,83.6,11.9,4.5
2013-14,27403,Bethel,1267,203,20,18,49,85,55,251,1219,946,46,77.6,18.6,3.8
2013-14,20203,Bickleton,12,2,0,0,0,0,0,2,12,12,0,100.0,0.0,0.0
2013-14,37503,Blaine,151,25,0,4,5,5,3,35,141,119,5,84.4,12.1,3.5
2013-14,18100,Bremerton,359,81,1,2,10,22,33,66,374,290,16,77.5,18.2,4.3
2013-14,24111,Brewster,57,9,0,1,1,6,5,7,59,46,0,78.0,22.0,0.0
2013-14,09075,Bridgeport,52,19,0,1,4,5,0,7,64,53,1,82.8,15.6,1.6
2013-14,29100,Burlington-Edison,312,32,1,5,9,13,15,39,305,252,10,82.6,14.1,3.3
2013-14,06117,Camas,485,74,2,1,3,7,4,80,479,452,10,94.4,3.5,2.1
2013-14,05401,Cape Flattery,32,5,0,0,0,2,1,2,35,31,1,88.6,8.6,2.9
2013-14,04228,Cascade,85,21,0,2,2,6,2,24,82,69,1,84.1,14.6,1.2
2013-14,04222,Cashmere,102,9,1,0,0,1,0,13,98,94,2,95.9,2.0,2.0
2013-14,08401,Castle Rock,126,13,1,1,1,6,5,12,127,108,5,85.0,11.0,3.9
2013-14,18401,Central Kitsap,877,169,6,5,14,23,26,150,896,821,1,91.6,8.3,0.1
2013-14,32356,Central Valley,871,125,4,4,10,28,22,116,880,791,21,89.9,7.7,2.4
2013-14,21401,Centralia,268,39,3,9,7,18,20,30,277,214,6,77.3,20.6,2.2
2013-14,21302,Chehalis,261,25,1,1,3,10,7,26,260,228,10,87.7,8.5,3.8
2013-14,32360,Cheney,289,33,0,4,7,8,9,48,274,241,5,88.0,10.2,1.8
2013-14,33036,Chewelah,84,18,0,2,4,8,2,15,87,67,4,77.0,18.4,4.6
2013-14,16049,Chimacum,103,17,0,1,4,6,5,18,102,84,2,82.4,15.7,2.0
2013-14,02250,Clarkston,209,61,2,7,12,24,17,35,235,154,19,65.5,26.4,8.1
2013-14,19404,Cle Elum-Roslyn,87,18,0,0,2,3,3,9,96,85,3,88.5,8.3,3.1
2013-14,27400,Clover Park,675,279,13,5,22,39,17,433,520,415,9,79.8,18.5,1.7
2013-14,38300,Colfax,46,8,0,0,0,3,1,9,45,41,0,91.1,8.9,0.0
2013-14,38306,Colton,15,0,0,0,0,0,0,1,14,14,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),16,2,0,0,1,0,0,2,16,15,0,93.8,6.3,0.0
2013-14,36400,Columbia (Walla Walla),56,25,0,2,2,4,2,12,69,57,2,82.6,14.5,2.9
2013-14,33115,Colville,148,39,1,3,10,12,6,29,158,124,2,78.5,20.3,1.3
2013-14,29011,Concrete,48,8,0,4,3,6,4,5,51,34,0,66.7,33.3,0.0
2013-14,13151,Coulee-Hartline,28,6,0,0,0,0,0,4,30,30,0,100.0,0.0,0.0
2013-14,15204,Coupeville,85,9,0,1,0,5,2,20,74,64,2,86.5,10.8,2.7
2013-14,05313,Crescent,17,5,0,0,1,1,1,3,19,16,0,84.2,15.8,0.0
2013-14,22073,Creston,6,0,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,10050,Curlew,25,6,0,1,1,2,0,9,22,18,0,81.8,18.2,0.0
2013-14,26059,Cusick,19,8,0,0,1,0,0,3,24,23,0,95.8,4.2,0.0
2013-14,31330,Darrington,28,11,0,1,1,2,0,6,33,29,0,87.9,12.1,0.0
2013-14,22207,Davenport,34,12,0,0,6,0,0,14,32,25,1,78.1,18.8,3.1
2013-14,07002,Dayton,36,13,0,0,2,0,0,22,27,24,1,88.9,7.4,3.7
2013-14,32414,Deer Park,179,34,2,1,13,5,4,23,190,165,0,86.8,13.2,0.0
2013-14,32361,East Valley (Spokane),245,29,0,1,1,6,9,27,247,228,2,92.3,6.9,0.8
2013-14,39090,East Valley (Yakima),200,18,3,1,3,10,5,17,201,178,1,88.6,10.9,0.5
2013-14,09206,Eastmont,446,46,9,5,5,42,22,36,456,363,10,79.6,18.2,2.2
2013-14,19028,Easton,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,27404,Eatonville,152,22,3,0,4,9,4,18,156,135,1,86.5,12.8,0.6
2013-14,31015,Edmonds,1537,212,13,8,20,75,64,202,1547,1308,59,84.6,11.6,3.8
2013-14,32801,Educational Service District 101,21,6,0,0,4,12,2,9,18,0,0,0.0,100.0,0.0
2013-14,19401,Ellensburg,203,21,4,1,9,27,9,17,207,153,4,73.9,24.2,1.9
2013-14,14068,Elma,158,11,1,2,4,9,6,13,156,131,3,84.0,14.1,1.9
2013-14,04127,Entiat,21,1,0,0,0,1,0,1,21,19,1,90.5,4.8,4.8
2013-14,17216,Enumclaw,372,31,1,3,4,18,9,52,351,308,8,87.7,10.0,2.3
2013-14,13165,Ephrata,172,22,2,5,2,4,1,12,182,166,2,91.2,7.7,1.1
2013-14,31002,Everett,1285,157,0,4,8,23,24,244,1198,1093,46,91.2,4.9,3.8
2013-14,06114,Evergreen (Clark),1985,410,3,15,45,107,104,304,2091,1755,62,83.9,13.1,3.0
2013-14,17210,Federal Way,1707,225,17,21,61,98,112,238,1694,1356,29,80.0,18.2,1.7
2013-14,37502,Ferndale,387,36,5,9,24,33,24,46,377,271,11,71.9,25.2,2.9
2013-14,27417,Fife,257,45,4,1,5,16,13,41,261,215,7,82.4,14.9,2.7
2013-14,03053,Finley,56,4,0,1,0,3,0,2,58,54,0,93.1,6.9,0.0
2013-14,27402,Franklin Pierce,555,119,3,6,12,36,23,126,548,456,12,83.2,14.6,2.2
2013-14,32358,Freeman,70,8,0,0,0,0,1,14,64,63,0,98.4,1.6,0.0
2013-14,38302,Garfield,4,4,0,0,0,2,0,1,7,5,0,71.4,28.6,0.0
2013-14,20401,Glenwood,3,3,0,0,1,0,0,3,3,2,0,66.7,33.3,0.0
2013-14,20404,Goldendale,81,26,1,2,3,4,5,8,98,81,2,82.7,15.3,2.0
2013-14,13301,Grand Coulee Dam,49,4,1,0,2,4,3,6,47,34,3,72.3,21.3,6.4
2013-14,39200,Grandview,213,28,3,0,3,12,19,31,210,157,16,74.8,17.6,7.6
2013-14,39204,Granger,100,9,0,2,4,11,1,8,101,81,2,80.2,17.8,2.0
2013-14,31332,Granite Falls,223,23,4,0,11,9,19,19,227,168,16,74.0,18.9,7.0
2013-14,22204,Harrington,8,3,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2013-14,39203,Highland,82,8,1,1,3,4,1,6,84,74,0,88.1,11.9,0.0
2013-14,17401,Highline,1381,253,43,28,56,117,123,151,1483,985,131,66.4,24.7,8.8
2013-14,06098,Hockinson,157,15,0,3,0,3,2,23,149,139,2,93.3,5.4,1.3
2013-14,14028,Hoquiam,130,17,1,3,5,4,16,23,124,94,1,75.8,23.4,0.8
2013-14,10070,Inchelium,9,2,1,0,0,4,0,2,9,4,0,44.4,55.6,0.0
2013-14,17411,Issaquah,1240,151,1,3,13,34,10,133,1258,1186,11,94.3,4.8,0.9
2013-14,11056,Kahlotus,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,08402,Kalama,85,10,2,0,1,2,4,7,88,78,1,88.6,10.2,1.1
2013-14,08458,Kelso,411,65,1,1,10,21,15,85,391,341,2,87.2,12.3,0.5
2013-14,03017,Kennewick,1152,213,8,10,49,80,50,155,1210,984,29,81.3,16.3,2.4
2013-14,17415,Kent,1765,351,20,26,33,74,41,279,1837,1595,48,86.8,10.6,2.6
2013-14,33212,Kettle Falls,70,22,0,0,1,1,5,20,72,61,4,84.7,9.7,5.6
2013-14,03052,Kiona-Benton City,116,18,0,2,3,10,6,19,115,94,0,81.7,18.3,0.0
2013-14,19403,Kittitas,50,10,1,0,1,5,0,4,56,48,1,85.7,12.5,1.8
2013-14,20402,Klickitat,6,1,0,0,1,0,0,1,6,5,0,83.3,16.7,0.0
2013-14,06101,La Center,95,33,1,3,3,0,1,14,114,105,1,92.1,7.0,0.9
2013-14,29311,La Conner,59,8,0,0,0,6,1,7,60,53,0,88.3,11.7,0.0
2013-14,38126,LaCrosse,12,1,0,0,0,12,0,1,12,0,0,0.0,100.0,0.0
2013-14,04129,Lake Chelan,159,27,7,2,6,3,5,50,136,111,2,81.6,16.9,1.5
2013-14,14097,Lake Quinault,20,2,0,0,1,7,0,0,22,14,0,63.6,36.4,0.0
2013-14,31004,Lake Stevens,523,71,1,1,5,17,3,58,536,506,3,94.4,5.0,0.6
2013-14,17937,Lake Washington Institute of Technology,123,17,0,0,0,20,21,0,140,18,81,12.9,29.3,57.9
2013-14,17414,Lake Washington,1534,226,1,1,9,57,21,222,1538,1423,26,92.5,5.8,1.7
2013-14,31306,Lakewood,169,23,2,4,2,8,9,25,167,138,4,82.6,15.0,2.4
2013-14,32362,Liberty,36,4,0,0,0,0,0,4,36,34,2,94.4,0.0,5.6
2013-14,01158,Lind,16,3,0,1,0,0,1,2,17,15,0,88.2,11.8,0.0
2013-14,08122,Longview,537,85,0,6,20,26,39,112,510,391,28,76.7,17.8,5.5
2013-14,28144,Lopez,21,10,0,0,0,0,0,6,25,23,2,92.0,0.0,8.0
2013-14,20406,Lyle,31,6,0,0,0,2,2,12,25,20,1,80.0,16.0,4.0
2013-14,37504,Lynden,227,40,0,9,3,8,12,32,235,192,11,81.7,13.6,4.7
2013-14,39120,Mabton,50,10,5,1,2,0,1,16,44,33,2,75.0,20.5,4.5
2013-14,04019,Manson,44,5,0,0,1,3,0,3,46,42,0,91.3,8.7,0.0
2013-14,23311,Mary M Knight,16,0,0,0,0,0,0,2,14,14,0,100.0,0.0,0.0
2013-14,33207,Mary Walker,59,12,0,3,2,0,0,10,61,54,2,88.5,8.2,3.3
2013-14,31025,Marysville,856,85,0,6,28,64,47,125,816,635,36,77.8,17.8,4.4
2013-14,32354,Mead,794,118,1,6,13,23,14,122,790,717,16,90.8,7.2,2.0
2013-14,32326,Medical Lake,146,37,0,0,0,5,3,38,145,135,2,93.1,5.5,1.4
2013-14,17400,Mercer Island,380,58,0,5,2,7,4,41,397,379,0,95.5,4.5,0.0
2013-14,37505,Meridian,119,12,0,1,3,4,6,17,114,99,1,86.8,12.3,0.9
2013-14,24350,Methow Valley,40,11,0,0,0,1,1,6,45,43,0,95.6,4.4,0.0
2013-14,30031,Mill A,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,31103,Monroe,423,45,1,3,8,21,16,61,407,344,14,84.5,12.0,3.4
2013-14,14066,Montesano,99,11,1,1,4,6,0,12,98,86,0,87.8,12.2,0.0
2013-14,21214,Morton,20,7,0,0,2,3,3,3,24,16,0,66.7,33.3,0.0
2013-14,13161,Moses Lake,448,162,5,15,29,51,22,95,515,380,13,73.8,23.7,2.5
2013-14,21206,Mossyrock,50,6,0,0,4,2,3,5,51,42,0,82.4,17.6,0.0
2013-14,39209,Mount Adams,48,12,4,1,4,2,3,5,55,37,4,67.3,25.5,7.3
2013-14,37507,Mount Baker,162,19,4,3,4,14,6,22,159,124,4,78.0,19.5,2.5
2013-14,29320,Mount Vernon,514,68,4,13,15,54,39,106,476,324,27,68.1,26.3,5.7
2013-14,31006,Mukilteo,1028,154,7,9,22,41,40,155,1027,891,17,86.8,11.6,1.7
2013-14,39003,Naches Valley,104,12,0,1,1,1,0,11,105,101,1,96.2,2.9,1.0
2013-14,21014,Napavine,64,4,0,0,2,4,2,5,63,55,0,87.3,12.7,0.0
2013-14,25155,Naselle-Grays River Valley,22,4,0,0,0,0,0,2,24,24,0,100.0,0.0,0.0
2013-14,26056,Newport,86,35,1,1,2,5,3,22,99,85,2,85.9,12.1,2.0
