SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,5,0,0,0,0,0,1,1,4,3,0,75.0,25.0,0.0
2013-14,21226,Adna,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,29103,Anacortes,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,31016,Arlington,6,0,0,0,0,0,0,0,6,5,1,83.3,0.0,16.7
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,14,1,0,0,1,4,0,4,11,6,0,54.5,45.5,0.0
2013-14,18303,Bainbridge Island,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,06119,Battle Ground,15,1,0,0,2,3,2,4,12,4,1,33.3,58.3,8.3
2013-14,17405,Bellevue,7,2,0,0,0,0,2,0,9,3,4,33.3,22.2,44.4
2013-14,37501,Bellingham,4,0,0,0,0,1,1,1,3,1,0,33.3,66.7,0.0
2013-14,27403,Bethel,15,4,1,1,1,4,0,2,17,7,3,41.2,41.2,17.6
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,2,0,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2013-14,18100,Bremerton,8,0,0,0,0,1,2,0,8,4,1,50.0,37.5,12.5
2013-14,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29100,Burlington-Edison,7,0,0,0,1,1,1,0,7,3,1,42.9,42.9,14.3
2013-14,06117,Camas,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,05401,Cape Flattery,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04222,Cashmere,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,18401,Central Kitsap,7,0,0,0,1,2,1,1,6,2,0,33.3,66.7,0.0
2013-14,32356,Central Valley,7,3,0,0,0,0,2,1,9,5,2,55.6,22.2,22.2
2013-14,21401,Centralia,6,0,0,0,2,0,2,0,6,2,0,33.3,66.7,0.0
2013-14,21302,Chehalis,3,1,0,0,0,0,1,0,4,1,2,25.0,25.0,50.0
2013-14,32360,Cheney,3,0,0,0,0,1,1,1,2,0,0,0.0,100.0,0.0
2013-14,33036,Chewelah,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,16049,Chimacum,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
