SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,47,16,0,1,4,9,6,6,57,31,6,54.4,35.1,10.5
2013-14,21226,Adna,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,29103,Anacortes,13,2,0,0,2,2,1,2,13,7,1,53.8,38.5,7.7
2013-14,31016,Arlington,19,1,0,1,1,1,2,3,17,9,3,52.9,29.4,17.6
2013-14,02420,Asotin-Anatone,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,17408,Auburn,29,6,0,0,3,8,6,6,29,12,0,41.4,58.6,0.0
2013-14,18303,Bainbridge Island,3,1,0,0,0,0,1,1,3,2,0,66.7,33.3,0.0
2013-14,06119,Battle Ground,43,7,0,0,0,7,7,10,40,21,5,52.5,35.0,12.5
2013-14,17405,Bellevue,14,9,0,0,2,0,2,7,16,10,2,62.5,25.0,12.5
2013-14,37501,Bellingham,64,16,1,3,7,11,9,11,69,30,8,43.5,44.9,11.6
2013-14,27403,Bethel,68,18,1,2,4,13,8,19,67,32,7,47.8,41.8,10.4
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,9,5,0,1,2,0,1,2,12,7,1,58.3,33.3,8.3
2013-14,18100,Bremerton,47,12,0,0,2,4,13,4,55,32,4,58.2,34.5,7.3
2013-14,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,09075,Bridgeport,10,3,0,0,0,1,0,0,13,12,0,92.3,7.7,0.0
2013-14,29100,Burlington-Edison,21,4,0,2,3,0,6,3,22,10,1,45.5,50.0,4.5
2013-14,06117,Camas,4,1,0,0,1,1,1,0,5,2,0,40.0,60.0,0.0
2013-14,05401,Cape Flattery,2,1,0,0,0,1,1,0,3,1,0,33.3,66.7,0.0
2013-14,04228,Cascade,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,04222,Cashmere,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,6,0,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,18401,Central Kitsap,35,12,0,0,2,3,5,13,34,24,0,70.6,29.4,0.0
2013-14,32356,Central Valley,46,14,0,1,1,6,8,5,55,36,3,65.5,29.1,5.5
2013-14,21401,Centralia,24,2,0,0,2,3,6,2,24,11,2,45.8,45.8,8.3
2013-14,21302,Chehalis,24,2,0,0,0,2,3,1,25,18,2,72.0,20.0,8.0
2013-14,32360,Cheney,21,3,0,0,2,2,2,2,22,14,2,63.6,27.3,9.1
2013-14,33036,Chewelah,5,3,0,0,0,2,1,1,7,2,2,28.6,42.9,28.6
2013-14,16049,Chimacum,3,1,0,0,0,0,1,2,2,1,0,50.0,50.0,0.0
2013-14,02250,Clarkston,35,23,1,2,5,11,12,7,51,16,4,31.4,60.8,7.8
2013-14,19404,Cle Elum-Roslyn,8,2,0,0,0,0,0,1,9,7,2,77.8,0.0,22.2
2013-14,27400,Clover Park,31,9,0,0,3,5,1,11,29,19,1,65.5,31.0,3.4
2013-14,38300,Colfax,3,3,0,0,0,2,0,3,3,1,0,33.3,66.7,0.0
2013-14,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,33206,Columbia (Stevens),3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,36400,Columbia (Walla Walla),1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,33115,Colville,10,2,1,1,0,2,0,0,12,7,1,58.3,33.3,8.3
2013-14,29011,Concrete,7,1,0,1,0,2,2,0,8,3,0,37.5,62.5,0.0
2013-14,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,15204,Coupeville,9,1,0,1,0,1,0,5,5,3,0,60.0,40.0,0.0
2013-14,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,3,0,0,1,0,0,0,0,3,2,0,66.7,33.3,0.0
2013-14,26059,Cusick,6,1,0,0,1,0,0,0,7,6,0,85.7,14.3,0.0
2013-14,31330,Darrington,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,22207,Davenport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,07002,Dayton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,32414,Deer Park,3,3,0,0,0,1,1,0,6,4,0,66.7,33.3,0.0
2013-14,32361,East Valley (Spokane),12,5,0,1,0,1,0,3,14,11,1,78.6,14.3,7.1
2013-14,39090,East Valley (Yakima),2,0,0,0,0,1,1,0,2,0,0,0.0,100.0,0.0
2013-14,09206,Eastmont,24,10,0,0,2,6,6,3,31,15,2,48.4,45.2,6.5
2013-14,19028,Easton,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27404,Eatonville,6,1,0,0,0,1,1,1,6,4,0,66.7,33.3,0.0
2013-14,31015,Edmonds,58,12,1,2,2,7,9,11,59,34,4,57.6,35.6,6.8
2013-14,32801,Educational Service District 101,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,19401,Ellensburg,8,0,0,0,0,0,1,0,8,6,1,75.0,12.5,12.5
2013-14,14068,Elma,20,2,0,0,0,1,2,1,21,17,1,81.0,14.3,4.8
2013-14,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17216,Enumclaw,6,0,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2013-14,13165,Ephrata,10,4,0,0,0,1,1,1,13,11,0,84.6,15.4,0.0
2013-14,31002,Everett,81,15,0,0,1,5,5,19,77,57,9,74.0,14.3,11.7
2013-14,06114,Evergreen (Clark),104,38,1,4,6,16,15,21,121,66,13,54.5,34.7,10.7
2013-14,17210,Federal Way,46,11,2,2,3,6,5,5,52,30,4,57.7,34.6,7.7
2013-14,37502,Ferndale,16,4,0,0,4,4,1,3,17,7,1,41.2,52.9,5.9
2013-14,27417,Fife,9,10,0,1,0,1,2,9,10,5,1,50.0,40.0,10.0
2013-14,03053,Finley,4,1,0,0,0,1,0,0,5,4,0,80.0,20.0,0.0
2013-14,27402,Franklin Pierce,35,7,0,1,0,7,2,11,31,21,0,67.7,32.3,0.0
2013-14,32358,Freeman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38302,Garfield,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20401,Glenwood,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20404,Goldendale,12,5,0,0,1,2,2,0,17,11,1,64.7,29.4,5.9
2013-14,13301,Grand Coulee Dam,2,0,0,0,1,1,0,0,2,0,0,0.0,100.0,0.0
2013-14,39200,Grandview,9,2,0,0,0,1,1,4,7,4,1,57.1,28.6,14.3
2013-14,39204,Granger,5,1,0,0,0,2,0,0,6,4,0,66.7,33.3,0.0
2013-14,31332,Granite Falls,32,7,0,0,1,1,8,5,34,17,7,50.0,29.4,20.6
2013-14,22204,Harrington,,,,,,,,,,,,n/a,n/a,n/a
2013-14,39203,Highland,5,1,1,0,0,1,0,0,6,4,0,66.7,33.3,0.0
2013-14,17401,Highline,105,24,10,3,7,13,23,17,112,46,10,41.1,50.0,8.9
2013-14,06098,Hockinson,4,1,0,0,0,1,1,0,5,2,1,40.0,40.0,20.0
2013-14,14028,Hoquiam,18,4,0,0,1,2,7,5,17,7,0,41.2,58.8,0.0
2013-14,10070,Inchelium,,,,,,,,,,,,n/a,n/a,n/a
2013-14,17411,Issaquah,11,5,0,0,1,3,1,2,14,9,0,64.3,35.7,0.0
2013-14,11056,Kahlotus,,,,,,,,,,,,n/a,n/a,n/a
2013-14,08402,Kalama,3,2,0,0,0,0,2,0,5,3,0,60.0,40.0,0.0
2013-14,08458,Kelso,20,2,0,0,0,4,1,3,19,14,0,73.7,26.3,0.0
2013-14,03017,Kennewick,35,25,0,0,5,4,4,10,50,32,5,64.0,26.0,10.0
2013-14,17415,Kent,28,8,1,0,0,3,0,9,27,20,3,74.1,14.8,11.1
2013-14,33212,Kettle Falls,7,2,0,0,0,0,2,2,7,4,1,57.1,28.6,14.3
2013-14,03052,Kiona-Benton City,5,2,0,0,0,1,1,1,6,4,0,66.7,33.3,0.0
2013-14,19403,Kittitas,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,20402,Klickitat,,,,,,,,,,,,n/a,n/a,n/a
2013-14,06101,La Center,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2013-14,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04129,Lake Chelan,13,0,0,0,2,1,0,1,12,9,0,75.0,25.0,0.0
2013-14,14097,Lake Quinault,7,0,0,0,0,2,0,0,7,5,0,71.4,28.6,0.0
2013-14,31004,Lake Stevens,16,1,1,0,0,2,0,3,14,11,0,78.6,21.4,0.0
2013-14,17937,Lake Washington Institute of Technology,5,3,0,0,0,1,3,0,8,1,3,12.5,50.0,37.5
2013-14,17414,Lake Washington,20,5,0,0,2,3,4,4,21,12,0,57.1,42.9,0.0
2013-14,31306,Lakewood,14,3,0,1,0,1,2,4,13,8,1,61.5,30.8,7.7
2013-14,32362,Liberty,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,01158,Lind,3,0,0,1,0,0,1,0,3,1,0,33.3,66.7,0.0
2013-14,08122,Longview,24,8,0,0,4,1,4,10,22,9,4,40.9,40.9,18.2
2013-14,28144,Lopez,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,20406,Lyle,3,1,0,0,0,1,1,0,4,2,0,50.0,50.0,0.0
2013-14,37504,Lynden,12,6,0,3,0,1,2,1,17,9,2,52.9,35.3,11.8
2013-14,39120,Mabton,8,2,1,0,0,0,0,1,9,8,0,88.9,11.1,0.0
2013-14,04019,Manson,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2013-14,23311,Mary M Knight,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33207,Mary Walker,4,1,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2013-14,31025,Marysville,37,5,0,0,3,10,6,6,36,15,2,41.7,52.8,5.6
2013-14,32354,Mead,29,8,0,0,2,4,3,5,32,20,3,62.5,28.1,9.4
2013-14,32326,Medical Lake,5,1,0,0,0,1,0,0,6,5,0,83.3,16.7,0.0
2013-14,17400,Mercer Island,2,1,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2013-14,37505,Meridian,8,1,0,0,0,1,0,1,8,7,0,87.5,12.5,0.0
2013-14,24350,Methow Valley,2,2,0,0,0,0,1,1,3,2,0,66.7,33.3,0.0
2013-14,30031,Mill A,,,,,,,,,,,,n/a,n/a,n/a
2013-14,31103,Monroe,13,5,0,0,1,1,3,3,15,10,0,66.7,33.3,0.0
2013-14,14066,Montesano,5,1,0,0,1,0,0,1,5,4,0,80.0,20.0,0.0
2013-14,21214,Morton,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2013-14,13161,Moses Lake,20,6,0,0,1,4,3,2,24,14,2,58.3,33.3,8.3
2013-14,21206,Mossyrock,4,2,0,0,0,0,3,0,6,3,0,50.0,50.0,0.0
2013-14,39209,Mount Adams,12,6,2,1,3,0,2,0,18,7,3,38.9,44.4,16.7
2013-14,37507,Mount Baker,6,1,0,0,0,2,1,0,7,4,0,57.1,42.9,0.0
2013-14,29320,Mount Vernon,38,5,1,2,2,7,4,14,29,8,5,27.6,55.2,17.2
2013-14,31006,Mukilteo,24,5,0,0,1,5,6,10,19,6,1,31.6,63.2,5.3
2013-14,39003,Naches Valley,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,21014,Napavine,3,0,0,0,1,1,1,0,3,0,0,0.0,100.0,0.0
2013-14,25155,Naselle-Grays River Valley,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,26056,Newport,20,10,1,0,2,1,2,2,28,21,1,75.0,21.4,3.6
2013-14,32325,Nine Mile Falls,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,37506,Nooksack Valley,4,0,0,0,0,1,0,0,4,3,0,75.0,25.0,0.0
2013-14,14064,North Beach,6,1,0,0,0,2,1,1,6,3,0,50.0,50.0,0.0
2013-14,11051,North Franklin,7,5,0,0,0,0,0,3,9,8,1,88.9,0.0,11.1
2013-14,18400,North Kitsap,21,6,0,0,3,5,2,2,25,13,2,52.0,40.0,8.0
2013-14,23403,North Mason,11,4,0,0,0,0,3,2,13,9,1,69.2,23.1,7.7
2013-14,34003,North Thurston,70,21,0,2,2,16,14,13,78,42,2,53.8,43.6,2.6
2013-14,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17417,Northshore,24,5,0,0,1,4,1,3,26,19,1,73.1,23.1,3.8
2013-14,15201,Oak Harbor,19,11,0,0,1,6,1,6,24,14,2,58.3,33.3,8.3
2013-14,38324,Oakesdale,,,,,,,,,,,,n/a,n/a,n/a
2013-14,14400,Oakville,8,0,0,0,0,0,2,1,7,4,1,57.1,28.6,14.3
2013-14,25101,Ocean Beach,10,3,0,0,1,1,0,1,12,10,0,83.3,16.7,0.0
2013-14,14172,Ocosta,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,22105,Odessa,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,24105,Okanogan,5,1,0,0,0,0,1,0,6,5,0,83.3,16.7,0.0
2013-14,34111,Olympia,28,5,0,1,1,4,1,4,29,20,2,69.0,24.1,6.9
2013-14,24019,Omak,6,0,0,0,0,2,1,0,6,3,0,50.0,50.0,0.0
2013-14,21300,Onalaska,5,2,0,1,0,2,0,0,7,3,1,42.9,42.9,14.3
2013-14,28137,Orcas Island,2,1,0,1,0,0,0,1,2,1,0,50.0,50.0,0.0
2013-14,24410,Oroville,6,0,0,0,1,2,0,0,6,3,0,50.0,50.0,0.0
2013-14,27344,Orting,6,0,0,0,0,0,0,0,6,6,0,100.0,0.0,0.0
2013-14,01147,Othello,19,8,3,1,1,2,0,6,21,13,1,61.9,33.3,4.8
2013-14,38301,Palouse,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,11001,Pasco,52,15,3,4,5,4,11,11,56,27,2,48.2,48.2,3.6
2013-14,24122,Pateros,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,21301,Pe Ell,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27401,Peninsula,11,4,0,0,0,1,2,5,10,6,1,60.0,30.0,10.0
2013-14,12110,Pomeroy,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,05121,Port Angeles,13,2,0,0,0,3,1,1,14,9,1,64.3,28.6,7.1
2013-14,16050,Port Townsend,3,1,0,0,0,0,1,0,4,3,0,75.0,25.0,0.0
2013-14,36402,Prescott,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,03116,Prosser,6,3,0,0,3,1,1,1,8,3,0,37.5,62.5,0.0
2013-14,38267,Pullman,3,1,0,0,1,0,0,0,4,3,0,75.0,25.0,0.0
2013-14,27003,Puyallup,62,5,0,0,6,5,4,7,60,43,2,71.7,25.0,3.3
2013-14,16048,Quilcene,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2013-14,05402,Quillayute Valley,7,3,0,0,0,1,1,1,9,5,2,55.6,22.2,22.2
2013-14,13144,Quincy,2,1,0,0,0,2,0,0,3,1,0,33.3,66.7,0.0
2013-14,34307,Rainier,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,25116,Raymond,5,0,0,0,1,0,0,0,5,4,0,80.0,20.0,0.0
2013-14,22009,Reardan-Edwall,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,17403,Renton,49,16,1,1,8,7,9,5,60,30,4,50.0,43.3,6.7
2013-14,10309,Republic,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,03400,Richland,15,5,0,0,3,2,2,5,15,6,2,40.0,46.7,13.3
2013-14,06122,Ridgefield,4,1,0,0,0,0,1,1,4,3,0,75.0,25.0,0.0
2013-14,01160,Ritzville,3,1,0,0,1,1,0,1,3,1,0,33.3,66.7,0.0
2013-14,32416,Riverside,11,0,0,0,0,1,2,0,11,7,1,63.6,27.3,9.1
2013-14,17407,Riverview,5,0,0,0,2,0,0,0,5,3,0,60.0,40.0,0.0
2013-14,34401,Rochester,17,0,0,0,1,0,1,2,15,13,0,86.7,13.3,0.0
2013-14,38320,Rosalia,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2013-14,13160,Royal,8,7,0,1,2,1,2,4,11,5,0,45.5,54.5,0.0
2013-14,28149,San Juan Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17001,Seattle,172,100,3,5,16,25,25,93,179,82,23,45.8,41.3,12.8
2013-14,29101,Sedro-Woolley,19,8,3,1,1,3,1,3,24,14,1,58.3,37.5,4.2
2013-14,39119,Selah,11,3,0,0,1,2,1,9,5,1,0,20.0,80.0,0.0
2013-14,26070,Selkirk,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
