SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,5,1,0,0,0,0,0,1,5,4,1,80.0,0.0,20.0
2013-14,21226,Adna,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,29103,Anacortes,11,0,0,0,0,1,0,0,11,9,1,81.8,9.1,9.1
2013-14,31016,Arlington,15,0,0,0,1,0,1,1,14,11,1,78.6,14.3,7.1
2013-14,02420,Asotin-Anatone,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,17408,Auburn,48,1,0,1,1,3,7,2,47,34,1,72.3,25.5,2.1
2013-14,18303,Bainbridge Island,37,3,0,1,0,1,0,6,34,32,0,94.1,5.9,0.0
2013-14,06119,Battle Ground,30,2,0,0,0,3,3,2,30,23,1,76.7,20.0,3.3
2013-14,17405,Bellevue,117,11,0,0,0,6,3,9,119,105,5,88.2,7.6,4.2
2013-14,37501,Bellingham,71,2,0,1,1,5,1,3,70,56,6,80.0,11.4,8.6
2013-14,27403,Bethel,46,5,0,0,0,3,3,6,45,37,2,82.2,13.3,4.4
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,18100,Bremerton,18,2,0,0,0,1,1,2,18,15,1,83.3,11.1,5.6
2013-14,24111,Brewster,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29100,Burlington-Edison,17,1,0,0,1,1,1,1,17,14,0,82.4,17.6,0.0
2013-14,06117,Camas,24,3,0,0,0,1,1,3,24,22,0,91.7,8.3,0.0
2013-14,05401,Cape Flattery,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,04228,Cascade,6,2,0,1,0,1,0,1,7,4,1,57.1,28.6,14.3
2013-14,04222,Cashmere,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,5,1,0,0,0,0,0,1,5,4,1,80.0,0.0,20.0
2013-14,18401,Central Kitsap,35,6,0,0,2,2,3,2,39,32,0,82.1,17.9,0.0
2013-14,32356,Central Valley,36,4,0,0,1,1,0,3,37,34,1,91.9,5.4,2.7
2013-14,21401,Centralia,7,1,0,0,0,0,0,1,7,6,1,85.7,0.0,14.3
2013-14,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,32360,Cheney,9,2,0,0,0,2,0,2,9,6,1,66.7,22.2,11.1
2013-14,33036,Chewelah,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,16049,Chimacum,6,0,0,0,0,0,0,0,6,5,1,83.3,0.0,16.7
2013-14,02250,Clarkston,5,0,0,0,1,0,0,1,4,3,0,75.0,25.0,0.0
2013-14,19404,Cle Elum-Roslyn,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,27400,Clover Park,16,3,0,0,1,0,0,9,10,9,0,90.0,10.0,0.0
2013-14,38300,Colfax,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,33115,Colville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,15204,Coupeville,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,26059,Cusick,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,31330,Darrington,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,22207,Davenport,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2013-14,07002,Dayton,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,32414,Deer Park,7,0,0,0,0,0,0,0,7,7,0,100.0,0.0,0.0
2013-14,32361,East Valley (Spokane),6,0,0,0,0,0,0,0,6,6,0,100.0,0.0,0.0
2013-14,39090,East Valley (Yakima),1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,09206,Eastmont,13,0,0,0,0,3,1,0,13,8,1,61.5,30.8,7.7
2013-14,19028,Easton,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27404,Eatonville,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,31015,Edmonds,98,8,0,1,3,4,12,4,102,72,10,70.6,19.6,9.8
2013-14,32801,Educational Service District 101,2,0,0,0,0,1,1,0,2,0,0,0.0,100.0,0.0
2013-14,19401,Ellensburg,10,0,0,0,0,2,0,0,10,8,0,80.0,20.0,0.0
