SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,30,4,0,0,1,1,4,6,28,16,6,57.1,21.4,21.4
2013-14,21226,Adna,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,29103,Anacortes,15,2,0,1,1,2,1,3,14,8,1,57.1,35.7,7.1
2013-14,31016,Arlington,53,2,0,1,3,3,7,7,48,24,10,50.0,29.2,20.8
2013-14,02420,Asotin-Anatone,4,2,0,1,0,0,0,0,6,5,0,83.3,16.7,0.0
2013-14,17408,Auburn,113,20,3,4,8,16,17,22,111,51,12,45.9,43.2,10.8
2013-14,18303,Bainbridge Island,36,3,0,0,1,3,1,6,33,26,2,78.8,15.2,6.1
2013-14,06119,Battle Ground,109,15,0,1,5,9,6,20,104,70,13,67.3,20.2,12.5
2013-14,17405,Bellevue,157,14,0,0,1,7,6,20,151,119,18,78.8,9.3,11.9
2013-14,37501,Bellingham,114,12,0,3,7,9,2,14,112,62,29,55.4,18.8,25.9
2013-14,27403,Bethel,210,28,5,2,15,17,12,49,189,116,22,61.4,27.0,11.6
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,13,1,0,1,1,0,0,3,11,7,2,63.6,18.2,18.2
2013-14,18100,Bremerton,53,7,0,0,0,5,8,6,54,34,7,63.0,24.1,13.0
2013-14,24111,Brewster,8,1,0,0,0,0,0,1,8,8,0,100.0,0.0,0.0
2013-14,09075,Bridgeport,5,2,0,0,1,2,0,0,7,4,0,57.1,42.9,0.0
2013-14,29100,Burlington-Edison,40,5,0,0,3,1,3,9,36,25,4,69.4,19.4,11.1
2013-14,06117,Camas,60,5,1,0,2,3,0,9,56,40,10,71.4,10.7,17.9
2013-14,05401,Cape Flattery,6,1,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2013-14,04228,Cascade,7,2,0,0,0,0,0,3,6,6,0,100.0,0.0,0.0
2013-14,04222,Cashmere,5,1,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,08401,Castle Rock,16,2,0,0,1,1,2,0,18,14,0,77.8,22.2,0.0
2013-14,18401,Central Kitsap,98,14,0,0,2,6,6,12,100,85,1,85.0,14.0,1.0
2013-14,32356,Central Valley,93,9,0,1,2,5,8,13,89,57,16,64.0,18.0,18.0
2013-14,21401,Centralia,22,3,0,0,3,3,2,3,22,13,1,59.1,36.4,4.5
2013-14,21302,Chehalis,19,6,0,0,0,1,3,2,23,9,10,39.1,17.4,43.5
2013-14,32360,Cheney,35,1,0,1,2,0,0,8,28,22,3,78.6,10.7,10.7
2013-14,33036,Chewelah,10,2,0,0,2,0,1,2,10,6,1,60.0,30.0,10.0
2013-14,16049,Chimacum,10,3,0,0,1,1,1,4,9,5,1,55.6,33.3,11.1
2013-14,02250,Clarkston,42,8,1,0,3,3,8,3,47,24,8,51.1,31.9,17.0
2013-14,19404,Cle Elum-Roslyn,10,1,0,0,0,1,0,0,11,10,0,90.9,9.1,0.0
2013-14,27400,Clover Park,83,34,1,1,2,3,1,60,57,45,4,78.9,14.0,7.0
2013-14,38300,Colfax,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2013-14,38306,Colton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,36400,Columbia (Walla Walla),2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,33115,Colville,21,4,0,0,0,3,2,3,22,15,2,68.2,22.7,9.1
2013-14,29011,Concrete,8,1,0,1,2,3,1,0,9,2,0,22.2,77.8,0.0
2013-14,13151,Coulee-Hartline,8,0,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2013-14,15204,Coupeville,14,2,0,1,0,2,2,6,10,4,1,40.0,50.0,10.0
2013-14,05313,Crescent,4,0,0,0,0,1,0,0,4,3,0,75.0,25.0,0.0
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,8,0,0,0,0,2,0,0,8,6,0,75.0,25.0,0.0
2013-14,26059,Cusick,3,1,0,0,1,0,0,0,4,3,0,75.0,25.0,0.0
2013-14,31330,Darrington,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,22207,Davenport,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,07002,Dayton,4,2,0,0,1,0,0,4,2,0,1,0.0,50.0,50.0
2013-14,32414,Deer Park,38,8,0,0,4,2,1,3,43,36,0,83.7,16.3,0.0
2013-14,32361,East Valley (Spokane),29,4,0,0,0,2,2,7,26,20,2,76.9,15.4,7.7
2013-14,39090,East Valley (Yakima),23,0,0,0,2,1,0,2,21,17,1,81.0,14.3,4.8
2013-14,09206,Eastmont,46,6,1,0,0,4,5,2,50,37,3,74.0,20.0,6.0
2013-14,19028,Easton,,,,,,,,,,,,n/a,n/a,n/a
2013-14,27404,Eatonville,6,3,0,0,1,2,1,2,7,3,0,42.9,57.1,0.0
2013-14,31015,Edmonds,185,22,0,0,5,12,14,26,181,119,31,65.7,17.1,17.1
2013-14,32801,Educational Service District 101,4,1,0,0,1,2,0,2,3,0,0,0.0,100.0,0.0
2013-14,19401,Ellensburg,30,3,0,0,0,3,4,2,31,21,3,67.7,22.6,9.7
2013-14,14068,Elma,28,1,0,0,0,3,0,4,25,20,2,80.0,12.0,8.0
2013-14,04127,Entiat,2,0,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2013-14,17216,Enumclaw,40,2,0,2,3,5,1,5,37,22,4,59.5,29.7,10.8
2013-14,13165,Ephrata,20,0,0,0,0,2,0,1,19,17,0,89.5,10.5,0.0
2013-14,31002,Everett,130,11,0,1,6,4,6,19,122,80,25,65.6,13.9,20.5
2013-14,06114,Evergreen (Clark),244,47,0,4,7,16,27,47,244,165,25,67.6,22.1,10.2
2013-14,17210,Federal Way,197,24,3,3,11,17,17,32,189,128,10,67.7,27.0,5.3
2013-14,37502,Ferndale,50,2,0,2,1,5,6,9,43,20,9,46.5,32.6,20.9
2013-14,27417,Fife,24,4,0,0,0,1,2,3,25,20,2,80.0,12.0,8.0
2013-14,03053,Finley,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,27402,Franklin Pierce,63,11,0,1,1,5,5,16,58,42,4,72.4,20.7,6.9
