SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,6,4,0,1,0,2,1,3,7,2,1,28.6,57.1,14.3
2013-14,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,29103,Anacortes,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,31016,Arlington,6,1,0,0,0,1,0,1,6,5,0,83.3,16.7,0.0
2013-14,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,17408,Auburn,60,22,0,0,3,14,13,18,64,31,3,48.4,46.9,4.7
2013-14,18303,Bainbridge Island,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,06119,Battle Ground,80,10,0,0,1,5,4,10,80,65,5,81.3,12.5,6.3
2013-14,17405,Bellevue,76,81,3,0,6,6,0,30,127,106,6,83.5,11.8,4.7
2013-14,37501,Bellingham,19,10,2,0,1,1,0,7,22,15,3,68.2,18.2,13.6
2013-14,27403,Bethel,15,9,1,1,1,1,0,6,18,13,1,72.2,22.2,5.6
2013-14,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,37503,Blaine,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2013-14,18100,Bremerton,11,2,0,0,1,0,1,3,10,8,0,80.0,20.0,0.0
2013-14,24111,Brewster,16,7,0,0,1,3,2,5,18,12,0,66.7,33.3,0.0
2013-14,09075,Bridgeport,14,8,0,0,3,2,0,0,22,16,1,72.7,22.7,4.5
2013-14,29100,Burlington-Edison,15,3,0,1,1,0,0,3,15,12,1,80.0,13.3,6.7
2013-14,06117,Camas,4,2,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2013-14,05401,Cape Flattery,3,0,0,0,0,0,0,0,3,2,1,66.7,0.0,33.3
2013-14,04228,Cascade,5,4,0,0,1,1,1,2,7,4,0,57.1,42.9,0.0
2013-14,04222,Cashmere,8,2,1,0,0,0,0,4,6,5,0,83.3,16.7,0.0
2013-14,08401,Castle Rock,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,18401,Central Kitsap,12,8,0,1,0,2,0,4,16,13,0,81.3,18.8,0.0
2013-14,32356,Central Valley,6,1,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2013-14,21401,Centralia,8,2,0,0,1,0,2,3,7,3,1,42.9,42.9,14.3
2013-14,21302,Chehalis,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,32360,Cheney,3,1,0,0,1,0,1,1,3,0,1,0.0,66.7,33.3
2013-14,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,02250,Clarkston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,19404,Cle Elum-Roslyn,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,27400,Clover Park,25,21,0,1,6,7,5,12,34,12,3,35.3,55.9,8.8
2013-14,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
