SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,14005,Aberdeen,156,20,0,2,5,7,11,20,156,122,9,78.2,16.0,5.8
2013-14,21226,Adna,32,4,0,0,1,0,0,4,32,31,0,96.9,3.1,0.0
2013-14,29103,Anacortes,189,30,0,5,5,9,3,35,184,159,3,86.4,12.0,1.6
2013-14,31016,Arlington,351,34,0,5,8,11,4,50,335,296,11,88.4,8.4,3.3
2013-14,02420,Asotin-Anatone,35,7,0,1,0,0,0,4,38,37,0,97.4,2.6,0.0
2013-14,17408,Auburn,706,66,9,12,17,44,26,66,706,584,14,82.7,15.3,2.0
2013-14,18303,Bainbridge Island,308,39,0,1,2,7,2,41,306,287,7,93.8,3.9,2.3
2013-14,06119,Battle Ground,928,122,0,8,11,61,50,124,926,765,31,82.6,14.0,3.3
2013-14,17405,Bellevue,740,105,10,0,4,34,7,76,769,700,14,91.0,7.2,1.8
2013-14,37501,Bellingham,672,68,4,9,9,34,16,86,654,555,27,84.9,11.0,4.1
2013-14,27403,Bethel,799,98,11,13,34,65,35,126,771,587,26,76.1,20.5,3.4
2013-14,20203,Bickleton,11,1,0,0,0,0,0,1,11,11,0,100.0,0.0,0.0
2013-14,37503,Blaine,110,19,0,3,4,3,1,28,101,89,1,88.1,10.9,1.0
2013-14,18100,Bremerton,185,38,1,1,6,11,16,32,191,147,9,77.0,18.3,4.7
2013-14,24111,Brewster,13,0,0,0,0,0,0,1,12,12,0,100.0,0.0,0.0
2013-14,09075,Bridgeport,5,3,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2013-14,29100,Burlington-Edison,215,21,0,3,6,12,12,22,214,178,3,83.2,15.4,1.4
2013-14,06117,Camas,397,48,0,1,1,6,3,56,389,371,7,95.4,2.8,1.8
2013-14,05401,Cape Flattery,9,1,0,0,0,0,0,1,9,9,0,100.0,0.0,0.0
2013-14,04228,Cascade,59,13,0,1,0,4,1,18,54,47,1,87.0,11.1,1.9
2013-14,04222,Cashmere,63,3,0,0,0,0,0,4,62,61,1,98.4,0.0,1.6
2013-14,08401,Castle Rock,112,12,1,1,1,5,3,12,112,97,4,86.6,9.8,3.6
2013-14,18401,Central Kitsap,540,93,1,0,10,15,15,84,549,507,1,92.3,7.5,0.2
2013-14,32356,Central Valley,747,100,3,3,8,27,18,95,752,675,18,89.8,7.8,2.4
2013-14,21401,Centralia,192,30,0,6,5,14,14,22,200,159,2,79.5,19.5,1.0
2013-14,21302,Chehalis,189,18,0,1,2,5,4,17,190,170,8,89.5,6.3,4.2
2013-14,32360,Cheney,230,26,0,2,7,3,7,37,219,197,3,90.0,8.7,1.4
2013-14,33036,Chewelah,72,15,0,2,3,6,2,11,76,60,3,78.9,17.1,3.9
2013-14,16049,Chimacum,84,12,0,1,3,5,5,13,83,67,2,80.7,16.9,2.4
2013-14,02250,Clarkston,190,47,2,6,10,19,17,28,209,141,14,67.5,25.8,6.7
2013-14,19404,Cle Elum-Roslyn,74,10,0,0,2,2,3,5,79,70,2,88.6,8.9,2.5
2013-14,27400,Clover Park,279,112,5,2,10,14,4,190,200,161,4,80.5,17.5,2.0
2013-14,38300,Colfax,42,7,0,0,0,2,1,7,42,39,0,92.9,7.1,0.0
2013-14,38306,Colton,13,0,0,0,0,0,0,1,12,12,0,100.0,0.0,0.0
2013-14,33206,Columbia (Stevens),11,2,0,0,1,0,0,2,11,10,0,90.9,9.1,0.0
2013-14,36400,Columbia (Walla Walla),42,14,0,1,0,3,1,6,50,44,1,88.0,10.0,2.0
2013-14,33115,Colville,133,26,0,3,9,12,5,17,142,111,2,78.2,20.4,1.4
2013-14,29011,Concrete,44,7,0,4,2,5,4,5,46,31,0,67.4,32.6,0.0
2013-14,13151,Coulee-Hartline,26,6,0,0,0,0,0,4,28,28,0,100.0,0.0,0.0
2013-14,15204,Coupeville,70,7,0,1,0,4,1,16,61,54,1,88.5,9.8,1.6
2013-14,05313,Crescent,15,1,0,0,0,1,1,0,16,14,0,87.5,12.5,0.0
2013-14,22073,Creston,,,,,,,,,,,,n/a,n/a,n/a
2013-14,10050,Curlew,22,4,0,1,1,1,0,6,20,17,0,85.0,15.0,0.0
